date,close
2026-01-27,44.44
2026-01-28,46
2026-01-29,45.62
2026-01-30,45.22
2026-02-02,41.96
2026-02-03,43.9
2026-02-04,42.6
2026-02-05,41.16
2026-02-06,42.32
2026-02-09,44.32
2026-02-10,45.22
2026-02-11,44.72
2026-02-12,45.94
2026-02-13,45.58
2026-02-16,45.78
2026-02-20,43.56
2026-02-23,43.84
2026-02-24,43.52
2026-02-25,44.12
2026-02-26,42.2
2026-02-27,41.82
2026-03-02,39.62
2026-03-03,37.78
2026-03-04,36.48
2026-03-05,37.24
2026-03-06,37.8
2026-03-09,40.04
2026-03-10,40.26
2026-03-11,41.68
2026-03-12,41.86
2026-03-13,41.04
2026-03-16,41.88
2026-03-17,39.9
2026-03-18,45.98
2026-03-19,43.6
2026-03-20,42.8
2026-03-23,40
2026-03-24,41.78
2026-03-25,43.46
2026-03-26,42.8
2026-03-27,41.74
2026-03-30,40.44
2026-03-31,38.64
2026-04-01,41.02
2026-04-02,39.52
2026-04-08,40.5
2026-04-09,40.7
2026-04-10,41.16
2026-04-13,40.92
2026-04-14,41.44
2026-04-15,42
2026-04-16,43.44
2026-04-17,42.66
2026-04-20,44.66
2026-04-21,43.78
2026-04-22,42.88
2026-04-23,42.72
2026-04-24,44.1
2026-04-27,43.96
2026-04-28,41.86
2026-04-29,41.48
2026-04-30,40.66
2026-05-04,41.58
2026-05-05,42
2026-05-06,44.2
2026-05-07,44.2
2026-05-08,44.08
2026-05-11,43.32
2026-05-12,42.56
2026-05-13,43.9
2026-05-14,44.42
2026-05-15,42.18
2026-05-18,41.86
2026-05-19,41.16
2026-05-20,39.56
2026-05-21,34.32
2026-05-22,33.48
2026-05-26,33.82
2026-05-27,32
2026-05-28,31.82
2026-05-29,33.28
2026-06-01,34.54
2026-06-02,36.08
2026-06-03,35.12
2026-06-04,34.32
2026-06-05,34.56
2026-06-08,32.4
2026-06-09,33.76
2026-06-10,34.38
2026-06-11,32.24
2026-06-12,32.46
2026-06-15,31.76
2026-06-16,31.5
2026-06-17,32.5
2026-06-18,31.58
2026-06-22,29.72
2026-06-23,30.1
2026-06-24,31.28
2026-06-25,30.14
2026-06-26,27.86
