date,close
2026-01-27,213.475
2026-01-28,228.675
2026-01-29,228.475
2026-01-30,220.875
2026-02-02,223.675
2026-02-03,228.875
2026-02-04,234.475
2026-02-05,239.675
2026-02-06,240.475
2026-02-09,254.475
2026-02-10,267.075
2026-02-11,252.275
2026-02-12,249.475
2026-02-13,244.675
2026-02-16,248.475
2026-02-20,241.675
2026-02-23,245.675
2026-02-24,231.075
2026-02-25,230.075
2026-02-26,222.475
2026-02-27,227.075
2026-03-02,222.275
2026-03-03,209.875
2026-03-04,204.275
2026-03-05,203.475
2026-03-06,204.675
2026-03-09,203.475
2026-03-10,203.275
2026-03-11,202.075
2026-03-12,202.475
2026-03-13,202.075
2026-03-16,206.075
2026-03-17,212.675
2026-03-18,219.075
2026-03-19,210.075
2026-03-20,206.875
2026-03-23,199.475
2026-03-24,214.475
2026-03-25,165.575
2026-03-26,147.975
2026-03-27,146.875
2026-03-30,145.975
2026-03-31,140.875
2026-04-01,142.575
2026-04-02,139.075
2026-04-08,149.875
2026-04-09,149.975
2026-04-10,148.175
2026-04-13,148.775
2026-04-14,158.675
2026-04-15,160.575
2026-04-16,162.075
2026-04-17,156.375
2026-04-20,158.175
2026-04-21,161.675
2026-04-22,157.475
2026-04-23,152.875
2026-04-24,153.775
2026-04-27,153.375
2026-04-28,150.475
2026-04-29,154.075
2026-04-30,154.475
2026-05-04,152.975
2026-05-05,156.475
2026-05-06,153.575
2026-05-07,159.475
2026-05-08,165.375
2026-05-11,164.675
2026-05-12,160.175
2026-05-13,158.175
2026-05-14,153.775
2026-05-15,152.4
2026-05-18,150.7
2026-05-19,152.5
2026-05-20,151.9
2026-05-21,149.9
2026-05-22,150.5
2026-05-26,153.6
2026-05-27,154.2
2026-05-28,161.5
2026-05-29,173.4
2026-06-01,179.6
2026-06-02,179.2
2026-06-03,179.3
2026-06-04,177.5
2026-06-05,176.4
2026-06-08,170.5
2026-06-09,168.5
2026-06-10,173.1
2026-06-11,178.3
2026-06-12,183
2026-06-15,177
2026-06-16,174.8
2026-06-17,171.3
2026-06-18,164.3
2026-06-22,160
2026-06-23,156.7
2026-06-24,158.1
2026-06-25,156
2026-06-26,158.5
