date,close
2026-01-27,15
2026-01-28,15.14
2026-01-29,14.83
2026-01-30,14.43
2026-02-02,14.03
2026-02-03,14.06
2026-02-04,14.02
2026-02-05,13.93
2026-02-06,13.83
2026-02-09,14.25
2026-02-10,14.3
2026-02-11,14.21
2026-02-12,13.86
2026-02-13,13.85
2026-02-16,13.91
2026-02-20,13.37
2026-02-23,13.67
2026-02-24,13.54
2026-02-25,13.34
2026-02-26,13.04
2026-02-27,13.17
2026-03-02,12.12
2026-03-03,12.03
2026-03-04,11.94
2026-03-05,11.91
2026-03-06,12.01
2026-03-09,11.9
2026-03-10,12.17
2026-03-11,12.2
2026-03-12,12.06
2026-03-13,11.71
2026-03-16,11.92
2026-03-17,12.25
2026-03-18,12.43
2026-03-19,11.9
2026-03-20,11.7
2026-03-23,11.35
2026-03-24,11.5
2026-03-25,12.75
2026-03-26,11.76
2026-03-27,11.93
2026-03-30,11.67
2026-03-31,11.52
2026-04-01,12.2
2026-04-02,11.88
2026-04-08,12.37
2026-04-09,12.03
2026-04-10,12.15
2026-04-13,11.56
2026-04-14,11.81
2026-04-15,11.89
2026-04-16,12.24
2026-04-17,12.05
2026-04-20,12.22
2026-04-21,12.25
2026-04-22,11.97
2026-04-23,11.75
2026-04-24,11.29
2026-04-27,11.01
2026-04-28,10.69
2026-04-29,10.85
2026-04-30,10.75
2026-05-04,10.94
2026-05-05,10.93
2026-05-06,10.76
2026-05-07,11.11
2026-05-08,11.13
2026-05-11,11.09
2026-05-12,10.79
2026-05-13,10.49
2026-05-14,10.42
2026-05-15,10.12
2026-05-18,9.9
2026-05-19,9.69
2026-05-20,9.59
2026-05-21,9.31
2026-05-22,9.19
2026-05-26,9.18
2026-05-27,8.99
2026-05-28,8.69
2026-05-29,8.92
2026-06-01,9.12
2026-06-02,9.4
2026-06-03,9.05
2026-06-04,8.82
2026-06-05,8.76
2026-06-08,8.66
2026-06-09,8.62
2026-06-10,8.74
2026-06-11,8.71
2026-06-12,8.74
2026-06-15,8.85
2026-06-16,8.2
2026-06-17,8.05
2026-06-18,7.81
2026-06-22,7.52
2026-06-23,7.26
2026-06-24,7.06
2026-06-25,6.8
2026-06-26,6.58
