Date,Open,Close,High,Low,Volume
2020-09-21,7408.78,7195.75,7422.87,7188.84, 0 
2020-09-22,7202.01,7233.32,7319.08,7144.89, 0 
2020-09-23,7270.29,7298.62,7327.99,7235.37, 0 
2020-09-24,7218.71,7054.28,7223.84,7051.11, 0 
2020-09-25,7110.42,6918.77,7134.45,6860.75, 0 
2020-09-28,6921.46,6978.59,6998.21,6897.62, 0 
2020-09-29,7063.95,6977.3,7078.74,6965.7, 0 
2020-09-30,7017.17,7087.64,7143.14,6981.22, 0 
2020-10-05,7255.73,7092.06,7255.73,7049.82, 0 
2020-10-06,7154.8,7336.35,7350.2,7141.42, 0 
2020-10-07,7358.22,7494.59,7494.59,7300.09, 0 
2020-10-08,7527.52,7511.11,7527.52,7438.45, 0 
2020-10-09,7567.75,7503.27,7597.29,7467.87, 0 
2020-10-12,7575.67,7748.85,7749.98,7575.67, 0 
2020-10-14,7878.84,7819.84,7878.84,7725.8, 0 
2020-10-15,7766.27,7541.04,7769.07,7504.74, 0 
2020-10-16,7661.68,7604.61,7675.58,7540.76, 0 
2020-10-19,7687.37,7570.71,7723.86,7559.62, 0 
2020-10-20,7592.77,7644.48,7644.48,7516.3, 0 
2020-10-21,7707.12,7618.06,7732.2,7609.39, 0 
2020-10-22,7624.14,7620.34,7624.14,7495.48, 0 
2020-10-23,7600.35,7484.48,7600.35,7441.65, 0 
2020-10-27,7457.47,7547.66,7603.44,7449.86, 0 
2020-10-28,7577.04,7656.45,7694.83,7520.69, 0 
2020-10-29,7508.24,7675.42,7729.82,7485.71, 0 
2020-10-30,7691.83,7534.39,7778.82,7509.78, 0 
2020-11-02,7601.14,7585.76,7643.02,7474.7, 0 
2020-11-03,7626.98,7714.73,7774.11,7626.98, 0 
2020-11-04,7594.79,7758.72,7817.48,7574.61, 0 
2020-11-05,8062.58,8181.62,8181.62,8045.11, 0 
2020-11-06,8200.2,8152.54,8229.28,8020.85, 0 
2020-11-09,8325.85,8394.19,8524.94,8324.45, 0 
2020-11-10,8214.52,7961.74,8214.52,7841.11, 0 
2020-11-11,7724.61,7465.44,7827.5,7450.35, 0 
2020-11-12,7679.1,7706.58,7812.5,7672.13, 0 
2020-11-13,7772.01,7939.72,7939.72,7714.36, 0 
2020-11-16,8075.93,8075.83,8079.54,7890.32, 0 
2020-11-17,8044.21,7933.13,8044.21,7838.9, 0 
2020-11-18,7940.06,7972.21,7986.66,7885.91, 0 
2020-11-19,7946.25,7903.37,7946.25,7799.56, 0 
2020-11-20,7975.98,7997.52,8038.46,7949.21, 0 
2020-11-23,8100.09,8088.86,8105.54,8038.79, 0 
2020-11-24,8186.2,8107.1,8186.2,8044.51, 0 
2020-11-25,8131.23,7921.35,8159.03,7869.31, 0 
2020-11-26,7983.53,8057.14,8057.14,7936.82, 0 
2020-11-27,8075.11,8090.05,8139.55,8042.46, 0 
2020-11-30,8095.44,8019.36,8143.4,7993.32, 0 
2020-12-01,8041.66,7985.36,8049.23,7941.87, 0 
2020-12-02,7998.06,7848.25,7998.06,7820.79, 0 
2020-12-03,7895.37,7940.19,7942.15,7869.1, 0 
2020-12-04,7969.58,7952.8,8012.79,7928.56, 0 
