Position Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status
0,0,231.0,2023-03-30,388.51,89.74581,2023-08-11,430.47,99.43857000000001,9503.575620000009,0.10589436565339383,Long,Closed
1,0,226.0,2023-08-31,435.01,98.31226,2023-09-20,425.19,96.09294,-2413.7251999999926,-0.024551619502999857,Long,Closed
2,0,227.0,2023-11-06,422.33000000000004,95.86891,2024-04-15,492.47,111.79069,15714.1204,0.16391258020978855,Long,Closed
3,0,218.0,2024-05-07,504.85999999999996,110.05948,2024-07-25,527.31,114.95357999999999,4669.086939999991,0.042423305470823514,Long,Closed
4,0,211.0,2024-08-16,542.88,114.54768,2024-09-10,537.48,113.40828,-1367.3559599999942,-0.011937002652519844,Long,Closed
5,0,208.0,2024-09-11,542.99,112.94192,2024-11-04,559.8,116.4384,3267.0996799999957,0.028927254645573545,Long,Closed
6,0,200.0,2024-11-06,580.65,116.13,2024-12-19,575.8,115.15999999999998,-1201.2900000000147,-0.010344355463704597,Long,Closed
7,0,194.0,2024-12-26,592.79,115.00126,2024-12-30,579.86,112.49284,-2735.914099999998,-0.023790296732401003,Long,Closed
8,0,189.0,2025-01-21,594.48,112.35672000000001,2025-02-26,586.09,110.77101000000002,-1808.8377299999918,-0.016099061364553822,Long,Closed
9,0,202.0,2025-04-29,548.08,110.71216000000001,2025-11-18,656.39,132.59078,21635.317059999998,0.1954195190483141,Long,Closed
10,0,192.0,2025-11-28,679.57,130.47744,2026-02-05,675.79,129.75168,-985.9891200000093,-0.007556778551142705,Long,Closed
11,0,187.0,2026-02-09,692.08,129.41896,2026-02-12,679.43,127.05340999999999,-2622.0223700000174,-0.02025995549647453,Long,Closed
12,0,187.0,2026-04-09,679.91,127.14317,2026-04-17,710.14,0.0,5525.8668299999945,0.0434617669985733,Long,Open
