code,name,price,pe_inv,pb_inv,ps_inv,pcf_inv,dividend,chg_5d,chg_10d,chg_20d,chg_60d,chg_ytd,turnover,market_cap,volume_ratio,value_score,quality_score,growth_score,momentum_score,volatility_score,liquidity_score,combined_factor,weight
sh601598,中国外运,6.06,0.09250693802035152,0.9523809523809523,2.2222222222222223,0.07097232079488999,4.79,0.0,-3.5,4.3,3.95,0.0,0.21,43473000000.0,0.85,1.5736615339323978,1.4628408643949162,0.1712018667761856,1.2084000213912782,1.522603580705416,-0.6643379305515208,1.0493395501609886,0.05651244899752319
sh600008,首创环保,3.05,0.0791139240506329,0.9259259259259258,0.8403361344537815,0.1680672268907563,6.89,0.33,-2.56,-6.15,0.0,3.04,0.91,22389000000.0,1.16,1.589353315609786,1.6853677789288064,-0.05828148656210592,0.7606362925346646,1.6391665342522421,-0.896925850280261,1.0007482238598526,0.04399207334943207
sh600483,福能股份,9.86,0.10416666666666667,1.0204081632653061,0.49504950495049505,0.1763668430335097,3.88,-3.52,-4.64,-10.12,3.9,4.12,1.37,27412000000.0,1.3,1.612218483196838,1.3169215761759723,-0.12384815894447482,1.9484279414681067,0.3496888606404782,0.22515370841109478,1.0003297579990866,0.04389729021987872
sh603565,中谷物流,10.72,0.08888888888888889,0.46511627906976744,0.4716981132075471,0.13054830287206265,11.38,-7.98,-6.38,-4.8,5.2,6.77,1.49,22513000000.0,1.57,1.1047014300881557,1.7291435653944898,-0.37154447683342445,2.4673842297245168,0.13113332274017936,0.03185428863653384,0.9904575675745976,0.041719511774180124
sz002958,青农商行,3.03,0.1763668430335097,2.1739130434782608,0.6289308176100629,0.5649717514124294,3.96,1.34,1.34,-2.88,-1.94,-2.26,1.48,16834000000.0,1.37,1.8892905139575855,1.3388094694088137,0.3642592910131613,0.02622883767360953,1.682877641832302,-0.36888841089609353,0.9866764946319719,0.04091432967226057
sz000921,海信家电,22.51,0.10224948875255624,0.5617977528089888,2.857142857142857,0.1858736059479554,5.46,0.22,1.17,0.13,-8.87,-9.27,0.89,31173000000.0,1.66,1.5812832564614148,1.5759283127645982,1.0709223155786936,-0.6613414070560016,1.5735998728821525,-0.3075983509675734,0.9769560115974019,0.03891495533914125
sh600153,建发股份,8.95,0.07849293563579278,2.127659574468085,25.0,1.2345679012345678,5.64,-0.56,1.82,-1.1,-1.0,-1.1,0.44,25951000000.0,0.88,1.9861312237380397,1.6051121704083873,0.26955187534973896,0.2547944231150606,1.7193035648156851,-1.6685519893803398,0.9681965679037434,0.037197082656765086
sh601577,长沙银行,9.83,0.20746887966804978,1.7543859649122808,0.6622516556291391,1.2658227848101264,6.31,3.58,4.24,1.76,5.7,1.34,0.48,39532000000.0,1.27,1.9009472660607885,1.6780718145178593,0.0655666723823687,0.07493953621031205,1.1801999046616143,-0.7036264305057001,0.9274506807791968,0.03015094144827191
sh601928,凤凰传媒,9.54,0.07396449704142012,0.819672131147541,0.5076142131979695,0.06329113924050632,6.29,-3.93,-2.85,-1.55,-5.45,-4.98,0.2,24278000000.0,0.44,1.1477417455461358,1.670775850106912,0.6046704230818474,1.1016111822915837,1.3550443349818535,-1.7911321092373786,0.92732799176551,0.030131880956660605
sh600970,中材国际,10.12,0.10787486515641856,0.8620689655172414,1.8867924528301885,0.06720430107526881,4.48,-4.17,-6.38,-1.08,-6.21,-2.6,0.54,26533000000.0,0.65,1.5198611396099226,1.4154170957237595,0.42254077757526665,1.3432911865698391,0.8887925207945492,-1.3919609497029184,0.9168240796235808,0.02854392325939866
