date,open,close,high,low,volume,amount
2026-04-17,26210.97,26160.33,26280.96,26015.44,23804204.0,238042048140.0
2026-04-16,26122.8,26394.26,26403.07,26122.8,25622793.0,256227932810.0
2026-04-15,26168.25,25947.32,26216.58,25947.32,24558775.0,245587755920.0
2026-04-14,25929.4,25872.32,25995.09,25668.53,23677597.0,236775978480.0
2026-04-13,25708.64,25660.85,25717.38,25508.53,20790896.0,207908967480.0
2026-04-10,25891.88,25893.54,26073.97,25843.65,24631651.0,246316510220.0
2026-04-09,25756.41,25752.4,25854.8,25653.63,24497718.0,244977182470.0
2026-04-08,25772.56,25893.02,25934.18,25668.67,37243701.0,372437019320.0
2026-04-02,25254.49,25116.53,25254.49,24901.77,24362753.0,243627538740.0
2026-04-01,25357.23,25294.03,25429.76,25203.69,29142111.0,291421115090.0
2026-03-31,24818.2,24788.14,24988.53,24559.57,25575957.0,255759570870.0
2026-03-30,24532.85,24750.79,24811.86,24409.57,28543488.0,285434883700.0
2026-03-27,24768.66,24951.88,25095.57,24712.92,26308082.0,263080823220.0
2026-03-26,25267.16,24856.43,25278.03,24793.1,26166236.0,261662366420.0
2026-03-25,25280.52,25335.95,25390.3,25015.2,35093289.0,350932898060.0
2026-03-24,24759.82,25063.71,25077.09,24555.5,30307335.0,303073359910.0
2026-03-23,24789.14,24382.47,24789.14,24203.54,36867737.0,368677379540.0
2026-03-20,25337.28,25277.32,25563.88,25121.46,34251750.0,342517507760.0
2026-03-19,25550.56,25500.58,25737.83,25449.06,30621350.0,306213502850.0
2026-03-18,25923.03,26025.42,26117.95,25791.82,24037387.0,240373872830.0
2026-03-17,25938.43,25868.54,26250.14,25844.95,26825875.0,268258756960.0
2026-03-16,25436.27,25834.02,25856.73,25317.81,26445339.0,264453396000.0
2026-03-13,25583.55,25465.6,25697.17,25419.87,24654212.0,246542129340.0
2026-03-12,25719.47,25716.76,25932.58,25521.15,24218028.0,242180288170.0
2026-03-11,26112.08,25898.76,26149.64,25819.1,25448133.0,254481335540.0
2026-03-10,25740.29,25959.9,25959.9,25611.79,33092874.0,330928749700.0
2026-03-09,25075.74,25408.46,25442.62,24906.0,39233037.0,392330379140.0
2026-03-06,25358.56,25757.29,25806.72,25267.63,29276601.0,292766015240.0
2026-03-05,25583.65,25321.34,25736.6,25236.68,32187206.0,321872065060.0
2026-03-04,25469.34,25249.48,25470.05,24958.43,36430385.0,364303855050.0
2026-03-03,26190.24,25768.08,26218.93,25727.0,37054542.0,370545422620.0
2026-03-02,26305.58,26059.85,26403.85,25882.95,35767866.0,357678664200.0
2026-02-27,26447.05,26630.54,26701.5,26375.7,28842037.0,288420375170.0
2026-02-26,27019.74,26381.02,27024.07,26373.01,25927686.0,259276862710.0
2026-02-25,26745.2,26765.72,26870.03,26632.53,23676513.0,236765139480.0
2026-02-24,26913.68,26590.32,26913.68,26480.86,25099214.0,250992144840.0
2026-02-23,26798.97,27081.91,27156.28,26798.97,17296334.0,172963345620.0
2026-02-20,26657.84,26413.35,26694.34,26356.96,16537268.0,165372681290.0
2026-02-16,26501.2,26705.94,26734.41,26382.41,8499658.0,84996586230.0
2026-02-13,26640.16,26567.12,26774.44,26444.46,25757759.0,257577592520.0
2026-02-12,27210.56,27032.54,27215.63,26932.56,23870504.0,238705043720.0
2026-02-11,27246.18,27266.38,27325.98,27133.77,21721751.0,217217515460.0
2026-02-10,27202.96,27183.15,27397.65,27104.82,23403958.0,234039585140.0
2026-02-09,26982.49,27027.16,27111.54,26879.1,25514160.0,255141608010.0
2026-02-06,26354.34,26559.95,26710.34,26295.03,24786532.0,247865325140.0
2026-02-05,26627.95,26885.24,26919.39,26410.77,31511224.0,315112240340.0
2026-02-04,26797.05,26847.32,27004.22,26593.18,28543280.0,285432803940.0
2026-02-03,26995.76,26834.77,27126.48,26431.8,33515248.0,335152488420.0
2026-02-02,27097.34,26775.57,27100.09,26507.62,34788574.0,347885741250.0
2026-01-30,27785.98,27387.11,27887.24,27384.02,30161239.0,301612398980.0
2026-01-29,27627.11,27968.09,28056.1,27611.9,33199416.0,331994167280.0
2026-01-28,27325.89,27826.91,27826.91,27258.1,36152310.0,361523100190.0
2026-01-27,26863.15,27126.95,27188.9,26829.71,25437261.0,254372617920.0
