date,open,close,high,low,volume,amount
2026-04-17,706.14,710.14,712.39,705.76,70661926.0,50156354897.0
2026-04-16,701.06,701.66,702.78,698.53,49972363.0,35021998832.0
2026-04-15,695.26,699.94,700.28,694.2,58240384.0,40641798198.0
2026-04-14,687.69,694.46,694.58,687.66,63480529.0,43948336857.0
2026-04-13,677.41,686.1,686.3,676.58,54185819.0,36956886145.0
2026-04-10,681.32,679.46,682.03,678.45,42253456.0,28730880406.0
2026-04-09,674.84,679.91,681.16,673.77,57134445.0,38742635233.0
2026-04-08,676.39,676.01,677.08,671.46,93606114.0,63168394455.0
2026-04-07,656.65,659.22,659.61,651.06,69980362.0,45870338372.0
2026-04-06,655.86,658.93,659.72,655.52,39105758.0,25716585317.0
2026-04-02,646.42,655.83,658.2,645.11,68358713.0,44634902020.0
2026-04-01,653.9,655.24,658.52,653.0,97841472.0,64153671112.0
2026-03-31,638.94,650.34,651.54,637.98,152534102.0,98473454625.0
2026-03-30,640.11,631.97,640.37,629.28,99275851.0,62971658547.0
2026-03-27,642.5,634.09,642.66,633.11,103649368.0,66091260597.0
2026-03-26,652.06,645.09,654.85,644.82,96494375.0,62688340211.0
2026-03-25,658.67,656.82,660.89,654.24,90653787.0,59595547979.0
2026-03-24,651.32,653.18,657.03,649.88,96457478.0,63071832798.0
2026-03-23,658.07,655.38,662.62,653.94,134802732.0,88720410273.0
2026-03-20,656.51,648.57,656.69,644.72,163617522.0,106402168373.0
2026-03-19,655.2,658.02,661.19,653.4,111272539.0,73265507996.0
2026-03-18,666.55,659.64,667.91,659.4,82062576.0,54597718625.0
2026-03-17,670.58,668.98,672.62,667.89,87128044.0,58534029464.0
2026-03-16,666.58,667.22,670.25,665.32,82023130.0,54899308312.0
2026-03-13,667.46,660.5,670.52,659.57,97200242.0,64668931077.0
2026-03-12,669.35,664.26,669.84,664.07,108882246.0,72797115396.0
2026-03-11,675.75,674.5,678.24,671.52,68441672.0,46260445867.0
2026-03-10,675.89,675.35,681.51,672.94,81505315.0,55365623337.0
2026-03-09,664.59,676.44,678.08,660.6,102667711.0,68844707532.0
2026-03-06,671.59,670.57,674.28,667.95,100686951.0,67800118259.0
2026-03-05,680.24,679.47,683.68,673.79,106606464.0,72484653920.0
2026-03-04,679.79,683.28,685.24,677.78,79182244.0,54247800305.0
2026-03-03,673.24,678.49,680.77,667.85,105003113.0,71036928588.0
2026-03-02,676.87,684.53,686.76,676.19,87477198.0,59940148290.0
2026-02-27,681.25,684.14,685.01,679.8,83308868.0,57036675307.0
2026-02-26,691.41,687.44,691.43,682.5,71670990.0,49317279626.0
2026-02-25,688.32,691.28,691.81,688.24,56369479.0,39017865569.0
2026-02-24,680.06,685.49,686.49,678.16,73798727.0,50622601528.0
2026-02-23,685.97,680.55,688.14,678.53,90558087.0,61867719845.0
2026-02-20,680.48,687.57,688.2,679.89,100033986.0,68759983471.0
2026-02-19,681.99,682.63,684.33,679.71,58649363.0,40103911620.0
2026-02-18,682.17,684.44,687.29,680.99,73570341.0,50508363956.0
2026-02-17,678.3,681.01,683.09,673.96,81354660.0,55411162990.0
2026-02-13,679.85,679.91,684.43,675.69,96267487.0,65717021817.0
2026-02-12,692.37,679.43,693.47,678.53,118828963.0,81504781612.0
2026-02-11,694.51,690.09,695.26,687.32,76353872.0,52888619441.0
2026-02-10,693.07,690.25,694.66,689.79,65185725.0,45243400235.0
2026-02-09,687.56,692.08,693.99,686.48,73885192.0,51249007195.0
2026-02-06,679.62,688.75,690.44,679.01,89127566.0,61279756250.0
2026-02-05,679.1,675.79,681.84,673.97,113610812.0,77143138040.0
2026-02-04,688.49,684.34,689.58,679.92,105204600.0,72245615432.0
2026-02-03,694.33,687.67,695.08,682.18,107904611.0,74425908578.0
2026-02-02,687.72,693.53,695.05,687.56,79286521.0,55100634322.0
2026-01-30,689.92,690.1,692.34,685.26,101835131.0,70401897049.0
2026-01-29,694.51,692.17,695.18,682.98,97486198.0,67336553489.0
2026-01-28,695.17,693.54,695.96,692.07,61172165.0,42561962701.0
2026-01-27,692.31,693.61,694.65,691.7,55506147.0,38609714732.0
2026-01-26,688.63,690.86,692.26,688.06,60473813.0,41907050991.0
2026-01-23,686.29,687.37,689.09,685.3,63059578.0,43461073550.0
2026-01-22,687.99,687.12,689.26,685.07,77112243.0,53149330144.0
2026-01-21,677.82,683.55,686.88,676.3,127844467.0,87347028883.0
2026-01-20,679.65,675.75,682.92,674.74,111623277.0,75957226439.0
2026-01-16,691.79,689.79,692.38,688.24,79289200.0,54895083718.0
2026-01-15,692.7,690.37,693.57,689.38,77861974.0,54003018577.0
2026-01-14,689.13,688.5,689.85,684.19,94676684.0,65193885023.0
2026-01-13,693.61,691.9,694.21,689.48,78309726.0,54308802233.0
2026-01-12,688.82,693.28,694.21,688.76,63976002.0,44417814570.0
2026-01-09,688.76,692.2,693.43,687.32,80125467.0,55543333969.0
2026-01-08,686.96,687.65,688.75,685.63,64019200.0,44123688342.0
2026-01-07,690.32,687.72,692.09,687.46,75588337.0,52287837586.0
2026-01-06,686.07,689.94,690.45,685.92,69273827.0,47836110403.0
2026-01-05,684.69,685.86,687.57,684.53,71927191.0,49481969027.0
2026-01-02,683.86,681.33,685.02,677.99,89377203.0,61039433982.0
2025-12-31,685.28,680.08,685.5,679.87,74144801.0,50740052147.0
2025-12-30,685.59,685.15,686.7,684.73,47160671.0,32422423051.0
2025-12-29,685.68,685.99,687.34,684.22,62559503.0,43017670961.0
2025-12-26,688.77,688.45,689.79,687.41,41613347.0,28725730034.0
2025-12-24,686.09,688.52,688.97,685.94,39445560.0,27207220093.0
2025-12-23,682.07,686.1,686.34,682.02,64839951.0,44537345495.0
2025-12-22,682.09,682.98,683.51,678.75,69556733.0,47605081030.0
2025-12-19,674.76,678.75,679.25,674.64,103599543.0,70437667493.0
2025-12-18,673.81,672.69,676.93,671.13,108650128.0,73640022477.0
2025-12-17,676.09,667.65,676.63,667.45,110625198.0,74607822930.0
2025-12-16,675.43,675.07,677.27,671.21,122030631.0,82772835762.0
2025-12-15,681.9,676.92,681.92,675.45,90810952.0,61876621478.0
