date,action,code,shares,price,reason,pnl_pct
2021-06-07,BUY,DDOG,149,90.66531,动量轮换,
2021-06-07,BUY,NEM,218,62.03210681533813,动量轮换,
2021-06-07,BUY,NVDA,772,17.578785,动量轮换,
2021-06-07,BUY,CRWD,63,215.51770499999998,动量轮换,
2021-06-07,BUY,RTX,169,80.07002904510497,动量轮换,
2021-06-07,BUY,COP,275,49.262618999999994,动量轮换,
2021-06-07,BUY,PLTR,554,24.47223,动量轮换,
2021-06-08,SELL,COP,275,49.781097,调出Top7,1.052477538800787
2021-06-08,BUY,CRM,58,233.11570614624023,动量轮换,
2021-06-09,SELL,NEM,218,60.652893550872804,调出Top7,-2.2233861386831086
2021-06-09,SELL,RTX,169,79.88209707641602,调出Top7,-0.2347095048299429
2021-06-09,BUY,SNPS,52,256.18802755737295,动量轮换,
2021-06-09,BUY,AMT,58,229.5762328262329,动量轮换,
2021-06-14,SELL,AMT,58,232.7224630050659,调出Top7,1.3704511743662824
2021-06-14,BUY,AMAT,105,133.52763743591308,动量轮换,
2021-06-17,SELL,AMAT,105,131.75347202301026,调出Top7,-1.3286877885144437
2021-06-17,BUY,AMT,61,232.83523150634764,动量轮换,
2021-06-23,SELL,AMT,61,228.03691022491455,调出Top7,-2.060822690101466
2021-06-23,BUY,NOW,132,110.09502,动量轮换,
2021-06-28,SELL,CRM,58,240.91076487731928,调出Top7,3.343858232438867
2021-06-28,BUY,AMZN,86,172.28060103607177,动量轮换,
2021-06-30,SELL,SNPS,52,275.65211354064945,调出Top7,7.597578297806111
2021-06-30,SELL,AMZN,86,171.92199160766603,调出Top7,-0.2081542705615808
2021-06-30,BUY,MSFT,56,260.71029,动量轮换,
2021-06-30,BUY,AMD,156,93.97696530532836,动量轮换,
2021-07-01,SELL,AMD,156,93.26334255981448,调出Top7,-0.7593592144578715
2021-07-01,BUY,AAPL,108,133.99446924591064,动量轮换,
2021-07-02,SELL,MSFT,56,266.9394635,调出Top7,2.3893086460070303
2021-07-02,BUY,AMD,155,94.74734694671632,动量轮换,
2021-07-06,SELL,PLTR,554,24.66766,调出Top7,0.7985786338229158
2021-07-06,BUY,MSFT,55,267.215541,动量轮换,
2021-07-13,SELL,MSFT,55,270.140862,调出Top7,1.0947420906181702
2021-07-13,BUY,NFLX,273,54.095034793853756,动量轮换,
2021-07-15,SELL,DDOG,149,103.42826000000001,调出Top7,14.076993725604648
2021-07-15,BUY,MSFT,53,270.459162,动量轮换,
2021-07-19,SELL,NVDA,772,18.721634500000004,调出Top7,6.501299720088754
2021-07-19,SELL,CRWD,63,250.27480000000003,调出Top7,16.127257387043933
2021-07-19,BUY,ORCL,175,81.63413468170165,动量轮换,
2021-07-19,BUY,AMZN,80,177.5682472000122,动量轮换,
2021-07-20,SELL,AMD,155,87.06644561004639,调出Top7,-8.106719168600565
2021-07-20,SELL,AMZN,80,178.5701703720093,调出Top7,0.5642468109000048
2021-07-20,BUY,AMT,59,244.48944742584226,动量轮换,
2021-07-20,BUY,SNPS,52,278.0289596557617,动量轮换,
2021-07-21,SELL,SNPS,52,278.0808912200928,调出Top7,0.018678473061001687
2021-07-21,BUY,GOOGL,113,126.57025349999999,动量轮换,
2021-07-22,SELL,NFLX,273,51.15140963935852,调出Top7,-5.441581035510657
2021-07-22,BUY,PLD,130,110.95735982894897,动量轮换,
2021-08-04,SELL,AAPL,108,143.30006400299072,调出Top7,6.944760339325784
2021-08-04,BUY,AMD,123,118.82938164138794,动量轮换,
2021-08-05,SELL,AMT,59,244.038030418396,调出Top7,-0.18463660178346758
2021-08-05,BUY,DDOG,110,132.536235,动量轮换,
2021-08-06,SELL,ORCL,175,83.93404805374146,调出Top7,2.817342746398141
2021-08-06,BUY,LIN,50,286.87667353820797,动量轮换,
2021-08-09,SELL,MSFT,53,277.207327,调出Top7,2.4950772420126146
2021-08-09,BUY,SNPS,49,291.5456938934326,动量轮换,
2021-08-13,SELL,NOW,132,117.51121499999999,调出Top7,6.736176622702813
2021-08-13,BUY,FCX,416,35.33766,动量轮换,
2021-08-17,SELL,PLD,130,116.86948402404786,调出Top7,5.3282848512374335
2021-08-17,BUY,PLTR,602,23.981984999999998,动量轮换,
2021-08-19,SELL,FCX,416,29.635175,调出Top7,-16.137132453026034
2021-08-19,BUY,PLD,124,116.17497893142699,动量轮换,
2021-08-26,SELL,AMD,123,107.21636164474488,调出Top7,-9.77285233351604
2021-08-26,BUY,MSFT,50,288.388122,动量轮换,
2021-08-27,SELL,GOOGL,113,142.756586,调出Top7,12.788417540777072
2021-08-27,SELL,PLD,124,114.45503480911256,调出Top7,-1.480477240567987
2021-08-27,BUY,NVDA,657,22.5882885,动量轮换,
2021-08-27,BUY,CRM,56,262.80485971069334,动量轮换,
2021-08-31,SELL,LIN,50,294.7603524932862,调出Top7,2.748107351442854
2021-08-31,BUY,NFLX,262,56.94745821762085,动量轮换,
2021-09-03,SELL,MSFT,50,290.0738905,调出Top7,0.5845485203443971
2021-09-03,BUY,NOW,111,135.79786499999997,动量轮换,
2021-09-08,SELL,DDOG,110,139.500215,调出Top7,5.254397033384864
2021-09-08,BUY,LITE,169,88.214085,动量轮换,
2021-09-13,SELL,CRM,56,250.30802617645267,调出Top7,-4.755175968967128
2021-09-13,BUY,AMT,57,254.51953015136718,动量轮换,
2021-09-15,SELL,AMT,57,256.55232373046874,调出Top7,0.7986788196145999
