strategy,regime,market,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,avg_win,avg_loss,calmar_ratio,sortino_ratio,n_days
Blakever牛市,牛市,港股,-17.30251734540566,-10.39916491698647,32.479266802754125,-0.18999322116568718,50.0,0.45609634063204596,2,21.278168307649228,-31.811731815726592,-0.45272252358940956,-0.26086328132114484,436
长期持有,牛市,港股,-7.326269057921053,-4.302289303069884,44.12377826690352,0.10501302343196912,,,1,,,-0.13985424899277737,0.142313511810026,436
EMA Crossover,牛市,港股,-21.77510737562065,-13.23284594440417,43.07751746499689,-0.2735471996256441,0.0,0.0,6,,-7.866730996367982,-0.43139375916054845,-0.3749212812000058,436
Blakever震荡市,震荡市,港股,-9.066120723732311,-2.913440186841565,45.25364589194064,-0.02419409623027863,54.54545454545454,0.8229966416108107,11,9.5769654998362,-11.627637644678853,-0.09263672975833781,-0.03180724888584987,810
长期持有,震荡市,港股,-14.978587016919406,-4.92299847067923,47.32096153815727,-0.02528329872449649,,,1,,,-0.1490059036019417,-0.03385422395679654,810
EMA Crossover,震荡市,港股,-34.26273682907029,-12.23544191046334,47.42810747248269,-0.6302321142031759,14.285714285714285,0.050494440552615955,8,4.228505760186652,-8.874735232087659,-0.3631668877937661,-0.7077816719676502,810
Blakever熊市,熊市,港股,-51.18624134800043,-21.312568891320403,54.716909126241774,-0.761006127510797,12.5,0.14678797311857494,8,9.073146176901178,-9.199315700786702,-0.5360527928715085,-0.7805680951046267,754
长期持有,熊市,港股,-6.694446735303288,-2.2892026791030085,46.305025209586326,0.13903597680972976,,,1,,,-0.07123675961081015,0.2828949553654005,754
EMA Crossover,熊市,港股,9.295029209917985,3.015110553569378,33.50566037730931,0.26952658183024514,0.0,0.0,9,,-3.9675412712924616,0.13121617816383915,0.7607091062897633,754
长期持有,全周期,港股,-15.732124306433548,-2.1336440258554745,53.52422119871082,0.029719150940063322,,,1,,,-0.05746099272405111,0.04219019541199839,2000
EMA Crossover,全周期,港股,-11.439374022143923,-1.5190282308459868,32.996328061166075,-0.03662916993287414,30.434782608695656,0.7839556111608398,23,7.204795104831378,-3.6779522860874847,-0.06645180163695949,-0.04994010857000088,2000
Blakever牛市,牛市,美股,97.15763596504566,15.19933751675049,8.739128508778407,1.5905216583195267,100.0,999.0,6,15.455731764240626,,2.6026985967510914,2.2739472518483557,1209
长期持有,牛市,美股,140.8320877782832,20.10560880167589,16.547067064729738,1.6496570905444283,,,1,,,1.8365101690207224,2.2355632828127345,1209
EMA Crossover,牛市,美股,94.78908766363985,14.909491199994518,8.739128508778407,1.526332984577907,83.33333333333334,54.937512974934386,7,15.455731764240618,-1.2013474851289527,2.5515419861561726,2.1791532180446995,1209
Blakever震荡市,震荡市,美股,19.442038394903562,8.728452657346764,15.147479905478988,0.9645766822873102,80.0,3.259084738296281,5,6.956593871004224,-8.606157203986088,0.8507004836087666,1.4860727387256625,535
长期持有,震荡市,美股,151.05001764257287,54.27597114494445,19.778213767806868,1.5532012461437574,,,1,,,4.418219331889019,4.486363141436398,535
EMA Crossover,震荡市,美股,110.65800886390554,42.041188812554495,20.899047491222582,1.3290798486858835,50.0,6.001246258885836,3,41.37775380109878,-4.876906008676419,3.1699487526103787,4.399801784108518,535
Blakever熊市,熊市,美股,0.0,0.0,,0.0,,,0,,,,inf,256
长期持有,熊市,美股,130.9696493067692,127.96825210676413,22.372607321414318,1.7448586009495506,,,1,,,10.274854588370147,4.729449954266686,256
EMA Crossover,熊市,美股,56.208042667021665,55.123207140612564,13.733423780727739,1.4217526041299258,0.0,0.0,2,,-2.3572919502677223,6.471570490784085,5.286724639924627,256
长期持有,全周期,美股,167.15332344337492,13.180558648155438,33.924959024260595,0.8832321632273213,,,1,,,0.5789849013278949,1.243232065759895,2000
EMA Crossover,全周期,美股,73.20188576196443,7.166150221873835,26.513365025214004,0.7826136379060903,42.857142857142854,3.273680617352829,15,15.164204916457965,-3.067423631342494,0.39769272362148184,1.062650147405721,2000
