股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
hk00001,533,46.1,2021-08-03,2026-04-17,-3.96,24.43,27.3,-0.25,11,-11.88,30.15,28.6,-1.25,7,-5.88,32.77,20.0,-0.29,16,-7.39,29.91,33.3,-0.6,16,15.96,23.6,0.77,-19.92
hk00002,614,53.2,2021-08-03,2026-04-17,-0.8,14.35,38.5,-0.06,13,-1.66,12.04,25.0,-0.27,8,4.3,9.22,38.5,0.45,14,4.21,8.42,56.2,0.54,17,4.52,28.71,0.38,-5.32
hk00003,439,38.0,2021-08-03,2026-04-17,-4.24,15.15,33.3,-0.32,9,-7.86,15.47,12.5,-0.85,8,3.6,11.81,55.6,0.36,9,0.98,16.32,41.7,0.17,12,8.48,17.55,0.57,-12.72
hk00005,835,72.3,2021-08-03,2026-04-17,8.94,21.78,38.5,0.67,14,0.44,23.18,50.0,0.13,12,23.89,20.7,50.0,1.13,15,11.24,12.24,34.6,0.95,27,57.59,21.75,1.95,-48.65
hk00006,629,54.5,2021-08-03,2026-04-17,8.18,15.58,36.4,0.79,12,10.1,10.14,100.0,1.09,5,7.96,17.69,28.6,0.69,15,-0.74,17.59,27.8,-0.01,19,16.52,21.8,1.0,-8.34
hk00011,357,32.6,2021-08-03,2026-01-14,17.67,15.8,40.0,0.87,6,-4.05,10.68,20.0,-0.34,6,25.97,11.7,28.6,1.07,8,37.62,7.72,85.7,1.52,7,27.62,27.0,1.02,-9.95
hk00012,466,40.3,2021-08-03,2026-04-17,-10.42,21.56,20.0,-0.57,10,-9.97,19.41,14.3,-0.63,7,-5.12,22.58,26.7,-0.15,15,-7.8,29.47,33.3,-0.41,12,13.38,22.38,0.65,-23.8
hk00016,421,36.5,2021-08-03,2026-04-17,5.89,17.67,28.6,0.48,7,6.56,13.08,25.0,0.53,8,11.58,19.07,44.4,0.75,10,8.03,15.74,30.0,0.75,11,36.46,32.01,1.38,-30.57
hk00020,363,34.5,2021-12-30,2026-04-17,22.34,35.62,50.0,0.8,4,16.77,35.62,60.0,0.69,5,-12.78,51.92,44.4,0.01,9,23.72,45.6,62.5,0.85,8,-15.41,66.07,0.23,37.75
hk00027,368,31.9,2021-08-03,2026-04-17,-13.17,19.52,0.0,-1.36,5,-10.04,14.59,0.0,-1.64,2,-15.7,31.45,10.0,-0.63,10,-4.72,21.81,36.4,-0.15,11,-4.99,36.58,0.11,-8.18
hk00066,357,30.9,2021-08-03,2026-04-17,6.07,7.67,40.0,0.74,6,5.64,7.67,100.0,0.77,3,5.03,15.4,28.6,0.54,8,12.23,11.08,28.6,1.57,8,-7.86,35.62,-0.09,13.93
hk00101,324,28.1,2021-08-03,2026-04-17,9.3,16.14,25.0,0.73,5,1.77,10.89,75.0,0.24,4,7.77,16.56,33.3,0.52,7,-1.46,15.74,50.0,-0.02,7,-22.26,58.95,-0.15,31.56
hk00175,322,27.9,2021-08-03,2026-04-17,-19.22,35.8,20.0,-0.52,6,-6.7,25.55,40.0,-0.1,6,1.11,27.71,44.4,0.28,10,24.52,19.33,62.5,0.96,9,113.68,29.81,1.66,-132.9
hk00241,397,34.4,2021-08-03,2026-04-17,15.24,21.75,66.7,0.67,3,-5.54,21.75,33.3,-0.08,3,13.91,32.07,33.3,0.61,6,31.67,26.38,50.0,1.07,6,-30.28,65.11,-0.35,45.52
hk00267,649,56.2,2021-08-03,2026-04-17,-2.17,31.8,27.3,0.01,12,1.38,25.41,42.9,0.2,7,-10.99,36.71,22.2,-0.34,19,1.65,29.78,47.4,0.22,20,33.07,27.92,1.19,-35.24
hk00268,284,24.6,2021-08-03,2026-04-17,38.15,33.86,66.7,1.18,3,25.38,27.42,100.0,0.91,2,11.6,36.97,40.0,0.56,5,45.02,19.44,50.0,1.56,6,-13.29,57.7,0.32,51.44
hk00285,386,33.4,2021-08-03,2026-04-17,-13.03,31.17,12.5,-0.38,8,-2.56,25.65,20.0,0.02,5,-8.03,42.7,20.0,0.02,10,17.06,29.81,45.5,0.77,11,49.23,37.76,1.16,-62.26
hk00288,673,58.3,2021-08-03,2026-04-17,9.96,20.18,60.0,0.67,11,1.52,12.35,60.0,0.21,11,16.54,26.44,35.7,0.84,15,-1.87,26.04,36.8,-0.0,20,40.53,27.34,1.41,-30.57
hk00291,236,20.4,2021-08-03,2026-04-17,-14.04,13.21,0.0,-2.79,2,-10.38,9.75,0.0,-2.28,2,-24.79,29.89,0.0,-1.36,7,-22.95,23.16,0.0,-2.74,7,-50.98,59.03,-0.93,36.94
hk00300,182,47.0,2024-09-17,2026-04-17,-20.05,20.59,0.0,-1.95,4,-0.3,6.87,0.0,0.04,1,-7.58,11.7,40.0,-0.36,6,0.17,7.59,50.0,0.1,5,22.85,11.15,1.17,-42.9
hk00316,456,39.5,2021-08-03,2026-04-17,-5.8,27.18,40.0,-0.09,10,-4.66,15.65,33.3,-0.39,3,-21.05,47.15,18.2,-0.33,11,15.47,21.93,50.0,0.72,12,0.66,55.53,0.4,-6.46
hk00322,428,37.1,2021-08-03,2026-04-17,6.19,13.54,37.5,0.48,8,-5.62,17.84,42.9,-0.3,7,6.13,19.74,37.5,0.44,9,5.71,11.17,60.0,0.48,10,3.48,34.66,0.34,2.71
hk00386,621,53.8,2021-08-03,2026-04-17,5.17,30.03,62.5,0.41,8,10.37,17.84,42.9,0.75,7,0.92,30.3,31.2,0.2,16,-0.18,29.15,40.0,0.12,20,26.9,22.37,1.08,-21.73
hk00388,401,34.7,2021-08-03,2026-04-17,2.74,19.24,50.0,0.28,4,8.07,8.7,80.0,0.67,5,-19.95,40.68,20.0,-0.74,10,-6.1,18.68,21.4,-0.27,14,15.9,31.46,0.66,-13.16
hk00669,390,33.8,2021-08-03,2026-04-17,9.19,17.64,37.5,0.66,8,14.67,12.95,100.0,1.11,3,6.64,22.13,42.9,0.45,7,2.54,29.48,33.3,0.27,9,11.29,24.45,0.57,-2.1
hk00688,241,20.9,2021-08-03,2026-04-17,-23.18,26.49,25.0,-1.09,4,-14.96,24.68,33.3,-0.71,3,-36.84,39.24,12.5,-1.69,8,-37.7,37.3,0.0,-2.1,6,-33.17,46.68,-0.34,9.99
hk00700,559,48.4,2021-08-03,2026-04-17,-0.69,23.19,28.6,0.06,7,3.67,21.29,50.0,0.36,4,-1.87,25.91,27.8,0.05,18,1.66,20.62,27.8,0.22,18,20.77,25.2,0.88,-21.46
hk00728,788,68.2,2021-08-03,2026-04-17,-1.04,40.78,23.5,0.09,17,3.64,32.78,20.0,0.32,10,12.42,26.58,33.3,0.67,24,17.51,14.12,52.0,1.01,25,42.58,21.5,1.55,-43.62
hk00762,645,55.8,2021-08-03,2026-04-17,7.64,30.18,30.8,0.48,13,8.53,24.31,57.1,0.54,7,32.13,24.14,50.0,1.19,16,2.4,31.04,35.0,0.26,20,66.72,27.66,1.75,-59.08
hk00780,567,49.1,2021-08-03,2026-04-17,-9.24,35.11,42.9,-0.33,7,-8.36,19.29,25.0,-0.81,4,-36.51,66.05,9.5,-1.37,21,-34.42,61.45,14.3,-1.81,21,18.49,22.26,0.73,-27.73
hk00836,428,37.1,2021-08-03,2026-04-17,9.0,17.58,33.3,0.61,6,5.86,11.97,66.7,0.5,3,-17.58,37.09,14.3,-0.7,15,-14.23,23.68,23.1,-0.81,13,23.39,25.74,0.92,-14.39
hk00857,606,52.5,2021-08-03,2026-04-17,18.99,21.04,45.5,1.02,12,17.87,17.01,71.4,1.05,7,35.98,29.1,41.7,1.35,13,7.64,24.51,50.0,0.54,20,92.45,27.47,2.14,-73.46
hk00868,269,23.3,2021-08-03,2026-04-17,-11.62,13.97,0.0,-0.69,2,-1.52,13.97,50.0,-0.0,2,-24.56,33.58,22.2,-1.04,9,-22.22,30.76,10.0,-1.39,10,-34.48,51.3,-0.64,22.86
hk00881,117,10.1,2021-08-03,2026-04-17,-23.68,14.4,0.0,-1.26,2,-15.68,9.88,0.0,-1.95,1,-28.36,16.71,0.0,-1.49,2,-9.53,11.73,50.0,-0.38,2,-91.75,70.48,-1.99,68.07
hk00883,789,68.3,2021-08-03,2026-04-17,22.35,18.31,63.6,1.03,11,24.08,17.37,75.0,1.21,8,31.1,31.78,53.3,1.17,15,9.92,25.08,37.9,0.61,29,65.22,31.87,1.73,-42.87
hk00939,656,56.8,2021-08-03,2026-04-17,-2.79,20.73,33.3,-0.08,13,-3.4,21.35,20.0,-0.19,10,11.39,15.88,43.8,0.71,17,14.71,10.74,55.0,1.07,21,37.94,16.46,1.63,-40.73
hk00941,759,65.7,2021-08-03,2026-04-17,11.3,14.62,58.3,0.87,12,4.09,14.47,33.3,0.43,12,11.99,20.12,46.7,0.81,15,3.02,11.66,48.0,0.35,25,35.75,17.88,1.62,-24.45
hk00960,87,7.5,2021-08-03,2026-04-17,-20.07,7.59,0.0,-3.12,1,-11.49,4.13,0.0,-3.29,1,-97.29,71.22,0.0,-2.33,2,-25.54,9.68,0.0,-2.31,1,-97.19,71.42,-2.03,77.12
hk00968,138,11.9,2021-08-03,2026-04-17,-17.69,12.61,0.0,-1.32,1,-5.28,7.57,0.0,-0.61,1,-33.08,21.5,0.0,-1.74,3,-18.1,18.19,0.0,-1.03,2,-60.75,45.06,-1.34,43.06
hk00981,546,47.3,2021-08-03,2026-04-17,16.41,51.26,33.3,0.68,9,13.54,41.49,27.3,0.63,11,29.11,47.92,41.7,0.91,12,22.92,35.19,50.0,0.83,14,84.32,34.78,1.56,-67.91
