股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
CCEP,772,58.1,2021-01-04,2026-04-17,-0.52,15.34,38.5,0.01,13,-2.39,19.24,30.0,-0.24,10,5.37,17.49,36.4,0.5,22,6.6,17.64,34.8,0.76,23,27.17,16.46,1.58,-27.69
CCI,213,19.8,2022-01-03,2026-04-17,-7.49,13.47,0.0,-0.81,2,-9.1,12.79,0.0,-1.27,2,-6.73,10.43,50.0,-0.54,4,3.8,7.93,66.7,0.45,3,-5.39,15.54,-0.14,-2.1
CCL,531,49.3,2022-01-03,2026-04-17,13.97,22.21,45.5,0.7,11,10.9,25.96,44.4,0.64,9,32.73,22.21,55.6,1.18,9,28.25,17.78,53.8,1.25,13,58.7,33.99,1.35,-44.73
CDNS,677,51.0,2021-01-04,2026-04-17,-1.43,18.26,38.5,0.04,13,-3.48,17.78,36.4,-0.17,11,2.18,24.4,40.0,0.25,15,-7.71,24.1,31.8,-0.45,22,30.92,17.84,1.19,-32.35
CDW,302,28.1,2022-01-03,2026-04-17,-2.1,12.11,50.0,-0.16,6,-11.18,15.23,0.0,-1.57,5,-3.13,15.5,42.9,-0.17,8,4.17,8.53,57.1,0.5,8,16.46,14.42,0.94,-18.56
CE,313,29.1,2022-01-03,2026-04-17,2.93,16.23,25.0,0.38,4,2.0,13.86,50.0,0.3,2,-9.54,21.91,37.5,-0.53,8,24.52,9.46,60.0,1.88,5,-38.88,70.89,-0.19,41.81
CEG,652,61.2,2022-01-19,2026-04-17,15.54,44.87,50.0,0.7,10,19.29,30.18,62.5,0.92,8,4.74,39.86,41.2,0.38,17,11.92,26.75,45.0,0.59,20,66.76,28.12,1.49,-51.22
CF,393,36.5,2022-01-03,2026-04-17,-5.43,28.24,42.9,-0.11,7,-3.31,17.66,20.0,-0.07,5,-10.42,33.15,36.4,-0.23,11,7.83,22.19,44.4,0.52,9,13.24,29.74,0.6,-18.67
CFG,546,50.7,2022-01-03,2026-04-17,1.2,15.12,36.4,0.19,12,-3.05,21.31,30.0,-0.2,10,18.14,13.66,50.0,1.03,11,7.91,15.1,50.0,0.76,17,33.26,27.44,1.32,-32.06
CHD,474,44.1,2022-01-03,2026-04-17,-7.35,20.32,30.0,-0.87,10,-1.18,11.81,40.0,-0.12,5,-4.57,21.38,35.7,-0.36,14,-10.29,20.43,31.2,-1.34,16,10.09,17.17,0.79,-17.44
CHRW,363,33.7,2022-01-03,2026-04-17,14.44,17.96,37.5,0.8,9,10.56,17.96,57.1,0.72,7,11.59,22.99,37.5,0.62,9,-3.15,23.03,20.0,-0.06,11,62.88,19.18,1.81,-48.44
CHTR,318,23.9,2021-01-04,2026-04-17,-10.53,18.97,25.0,-0.79,4,-4.65,9.91,0.0,-0.41,2,-14.94,20.53,28.6,-0.87,7,-8.31,19.77,33.3,-0.57,6,-38.95,57.13,-0.87,28.42
CI,384,35.7,2022-01-03,2026-04-17,-16.08,27.43,10.0,-1.57,10,-6.3,15.01,33.3,-0.87,6,-4.0,18.61,33.3,-0.21,9,-8.4,15.72,45.5,-0.83,11,8.94,15.69,0.61,-25.02
CIEN,508,47.2,2022-01-03,2026-04-17,59.93,27.35,41.7,1.54,13,-6.62,36.36,21.4,-0.1,15,176.12,24.18,16.7,2.64,7,6.23,32.1,38.1,0.43,22,212.07,33.26,2.84,-152.14
CINF,607,56.4,2022-01-03,2026-04-17,-3.93,24.17,44.4,-0.4,9,-5.06,12.54,25.0,-1.04,4,3.29,19.52,45.5,0.33,12,-9.86,26.91,25.0,-0.99,25,15.57,17.0,0.93,-19.5
CL,342,31.8,2022-01-03,2026-04-17,10.43,10.85,75.0,1.23,4,5.1,6.41,60.0,0.81,5,7.92,12.03,33.3,0.84,6,1.26,7.44,55.6,0.23,9,12.85,20.03,0.98,-2.42
CLX,342,31.8,2022-01-03,2026-04-17,-13.29,21.76,0.0,-1.82,5,-11.53,17.77,0.0,-1.82,4,-10.52,24.57,28.6,-1.11,7,-7.17,16.8,22.2,-1.0,9,6.56,16.61,0.45,-19.85
CMCSA,303,22.8,2021-01-04,2026-04-17,-6.95,17.6,14.3,-0.67,7,-2.28,10.63,33.3,-0.3,3,-7.63,15.38,11.1,-0.54,9,-1.76,9.71,28.6,-0.12,7,-9.03,28.32,-0.26,2.08
CME,679,63.1,2022-01-03,2026-04-17,2.44,12.64,64.3,0.31,14,3.82,8.06,44.4,0.51,9,8.05,16.25,47.1,0.66,17,1.48,23.42,30.4,0.22,23,24.9,10.39,1.54,-22.46
CMG,455,42.3,2022-01-03,2026-04-17,38.77,9.27,57.1,2.03,7,35.57,14.52,57.1,2.11,7,21.75,17.57,44.4,1.15,9,22.59,13.08,45.5,1.51,11,43.91,23.34,1.8,-5.14
CMI,615,57.2,2022-01-03,2026-04-17,19.31,19.88,55.6,1.2,9,17.03,12.85,80.0,1.21,5,14.8,25.65,37.5,0.85,17,1.44,21.64,42.9,0.2,22,57.53,15.32,1.98,-38.22
CMS,516,48.0,2022-01-03,2026-04-17,-1.91,17.87,33.3,-0.18,9,1.94,7.74,25.0,0.33,4,-3.36,18.3,30.8,-0.24,14,0.95,9.22,38.9,0.18,18,17.94,9.17,1.26,-19.85
CNC,173,16.1,2022-01-03,2026-04-17,1.14,3.63,50.0,0.3,2,0.36,0.2,100.0,0.74,1,-8.98,18.06,25.0,-0.48,4,-17.2,14.29,25.0,-1.71,4,-57.89,53.66,-1.28,59.03
CNP,473,44.0,2022-01-03,2026-04-17,1.46,9.9,33.3,0.23,9,-1.2,9.94,40.0,-0.11,5,3.22,14.0,41.7,0.35,13,2.78,12.61,42.9,0.36,14,25.76,9.68,1.64,-24.3
COF,585,54.4,2022-01-03,2026-04-17,-7.71,30.47,30.8,-0.41,13,2.29,17.78,44.4,0.26,9,7.96,24.0,38.5,0.52,13,-0.07,21.42,40.0,0.1,20,38.19,21.9,1.41,-45.9
COIN,478,44.4,2022-01-03,2026-04-17,19.48,43.57,50.0,0.73,6,44.86,30.1,60.0,1.3,5,-6.18,65.62,21.4,0.18,14,60.84,32.86,41.7,1.52,12,89.88,37.06,1.39,-70.4
COO,124,19.3,2023-09-26,2026-04-17,-12.78,8.27,0.0,-2.03,2,-5.19,4.94,0.0,-0.94,2,3.58,16.16,33.3,0.31,3,-20.38,10.61,0.0,-3.19,2,-31.76,31.83,-0.94,18.98
COP,328,30.5,2022-01-03,2026-04-17,2.19,12.46,20.0,0.27,5,-4.94,11.3,50.0,-0.56,2,-4.05,27.63,28.6,-0.1,7,17.13,10.42,50.0,1.39,6,7.81,26.67,0.47,-5.62
COR,403,61.1,2023-08-30,2026-04-17,6.8,10.52,83.3,0.69,6,0.55,10.52,33.3,0.13,3,2.47,15.38,20.0,0.27,10,4.77,13.22,27.3,0.48,11,24.81,13.11,1.28,-18.01
COST,710,53.5,2021-01-04,2026-04-17,2.64,20.33,35.7,0.3,14,5.23,16.79,55.6,0.54,9,17.26,18.26,50.0,1.2,17,8.28,16.2,36.4,0.81,22,33.82,15.93,1.8,-31.18
COTY,240,22.3,2022-01-03,2026-04-17,8.9,10.51,50.0,0.67,4,15.62,9.65,50.0,1.12,4,11.86,20.28,33.3,0.71,6,-5.89,8.24,28.6,-0.44,7,32.64,18.17,1.31,-23.74
CPAY,88,17.0,2024-03-25,2026-04-17,-11.55,4.2,0.0,-2.97,1,-11.55,4.2,0.0,-2.97,1,-31.93,16.79,0.0,-2.37,2,-27.76,10.73,0.0,-2.79,1,-17.66,19.29,-0.49,6.11
CPRT,585,44.1,2021-01-04,2026-04-17,7.96,17.21,50.0,0.8,6,4.82,14.5,60.0,0.58,5,10.98,14.1,33.3,0.81,13,8.04,12.29,43.8,0.72,16,23.74,24.63,1.25,-15.78
CRH,330,51.3,2023-09-25,2026-04-17,-9.13,13.59,33.3,-0.67,9,-3.83,8.26,0.0,-0.8,3,7.2,13.99,50.0,0.51,6,-8.29,13.86,40.0,-0.59,10,36.98,16.29,1.39,-46.11
