股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
EOG,392,36.4,2022-01-03,2026-04-17,-15.29,22.75,0.0,-1.86,6,-11.18,16.84,0.0,-1.54,5,-34.52,55.96,12.5,-2.56,16,-21.66,41.25,6.7,-2.02,15,11.76,17.93,0.63,-27.05
EPAM,188,17.5,2022-01-03,2026-04-17,-20.7,21.67,33.3,-1.43,3,-20.52,20.49,0.0,-1.5,1,-44.78,37.41,0.0,-3.12,6,-19.75,20.77,33.3,-1.37,3,-59.71,52.01,-2.24,39.01
EQIX,463,43.0,2022-01-03,2026-04-17,-5.02,13.81,33.3,-0.56,10,-7.13,12.7,14.3,-1.22,8,6.74,14.99,40.0,0.56,11,-1.23,15.68,28.6,-0.05,15,32.33,13.73,1.56,-37.35
EQR,298,27.7,2022-01-03,2026-04-17,3.4,6.91,33.3,0.52,3,4.06,4.76,75.0,0.71,4,-9.08,15.96,28.6,-0.74,8,-4.44,10.43,33.3,-0.48,9,11.54,10.69,0.82,-8.14
EQT,477,44.3,2022-01-03,2026-04-17,-12.89,27.91,0.0,-0.75,7,0.22,10.81,33.3,0.1,6,-12.62,29.91,41.7,-0.39,12,-9.04,31.06,38.5,-0.4,13,22.61,16.52,0.87,-35.5
ERIC,494,45.9,2022-01-03,2026-04-17,6.83,31.37,30.0,0.49,10,13.17,13.36,60.0,0.95,5,6.17,35.63,30.8,0.43,14,-6.39,27.02,41.2,-0.26,18,43.11,19.93,1.41,-36.28
ES,356,33.1,2022-01-03,2026-04-17,-1.7,14.78,33.3,-0.04,6,3.59,7.51,75.0,0.55,4,-10.97,23.85,10.0,-0.62,10,-1.69,19.69,55.6,-0.11,9,15.76,13.8,0.87,-17.46
ESS,377,35.0,2022-01-03,2026-04-17,-2.22,13.74,20.0,-0.17,5,-7.08,10.75,16.7,-0.94,6,-2.77,18.03,25.0,-0.11,8,-9.53,14.76,33.3,-0.93,12,21.76,11.38,1.18,-23.98
ETN,677,62.9,2022-01-03,2026-04-17,19.79,18.56,46.2,1.33,13,12.66,12.12,50.0,1.13,8,32.78,16.67,50.0,1.7,11,13.47,10.52,45.0,1.04,21,43.27,18.51,1.75,-23.48
ETR,577,53.6,2022-01-03,2026-04-17,11.21,11.14,38.5,0.86,14,8.28,13.05,28.6,0.72,8,16.34,26.37,50.0,1.02,15,11.91,19.98,50.0,1.1,21,48.57,10.1,2.25,-37.36
EVRG,490,59.2,2022-12-28,2026-04-17,10.05,6.31,71.4,1.23,7,7.83,5.46,42.9,1.16,7,10.83,13.48,55.6,0.99,10,5.51,11.7,53.3,0.66,15,29.23,8.02,2.05,-19.18
EW,377,35.0,2022-01-03,2026-04-17,0.27,5.66,66.7,0.09,3,0.54,4.08,50.0,0.15,2,-20.48,30.38,10.0,-1.59,10,-11.55,20.3,30.0,-1.32,10,-6.13,25.15,-0.09,6.4
EXC,655,49.3,2021-01-04,2026-04-17,-0.19,12.27,16.7,0.04,12,0.48,10.4,33.3,0.12,6,4.12,27.33,33.3,0.4,15,0.26,16.58,31.6,0.09,19,18.25,20.23,1.1,-18.44
EXPD,208,34.6,2023-11-21,2026-04-17,2.48,15.0,100.0,0.28,1,2.91,15.0,100.0,0.3,1,8.86,15.17,33.3,0.57,4,19.14,6.32,25.0,1.41,5,27.44,15.88,1.18,-24.96
EXR,252,23.4,2022-01-03,2026-04-17,-9.86,18.57,40.0,-0.73,5,-4.8,10.01,25.0,-0.53,4,-6.31,15.87,16.7,-0.33,6,-9.71,12.02,37.5,-0.78,8,6.1,19.58,0.44,-15.96
F,354,32.9,2022-01-03,2026-04-17,-34.37,46.48,22.2,-1.98,9,-21.35,33.17,25.0,-1.41,4,-16.04,34.91,28.6,-0.52,7,-11.67,23.6,27.3,-0.64,11,7.06,26.82,0.45,-41.43
FANG,709,53.4,2021-01-04,2026-04-17,-6.07,33.83,41.7,-0.39,12,-2.94,16.83,33.3,-0.28,9,-15.08,51.75,23.8,-0.52,21,-3.44,27.3,37.5,-0.05,24,28.22,28.36,1.03,-34.29
FAST,713,53.7,2021-01-04,2026-04-17,6.62,14.68,40.0,0.59,10,1.43,15.11,50.0,0.21,12,18.34,18.11,54.5,1.13,12,-11.8,29.9,24.1,-1.09,29,23.86,17.96,1.2,-17.24
FDS,327,30.4,2022-01-03,2026-04-17,-18.14,22.87,0.0,-2.22,6,-12.36,15.74,0.0,-2.6,4,-8.56,21.38,25.0,-0.54,8,-7.93,13.21,37.5,-0.79,8,9.45,12.57,0.65,-27.59
FDX,505,46.9,2022-01-03,2026-04-17,-10.79,30.93,16.7,-0.84,13,-7.63,20.43,28.6,-0.69,7,1.21,36.72,21.4,0.2,15,-0.5,30.69,23.1,0.07,14,41.52,18.86,1.61,-52.31
FE,499,46.4,2022-01-03,2026-04-17,3.22,7.19,62.5,0.48,9,1.76,7.55,37.5,0.3,8,2.52,14.21,36.4,0.33,12,3.23,10.51,50.0,0.48,14,16.34,10.73,1.28,-13.12
FER,471,70.1,2021-01-08,2026-04-17,9.04,15.14,28.6,0.68,8,4.39,16.42,36.4,0.43,11,12.66,17.53,22.2,0.81,10,1.84,13.23,47.1,0.25,18,39.87,17.13,1.8,-30.83
FFIV,504,46.8,2022-01-03,2026-04-17,13.21,19.63,85.7,0.94,7,2.05,18.08,44.4,0.26,9,30.92,14.11,42.9,1.61,7,9.88,22.07,50.0,0.79,16,41.01,22.97,1.65,-27.8
FICO,593,55.1,2022-01-03,2026-04-17,37.17,10.81,66.7,1.96,9,22.1,10.81,45.5,1.4,11,64.8,13.89,71.4,1.94,7,14.18,14.64,52.9,1.09,17,78.17,27.56,2.09,-41.0
FIS,291,27.0,2022-01-03,2026-04-17,0.2,9.86,37.5,0.09,8,-6.84,14.35,16.7,-0.75,6,2.83,13.0,27.3,0.31,11,4.78,10.55,44.4,0.59,9,29.98,12.72,1.69,-29.78
FITB,480,44.6,2022-01-03,2026-04-17,2.97,10.55,27.3,0.33,12,-1.17,14.22,20.0,-0.04,5,9.89,14.17,41.7,0.69,13,-1.19,15.93,35.3,-0.04,18,25.86,18.18,1.22,-22.89
FIX,801,74.4,2022-01-03,2026-04-17,34.47,26.54,66.7,1.29,16,7.04,30.23,50.0,0.48,14,51.59,37.99,47.1,1.46,18,21.17,26.54,57.7,1.01,27,136.84,28.9,2.4,-102.37
FMC,186,17.3,2022-01-03,2026-04-17,0.79,1.63,100.0,0.31,1,0.0,0.0,0.0,0.0,0,-73.2,63.31,0.0,-2.04,7,-19.05,18.46,0.0,-2.74,4,-61.67,54.64,-1.16,62.46
FMX,525,48.8,2022-01-03,2026-04-17,3.5,21.91,36.4,0.34,12,-5.07,16.76,28.6,-0.4,8,21.44,16.49,50.0,1.27,11,1.09,16.56,26.7,0.18,16,33.77,29.82,1.43,-30.27
FNV,553,51.4,2022-01-03,2026-04-17,-6.0,19.55,27.3,-0.22,11,5.71,16.16,66.7,0.48,6,14.86,16.16,40.0,0.82,11,12.67,18.15,46.2,0.97,14,34.2,26.06,1.28,-40.2
FOX,541,50.3,2022-01-03,2026-04-17,13.14,23.92,54.5,0.98,11,3.45,20.02,40.0,0.39,10,12.88,24.81,27.3,0.84,11,0.61,18.07,36.8,0.14,19,28.04,18.8,1.34,-14.9
FOXA,545,50.7,2022-01-03,2026-04-17,11.01,21.93,38.5,0.83,13,5.57,19.71,42.9,0.57,7,14.78,19.13,30.8,0.93,13,4.05,13.56,45.0,0.4,20,31.9,18.21,1.49,-20.89
FRT,446,41.4,2022-01-03,2026-04-17,1.19,7.22,37.5,0.21,9,-0.7,7.39,33.3,-0.1,3,-8.62,26.7,20.0,-0.62,16,-9.45,22.16,18.8,-0.87,17,12.94,15.07,0.86,-11.75
FSLR,473,44.0,2022-01-03,2026-04-17,-34.7,55.26,9.1,-1.8,11,-28.07,46.36,0.0,-1.98,9,-0.07,39.31,36.4,0.23,12,-7.38,27.09,23.1,-0.18,14,44.7,40.13,1.12,-79.4
FTNT,514,38.7,2021-01-04,2026-04-17,2.47,10.02,54.5,0.28,11,2.76,11.68,75.0,0.38,4,-16.17,38.93,18.8,-0.53,16,-17.1,40.06,16.7,-1.13,18,23.01,23.63,0.84,-20.54
FTV,433,40.2,2022-01-03,2026-04-17,-1.77,10.86,50.0,-0.15,7,-4.15,9.84,20.0,-0.58,5,-5.21,19.85,18.2,-0.27,12,-5.0,17.2,25.0,-0.41,13,16.32,18.32,0.84,-18.09
GD,572,53.2,2022-01-03,2026-04-17,4.06,11.76,50.0,0.53,6,-0.11,5.64,37.5,0.02,8,3.75,19.05,50.0,0.38,12,-12.4,27.65,22.7,-1.42,22,20.23,11.31,1.28,-16.17
GDDY,402,37.4,2022-01-03,2026-04-17,38.84,10.86,66.7,2.4,6,18.3,11.16,66.7,1.48,6,41.72,19.66,33.3,1.97,6,26.51,6.39,38.5,2.39,13,66.75,19.7,2.42,-27.91
GE,822,76.4,2022-01-03,2026-04-17,26.17,15.12,33.3,1.55,18,23.73,11.35,60.0,1.62,10,39.08,29.78,31.2,1.79,16,9.05,24.12,37.9,0.79,29,72.64,15.55,2.53,-46.47
GEHC,260,31.1,2022-12-15,2026-04-17,10.05,4.23,100.0,1.3,3,7.27,4.23,100.0,1.19,2,-5.2,22.25,33.3,-0.31,6,-12.96,21.0,16.7,-1.33,6,-5.62,18.75,-0.06,15.67
GEV,313,61.0,2024-04-02,2026-04-17,32.84,23.66,50.0,1.45,4,39.51,10.43,100.0,1.95,2,52.52,33.97,25.0,1.43,9,62.63,17.39,50.0,2.0,9,113.61,38.28,1.99,-80.77
GILD,695,52.3,2021-01-04,2026-04-17,15.59,18.5,53.8,1.08,13,3.57,18.08,36.4,0.38,11,15.76,26.59,37.5,0.95,16,12.94,16.65,44.4,0.96,18,37.85,16.88,1.64,-22.26
GL,584,54.3,2022-01-03,2026-04-17,-7.68,22.09,40.0,-0.74,11,-9.09,22.44,28.6,-1.24,7,-3.74,21.02,25.0,-0.18,17,1.33,15.4,25.0,0.2,17,14.82,18.81,0.85,-22.5
GLW,559,52.0,2022-01-03,2026-04-17,41.41,28.05,50.0,1.53,9,38.48,23.01,66.7,1.63,6,66.74,26.87,45.5,2.01,12,37.32,11.91,30.0,1.59,21,104.52,23.01,2.47,-63.11
GM,490,45.5,2022-01-03,2026-04-17,-5.65,21.0,33.3,-0.25,12,-2.21,16.24,25.0,-0.07,8,15.26,20.9,60.0,0.83,11,7.14,18.06,53.3,0.56,16,52.16,19.94,1.71,-57.81
GNRC,377,35.0,2022-01-03,2026-04-17,-25.55,36.36,14.3,-1.36,7,-15.02,27.06,20.0,-0.88,5,-27.38,46.71,30.0,-0.77,11,5.38,23.46,44.4,0.39,10,32.8,25.46,0.96,-58.35
GPC,326,30.3,2022-01-03,2026-04-17,-11.6,16.18,0.0,-1.38,6,-9.34,13.4,0.0,-1.83,5,-2.54,21.23,33.3,-0.11,7,-3.08,17.1,16.7,-0.25,7,0.11,29.94,0.16,-11.71
GPN,211,19.6,2022-01-03,2026-04-17,11.77,6.51,50.0,1.09,2,8.78,4.39,100.0,1.04,1,4.27,9.12,25.0,0.42,4,1.59,8.6,50.0,0.24,4,-14.34,22.63,-0.66,26.11
GRMN,674,62.6,2022-01-03,2026-04-17,-8.12,30.1,26.7,-0.57,16,-1.52,15.93,41.7,-0.09,12,-9.37,30.53,36.8,-0.5,20,-2.51,18.02,36.8,-0.15,20,48.49,20.05,1.73,-56.61
GS,637,59.2,2022-01-03,2026-04-17,2.95,16.43,31.2,0.31,16,1.19,20.69,55.6,0.19,9,19.99,19.12,53.8,1.13,14,11.97,13.26,52.9,1.07,18,49.86,20.55,1.87,-46.91
GWW,640,59.5,2022-01-03,2026-04-17,4.82,16.54,25.0,0.46,8,2.04,15.83,44.4,0.26,9,14.87,17.49,33.3,0.92,13,3.59,20.92,33.3,0.35,19,37.72,16.07,1.71,-32.9
HAL,293,27.2,2022-01-03,2026-04-17,-0.47,17.0,20.0,0.07,6,-7.55,11.04,20.0,-0.65,5,16.91,23.23,33.3,0.9,4,13.28,13.2,75.0,1.01,4,7.41,37.85,0.47,-7.88
HAS,436,40.5,2022-01-03,2026-04-17,5.13,17.45,50.0,0.45,6,2.48,13.15,50.0,0.29,6,12.03,19.06,33.3,0.78,10,2.08,18.55,41.7,0.25,13,36.45,19.26,1.46,-31.32
HCA,614,57.1,2022-01-03,2026-04-17,0.95,21.8,43.8,0.17,16,-5.32,28.47,41.7,-0.41,12,7.87,23.57,46.2,0.58,13,4.17,22.2,44.4,0.42,18,35.7,16.85,1.63,-34.75
HD,437,40.6,2022-01-03,2026-04-17,-7.44,21.98,57.1,-0.75,7,-13.16,22.19,22.2,-1.92,9,-12.94,23.4,15.4,-0.95,13,-5.36,17.57,33.3,-0.58,15,15.31,16.0,0.84,-22.75
HIG,721,67.0,2022-01-03,2026-04-17,2.24,23.3,33.3,0.29,15,3.7,17.66,44.4,0.52,9,4.95,17.22,27.8,0.46,19,0.28,18.56,40.0,0.1,26,27.38,11.82,1.63,-25.14
HLT,745,69.2,2022-01-03,2026-04-17,1.4,22.53,27.3,0.22,12,2.54,13.53,25.0,0.39,8,12.39,21.65,38.9,0.91,19,-2.62,23.37,34.6,-0.19,27,37.36,14.14,1.84,-35.96
HON,485,36.5,2021-01-04,2026-04-17,-8.4,17.02,25.0,-0.86,8,-7.56,17.1,40.0,-0.87,5,-5.1,15.63,38.5,-0.35,14,-2.25,14.26,35.7,-0.24,15,11.44,12.54,0.73,-19.84
HPE,575,53.4,2022-01-03,2026-04-17,-15.48,43.19,21.4,-0.89,15,-0.13,12.88,33.3,0.03,3,-13.09,42.24,15.8,-0.45,20,-11.5,32.15,25.0,-0.7,21,28.69,23.76,1.07,-44.17
HPQ,309,28.7,2022-01-03,2026-04-17,-8.08,19.5,20.0,-0.34,5,4.05,9.04,50.0,0.36,2,-7.81,20.33,30.0,-0.19,10,-10.95,24.81,33.3,-0.43,9,1.97,27.53,0.28,-10.05
HSIC,262,24.3,2022-01-03,2026-04-17,-16.08,16.66,0.0,-1.97,4,-8.14,8.45,0.0,-1.5,1,-15.3,24.35,0.0,-0.96,7,-13.75,19.49,14.3,-1.45,8,-1.63,20.63,0.08,-14.45
HSY,424,39.4,2022-01-03,2026-04-17,7.4,10.17,50.0,0.84,4,-0.66,13.14,25.0,-0.07,4,3.92,16.59,33.3,0.4,9,-10.29,18.31,15.4,-1.32,13,-4.38,33.64,-0.09,11.78
HUBB,747,69.4,2022-01-03,2026-04-17,-5.07,29.05,46.2,-0.31,13,-6.24,22.95,25.0,-0.59,12,4.04,39.75,25.0,0.35,17,1.41,33.92,42.3,0.2,27,35.14,16.87,1.39,-40.21
HUM,183,17.0,2022-01-03,2026-04-17,-10.87,8.02,0.0,-2.8,3,-3.1,2.43,0.0,-2.51,1,-28.06,29.19,12.5,-2.67,8,-17.32,12.9,0.0,-3.59,4,-57.93,52.8,-1.54,47.06
HWM,837,77.8,2022-01-03,2026-04-17,19.44,14.16,60.0,1.2,16,3.42,18.1,50.0,0.36,16,38.76,24.47,62.5,1.67,17,30.95,13.31,50.0,1.8,25,81.9,19.41,2.47,-62.46
IBM,685,63.7,2022-01-03,2026-04-17,19.96,15.83,62.5,1.43,8,15.66,16.83,50.0,1.29,8,23.27,23.66,53.8,1.36,13,17.2,23.72,55.6,1.25,18,33.46,16.87,1.5,-13.5
ICE,634,58.9,2022-01-03,2026-04-17,6.08,15.06,45.5,0.76,11,3.21,10.54,66.7,0.52,6,11.69,11.04,50.0,1.02,10,7.1,10.33,41.2,0.86,17,22.03,10.93,1.57,-15.95
IDXX,494,37.2,2021-01-04,2026-04-17,-13.86,32.18,0.0,-1.25,6,-8.21,16.69,25.0,-1.25,4,-27.95,51.73,21.4,-0.78,14,-30.79,53.12,18.8,-1.0,16,0.73,39.99,0.31,-14.59
IEX,313,29.1,2022-01-03,2026-04-17,-6.24,13.22,0.0,-0.74,5,-9.54,13.91,0.0,-1.36,5,-0.73,15.6,33.3,0.04,7,-5.48,15.0,28.6,-0.54,8,3.3,25.81,0.31,-9.54
IFF,246,22.9,2022-01-03,2026-04-17,-3.62,5.9,0.0,-0.59,3,-2.85,5.28,50.0,-0.59,2,-2.11,12.01,33.3,-0.03,6,2.97,9.67,33.3,0.37,6,-1.15,32.53,0.17,-2.47
INCY,413,38.4,2022-01-03,2026-04-17,-18.79,32.31,18.2,-1.31,11,-16.65,31.51,25.0,-1.55,8,-18.36,35.64,14.3,-0.88,15,-8.25,27.71,23.1,-0.46,14,10.95,29.9,0.57,-29.74
INFY,334,31.0,2022-01-03,2026-04-17,-4.54,10.58,40.0,-0.46,5,-0.82,10.69,50.0,-0.06,2,-2.03,13.65,28.6,-0.03,7,-4.54,11.28,28.6,-0.43,7,4.44,23.49,0.35,-8.98
INGR,498,46.3,2022-01-03,2026-04-17,-3.17,15.67,28.6,-0.25,7,1.02,11.67,40.0,0.19,5,2.04,12.95,44.4,0.25,10,4.04,9.17,53.8,0.5,13,22.51,15.42,1.25,-25.68
INSM,610,45.9,2021-01-04,2026-04-17,39.18,21.38,57.1,1.55,7,34.09,21.38,60.0,1.47,5,38.89,31.24,33.3,1.2,15,2.73,25.96,33.3,0.29,18,118.44,30.86,1.67,-79.26
INTC,396,29.8,2021-01-04,2026-04-17,18.34,23.29,60.0,0.78,6,17.79,22.97,60.0,0.83,6,20.21,27.44,36.4,0.78,12,14.97,22.13,36.4,0.71,12,66.73,53.08,1.39,-48.39
INTU,555,41.8,2021-01-04,2026-04-17,-2.77,18.22,25.0,-0.16,8,-2.78,18.35,20.0,-0.21,5,-9.48,33.66,26.7,-0.39,15,-16.31,32.44,27.8,-1.34,18,9.72,39.89,0.53,-12.49
IP,360,33.5,2022-01-03,2026-04-17,-7.7,26.78,20.0,-0.38,10,-6.01,21.26,25.0,-0.44,8,0.01,26.54,41.7,0.15,13,11.8,18.21,30.0,0.74,11,45.01,16.27,1.66,-52.71
IQV,309,28.7,2022-01-03,2026-04-17,-6.19,16.47,33.3,-0.76,6,0.39,5.22,50.0,0.12,2,-21.2,29.27,0.0,-1.29,7,-15.27,18.38,20.0,-1.77,10,-13.2,30.7,-0.22,7.01
IR,564,52.4,2022-01-03,2026-04-17,11.92,11.31,40.0,1.14,10,6.15,12.55,33.3,0.8,6,1.2,30.11,23.1,0.19,13,-1.41,19.15,36.8,-0.0,19,21.75,20.98,1.02,-9.83
IRM,598,55.6,2022-01-03,2026-04-17,9.77,17.36,41.7,0.79,13,4.19,14.56,12.5,0.43,8,16.41,31.59,37.5,0.95,17,-5.46,31.25,32.0,-0.37,26,51.95,21.01,2.02,-42.18
ISRG,615,46.3,2021-01-04,2026-04-17,17.42,16.88,62.5,1.19,8,12.56,15.94,57.1,0.95,7,15.5,20.56,50.0,0.94,10,10.4,16.61,50.0,0.87,14,20.23,36.86,0.9,-2.81
IT,538,50.0,2022-01-03,2026-04-17,-9.08,23.66,10.0,-0.92,10,-7.34,19.79,14.3,-0.87,7,3.22,17.84,33.3,0.32,12,-3.7,13.93,42.9,-0.29,14,28.73,14.6,1.34,-37.81
ITW,530,49.3,2022-01-03,2026-04-17,-11.98,25.75,27.3,-1.63,12,-7.74,18.03,0.0,-1.97,7,-7.22,23.83,28.6,-0.47,15,-6.73,29.83,37.5,-0.55,17,13.49,13.99,0.84,-25.47
IVZ,487,45.3,2022-01-03,2026-04-17,-2.82,17.61,55.6,-0.08,10,-8.59,21.4,37.5,-0.67,9,-13.76,40.79,33.3,-0.6,13,-12.25,33.74,17.6,-0.78,18,26.42,21.58,0.95,-29.24
J,490,45.5,2022-01-03,2026-04-17,1.28,15.2,40.0,0.19,10,2.82,13.21,66.7,0.34,6,-3.72,20.32,41.7,-0.14,12,-2.51,14.69,38.5,-0.1,13,17.88,17.38,0.99,-16.6
JBHT,363,33.7,2022-01-03,2026-04-17,5.32,20.56,25.0,0.48,9,-7.36,20.55,20.0,-0.69,5,7.11,22.87,33.3,0.51,10,5.23,14.54,28.6,0.5,8,28.47,25.97,1.21,-23.15
JBL,725,67.4,2022-01-03,2026-04-17,8.79,34.32,42.9,0.57,14,-0.22,34.57,30.8,0.1,13,29.05,40.13,40.0,1.21,16,11.72,32.23,33.3,0.78,25,78.9,24.67,2.12,-70.11
JCI,643,59.8,2022-01-03,2026-04-17,-0.15,22.16,45.5,0.08,11,-5.62,18.26,27.3,-0.54,11,-1.71,33.89,35.3,0.02,18,2.96,25.98,33.3,0.31,19,36.94,15.79,1.55,-37.09
JKHY,396,36.8,2022-01-03,2026-04-17,-6.86,13.6,0.0,-1.27,4,-1.08,2.1,0.0,-0.91,1,-22.55,36.34,6.2,-1.61,16,-15.29,26.89,14.3,-1.47,14,-4.29,18.29,-0.1,-2.57
JNJ,359,33.4,2022-01-03,2026-04-17,22.43,7.42,50.0,2.07,4,11.13,4.81,66.7,1.55,6,13.92,12.38,25.0,1.25,8,12.79,9.14,55.6,1.55,9,28.92,9.47,1.92,-6.49
JPM,801,74.4,2022-01-03,2026-04-17,3.03,22.43,31.2,0.34,16,-1.62,22.62,30.8,-0.15,13,15.73,15.83,46.7,1.1,15,14.79,12.83,60.9,1.48,23,31.55,18.59,1.64,-28.52
K,389,39.3,2022-01-03,2025-12-10,17.81,5.51,50.0,1.38,5,6.25,5.82,40.0,0.97,6,13.91,13.14,25.0,0.97,9,19.52,3.81,30.0,1.41,10,21.2,18.69,1.17,-3.39
KDP,399,30.0,2021-01-04,2026-04-17,-5.05,12.34,20.0,-0.65,6,0.24,8.46,66.7,0.08,3,-13.01,26.61,15.4,-1.23,14,2.31,13.94,28.6,0.36,8,6.61,17.69,0.48,-11.66
KEY,526,48.9,2022-01-03,2026-04-17,-7.52,29.59,20.0,-0.59,10,-5.68,19.15,28.6,-0.53,7,3.94,24.92,33.3,0.34,13,-3.44,24.31,29.4,-0.19,18,13.87,30.48,0.66,-21.39
KEYS,461,42.8,2022-01-03,2026-04-17,-5.31,41.03,20.0,-0.09,11,-7.66,26.62,20.0,-0.27,5,1.96,43.07,9.1,0.26,12,-2.78,33.69,28.6,0.04,15,48.84,22.36,1.53,-54.15
KHC,335,25.2,2021-01-04,2026-04-17,-18.76,24.48,0.0,-1.66,6,-15.2,20.81,20.0,-1.58,5,-7.22,21.56,25.0,-0.48,8,-10.69,15.29,14.3,-1.18,7,2.11,15.5,0.25,-20.87
KIM,345,32.1,2022-01-03,2026-04-17,3.3,9.21,20.0,0.46,6,4.04,6.13,50.0,0.61,2,12.43,12.12,42.9,0.96,8,7.77,12.22,50.0,0.78,9,21.36,15.16,1.12,-18.06
KLAC,774,58.3,2021-01-04,2026-04-17,3.89,22.41,41.7,0.34,12,-4.62,19.87,33.3,-0.13,12,16.86,35.15,39.1,0.76,24,3.28,26.43,34.6,0.31,27,76.54,22.41,1.9,-72.65
KMI,630,58.6,2022-01-03,2026-04-17,9.94,23.58,62.5,0.84,8,9.34,14.57,57.1,0.91,7,15.64,28.83,46.7,1.05,15,5.48,27.03,38.1,0.53,21,36.43,18.4,1.87,-26.49
KMX,212,19.7,2022-01-03,2026-04-17,-15.86,13.64,0.0,-2.25,3,0.0,0.0,0.0,0.0,0,-45.51,40.59,0.0,-3.28,8,-33.57,29.12,0.0,-3.12,7,1.16,15.54,0.25,-17.02
KO,495,46.0,2022-01-03,2026-04-17,7.13,7.35,80.0,1.0,5,4.7,6.58,75.0,0.73,4,-1.33,15.39,23.1,-0.07,13,-4.22,17.28,22.2,-0.51,18,14.75,11.85,1.11,-7.62
KR,521,48.4,2022-01-03,2026-04-17,-8.41,21.25,12.5,-0.7,8,-10.01,23.34,0.0,-1.41,7,-3.18,25.48,27.3,-0.09,11,-4.18,24.6,22.2,-0.28,18,21.16,14.16,1.09,-29.57
KVUE,182,24.6,2023-05-04,2026-04-17,-0.56,9.4,33.3,0.03,3,-16.13,11.93,0.0,-1.82,3,-7.67,10.7,0.0,-0.41,4,14.05,4.23,100.0,1.19,3,4.65,14.46,0.37,-5.21
L,769,71.5,2022-01-03,2026-04-17,-6.84,24.18,25.0,-0.77,16,-9.48,28.18,14.3,-1.27,14,-2.02,26.95,30.4,-0.1,24,-1.13,16.48,44.4,-0.06,28,21.83,9.74,1.52,-28.67
LHX,461,42.8,2022-01-03,2026-04-17,5.65,13.89,50.0,0.5,10,-4.51,23.25,20.0,-0.28,10,15.43,14.85,36.4,1.03,11,11.28,8.74,33.3,1.01,15,35.22,12.97,1.76,-29.57
LII,572,53.2,2022-01-03,2026-04-17,7.02,19.51,45.5,0.6,11,7.32,12.24,33.3,0.81,6,14.81,22.41,41.7,0.82,12,-9.84,37.34,37.5,-0.61,24,43.83,14.59,1.7,-36.81
LIN,731,55.0,2021-01-04,2026-04-17,-2.97,12.52,38.5,-0.37,13,-2.07,10.33,71.4,-0.31,7,-4.0,23.18,35.0,-0.24,21,-7.74,21.32,19.2,-0.82,26,19.97,11.64,1.26,-22.94
LLY,590,54.8,2022-01-03,2026-04-17,17.29,14.63,54.5,1.21,11,15.36,14.93,57.1,1.22,7,14.01,21.09,35.3,0.89,17,19.27,11.85,50.0,1.66,14,56.18,19.05,1.86,-38.89
LMT,449,41.7,2022-01-03,2026-04-17,12.18,10.28,55.6,1.17,9,10.49,8.86,100.0,1.09,3,26.48,14.7,50.0,1.75,8,22.23,6.67,50.0,2.09,8,25.64,22.93,1.44,-13.46
LNT,505,46.9,2022-01-03,2026-04-17,-3.63,20.48,25.0,-0.31,12,-3.85,20.71,12.5,-0.42,8,1.04,20.75,35.7,0.17,15,-0.55,21.37,35.3,0.01,17,21.86,10.99,1.48,-25.49
LOW,559,52.0,2022-01-03,2026-04-17,-2.69,18.26,22.2,-0.22,9,-1.25,12.56,40.0,-0.16,5,-5.43,26.39,25.0,-0.27,16,0.14,16.31,26.3,0.1,19,13.57,15.77,0.8,-16.26
LRCX,627,47.2,2021-01-04,2026-04-17,30.41,16.29,83.3,1.3,7,15.8,15.47,50.0,0.9,8,42.83,23.62,38.5,1.43,14,12.91,18.95,33.3,0.71,22,74.09,36.92,1.76,-43.68
LULU,348,32.3,2022-01-03,2026-04-17,-8.2,18.08,20.0,-0.91,5,-1.79,11.9,33.3,-0.18,3,-24.62,36.16,14.3,-1.16,7,-7.44,22.24,37.5,-0.32,8,-3.82,37.53,0.09,-4.38
LUV,304,28.3,2022-01-03,2026-04-17,8.97,16.8,50.0,0.53,5,6.22,17.7,50.0,0.42,2,6.36,24.52,33.3,0.42,7,2.0,23.81,42.9,0.24,8,26.34,31.52,0.93,-17.37
LVS,412,38.3,2022-01-03,2026-04-17,11.6,18.93,42.9,0.88,7,9.77,17.42,50.0,0.85,4,12.64,28.81,33.3,0.79,9,0.32,23.72,40.0,0.12,10,27.25,26.77,1.02,-15.65
LYB,418,38.8,2022-01-03,2026-04-17,-4.47,9.83,0.0,-0.79,4,-1.16,6.34,0.0,-0.26,2,-11.96,24.42,14.3,-0.84,14,-18.3,31.17,7.1,-1.61,14,-9.28,36.5,-0.08,4.81
