Date,Open,High,Low,Close,Volume,VolumeSource
2024-02-01,69.38,71.76,68.03,69.94,980512,original
2024-02-02,70.16,71.75,69.84,71.42,1001230,original
2024-02-05,70.73,71.49,68.93,69.36,1243496,original
2024-02-06,69.54,71.48,69.26,71.25,1561275,original
2024-02-07,68.0,69.35,63.13,69.31,6407993,original
2024-02-08,69.29,71.93,68.85,69.98,2219900,original
2024-02-09,70.02,70.72,68.36,70.69,1305128,original
2024-02-12,69.71,74.66,69.71,72.74,1419688,original
2024-02-13,71.03,71.87,69.82,70.21,1328913,original
2024-02-14,70.85,72.83,70.5,72.3,1627195,original
2024-02-15,73.07,73.87,72.15,73.69,1156316,original
2024-02-16,73.3,74.37,72.7,73.26,646641,original
2024-02-20,72.37,72.69,71.27,71.54,1051018,original
2024-02-21,69.94,70.71,69.44,69.91,950594,original
2024-02-22,70.72,71.91,70.47,71.79,1403520,original
2024-02-23,72.29,72.59,70.98,71.42,1199007,original
2024-02-26,70.98,71.59,70.69,71.26,1604578,original
2024-02-27,71.15,72.46,70.84,71.91,748027,original
2024-02-28,71.4,72.0,71.04,71.05,512882,original
2024-02-29,69.9,71.06,69.67,69.76,2371662,original
2024-03-01,69.3,70.29,67.96,68.25,2322086,original
2024-03-04,67.98,68.38,66.55,66.61,1338612,original
2024-03-05,65.82,66.19,64.1,64.33,1082540,original
2024-03-06,65.25,65.43,64.29,64.36,769913,original
2024-03-07,64.79,66.9,64.79,66.35,1077306,original
2024-03-08,66.8,67.43,66.07,66.92,743102,original
2024-03-11,66.53,67.9,66.23,67.63,682338,original
2024-03-12,67.83,68.72,67.47,68.21,740174,original
2024-03-13,68.22,68.9,67.59,67.67,607185,original
2024-03-14,67.22,68.73,67.13,67.64,809631,original
2024-03-15,67.46,67.83,65.68,66.09,1505701,original
2024-03-18,66.8,67.98,66.22,67.58,850903,original
2024-03-19,67.49,68.06,66.68,67.86,738250,original
2024-03-20,68.24,69.23,67.92,69.08,625551,original
2024-03-21,70.0,71.72,69.48,70.89,2142868,original
2024-03-22,70.72,70.86,68.42,69.17,1285495,original
2024-03-25,68.98,69.19,66.16,66.72,1744481,original
2024-03-26,67.28,67.28,65.54,65.6,1439875,original
2024-03-27,65.74,66.79,65.25,66.05,1294311,original
2024-03-28,66.45,66.45,65.65,66.21,1617713,original
2024-04-01,66.14,66.25,64.64,64.99,1634629,original
2024-04-02,64.12,64.83,63.01,64.68,1136647,original
2024-04-03,64.66,65.31,63.9,64.55,988630,original
2024-04-04,64.2,65.91,61.35,64.21,4273318,original
2024-04-05,64.21,64.34,61.01,61.04,2255229,original
2024-04-08,61.1,62.61,61.1,62.55,1550046,original
2024-04-09,62.98,64.38,62.69,64.1,1242758,original
2024-04-10,62.57,63.16,61.29,62.24,944395,original
2024-04-11,62.34,63.01,61.5,62.77,680762,original
2024-04-12,62.26,62.61,60.55,60.64,934527,original
2024-04-15,61.03,61.03,59.35,59.67,1139777,original
2024-04-16,59.51,59.51,57.97,58.6,1521531,original
2024-04-17,59.66,62.24,59.29,61.34,2135924,original
2024-04-18,61.26,61.79,60.43,60.95,1416678,original
2024-04-19,61.0,61.51,58.66,58.75,1644765,original
2024-04-22,59.32,59.45,58.19,58.95,1458651,original
2024-04-23,58.94,59.39,58.45,59.28,1394743,original
2024-04-24,59.33,59.74,58.07,59.7,1613465,original
2024-04-25,59.05,60.28,58.49,59.58,1197945,original
2024-04-26,59.87,61.1,59.74,60.98,984130,original
2024-04-29,61.21,62.84,61.04,61.98,1641593,original
2024-04-30,62.23,62.43,60.58,61.37,3024154,original
2024-05-01,59.52,60.5,54.84,57.69,5034492,original
2024-05-02,57.82,58.24,54.25,57.73,3299294,original
2024-05-03,58.9,59.56,57.01,57.29,1725027,original
2024-05-06,57.8,59.01,57.41,58.17,1072540,original
2024-05-07,58.34,59.65,57.57,59.18,1050269,original
2024-05-08,58.85,59.32,58.48,58.96,1832900,original
2024-05-09,58.84,59.18,58.44,59.15,1236991,original
2024-05-10,59.35,60.71,59.35,60.7,1730447,original
2024-05-13,61.0,61.9,60.75,61.85,1984946,original
2024-05-14,62.0,62.7,61.31,62.1,1808117,original
2024-05-15,62.81,63.18,62.06,62.6,1904560,original
2024-05-16,62.67,63.05,61.8,62.5,1320319,original
2024-05-17,62.86,63.39,62.22,63.33,1131709,original
2024-05-20,63.63,63.63,61.98,62.3,1364208,original
2024-05-21,62.0,62.28,60.78,61.05,1313923,original
2024-05-22,61.19,63.16,61.08,63.04,1276597,original
2024-05-23,63.42,63.42,60.78,60.8,1136585,original
2024-05-24,60.36,60.63,55.7,56.16,2816670,original
2024-05-28,56.2,56.35,54.05,54.18,2454548,original
2024-05-29,53.51,54.26,53.05,53.14,1536381,original
2024-05-30,52.68,52.71,50.2,50.39,2886769,original
2024-05-31,50.19,50.29,49.05,49.46,3324932,original
2024-06-03,50.0,50.12,48.86,49.71,2321979,original
2024-06-04,49.59,50.38,49.27,49.77,1344084,original
2024-06-05,49.95,50.03,48.87,49.52,1250225,original
2024-06-06,49.8,51.74,48.77,51.66,2399681,original
2024-06-07,51.47,52.9,50.93,51.53,2065411,original
2024-06-10,51.0,51.31,49.32,50.68,1836041,original
2024-06-11,50.81,51.36,49.95,50.93,1375075,original
2024-06-12,51.7,52.89,51.7,52.34,1730664,original
2024-06-13,52.42,52.73,50.87,51.02,1770790,original
2024-06-14,50.94,51.28,50.03,50.49,1013384,original
2024-06-17,50.54,51.48,49.7,50.02,1855257,original
2024-06-18,49.96,50.53,49.13,49.16,1501577,original
2024-06-20,49.02,50.5,48.65,49.86,1932850,original
2024-06-21,50.03,50.28,49.01,50.17,3497417,original
2024-06-24,49.52,50.77,49.4,50.21,1582873,original
2024-06-25,50.21,50.21,49.28,49.7,1629730,original
2024-06-26,49.57,50.48,49.09,49.9,1730924,original
2024-06-27,49.96,50.08,49.16,49.7,2050379,original
2024-06-28,49.77,49.97,49.04,49.6,2695736,original
2024-07-01,49.53,51.15,49.31,50.33,1838647,original
2024-07-02,50.45,50.92,49.63,50.75,1760339,original
2024-07-03,50.89,52.36,50.57,51.26,1248839,original
2024-07-05,51.26,51.32,50.71,50.84,1555293,original
2024-07-08,50.86,51.19,48.19,48.46,2207869,original
2024-07-09,48.14,48.84,47.08,48.32,2738208,original
2024-07-10,48.43,49.27,48.21,48.99,1538793,original
2024-07-11,49.78,51.73,49.23,51.04,2873168,original
2024-07-12,51.61,53.25,51.24,53.02,1600749,original
2024-07-15,53.38,54.39,52.68,53.9,1407688,original
2024-07-16,53.81,55.77,53.81,55.61,1609327,original
2024-07-17,55.26,55.93,54.44,55.61,1932548,original
2024-07-18,55.52,56.36,52.91,53.23,3890189,original
2024-07-19,53.54,53.58,51.69,53.34,1728521,original
2024-07-22,53.6,54.0,52.09,53.71,2262056,original
2024-07-23,53.19,53.98,52.99,53.12,1912056,original
2024-07-24,53.0,53.52,51.22,51.29,1576932,original
2024-07-25,51.76,53.37,51.14,51.8,2537192,original
2024-07-26,52.24,52.63,51.7,52.11,1113194,original
2024-07-29,52.14,53.79,51.6,53.53,1699551,original
2024-07-30,53.59,54.34,52.6,53.68,2365301,original
2024-07-31,56.14,60.88,55.23,59.28,5397346,original
2024-08-01,58.99,60.57,56.25,56.56,3075883,original
2024-08-02,55.68,55.68,52.82,53.23,3320299,original
2024-08-05,51.17,54.29,50.69,52.96,2957558,original
2024-08-06,53.06,54.55,52.35,52.49,1605078,original
2024-08-07,53.46,54.45,52.06,52.13,1600864,original
2024-08-08,52.75,54.09,52.35,53.78,1179126,original
2024-08-09,53.77,53.89,52.5,53.06,1214791,original
2024-08-12,53.13,53.18,50.82,51.08,1908639,original
2024-08-13,51.65,53.38,51.43,52.95,1445079,original
2024-08-14,52.9,54.32,52.62,54.06,1262863,original
2024-08-15,55.01,56.06,55.01,55.5,1158449,original
2024-08-16,55.28,55.95,54.65,55.4,869237,original
2024-08-19,55.46,56.06,55.19,55.57,1476079,original
2024-08-20,55.42,55.7,54.54,54.73,1247435,original
2024-08-21,54.99,55.11,54.06,54.66,707282,original
2024-08-22,54.85,55.34,54.62,55.09,1299353,original
2024-08-23,55.63,57.04,55.27,56.75,1143895,original
2024-08-26,57.66,59.33,57.19,59.0,1788535,original
2024-08-27,58.41,58.98,57.56,58.55,959286,original
2024-08-28,58.54,58.72,56.41,57.07,927721,original
2024-08-29,57.81,58.48,57.22,58.03,866572,original
2024-08-30,58.19,58.78,55.82,57.17,2444120,original
2024-09-03,56.82,57.22,54.95,55.54,1317764,original
2024-09-04,55.32,56.71,54.65,54.76,987016,original
2024-09-05,54.69,55.81,54.04,54.19,1380405,original
2024-09-06,54.22,54.72,53.2,54.47,1084750,original
2024-09-09,54.72,57.58,54.12,56.81,1470707,original
2024-09-10,57.12,57.6,55.65,57.47,914998,original
2024-09-11,57.07,58.07,55.81,57.9,1346710,original
2024-09-12,58.16,58.92,57.5,58.76,1001722,original
2024-09-13,59.07,60.29,59.0,59.41,1088499,original
2024-09-16,60.06,60.49,59.07,59.6,1207310,original
2024-09-17,59.95,60.22,58.63,58.99,901094,original
2024-09-18,59.11,60.02,58.89,59.18,1471226,original
2024-09-19,60.0,60.01,59.11,59.64,1416187,original
2024-09-20,59.35,59.35,58.12,58.91,3216092,original
2024-09-23,59.18,59.89,58.41,59.2,1159922,original
2024-09-24,60.19,60.96,59.7,60.41,1147216,original
2024-09-25,60.28,60.28,58.45,58.49,990547,original
2024-09-26,59.58,59.76,58.47,58.79,1693038,original
2024-09-27,59.4,60.46,58.94,60.2,1732674,original
2024-09-30,59.93,61.65,59.92,61.25,1514734,original
2024-10-01,61.1,61.41,59.15,60.8,1743897,original
2024-10-02,60.65,61.92,60.25,61.76,1553877,original
2024-10-03,61.13,62.19,61.13,61.59,1230990,original
2024-10-04,62.5,62.5,61.27,61.86,755031,original
2024-10-07,61.69,61.77,60.26,60.7,862528,original
2024-10-08,61.0,61.11,60.35,60.5,917737,original
2024-10-09,60.94,61.95,60.61,61.84,782789,original
2024-10-10,61.33,62.5,60.6,62.38,664489,original
2024-10-11,62.17,63.05,61.95,61.97,825167,original
2024-10-14,62.92,63.67,62.13,63.44,637110,original
2024-10-15,63.37,64.63,63.37,63.96,1678413,original
2024-10-16,64.14,64.54,63.64,63.96,892422,original
2024-10-17,63.97,64.38,63.02,63.89,750281,original
2024-10-18,64.08,65.25,63.85,65.0,1259611,original
2024-10-21,64.86,65.53,64.47,64.79,971644,original
2024-10-22,64.79,65.62,64.24,64.74,1099494,original
2024-10-23,64.23,65.12,63.98,64.86,866435,original
2024-10-24,64.9,65.84,64.67,65.06,872646,original
2024-10-25,65.44,66.06,64.58,64.84,1134940,original
2024-10-28,65.38,66.09,65.03,65.11,1433462,original
2024-10-29,65.25,65.54,64.35,65.32,2875438,original
2024-10-30,63.0,71.58,61.51,70.08,4397607,original
2024-10-31,69.51,72.29,69.33,70.95,2869466,original
2024-11-01,70.73,75.41,70.7,75.23,2843422,original
2024-11-04,75.37,76.3,74.87,75.4,2910770,original
