股票,友好度
PAYC,71.9
ALNY,71.9
BLK,71.8
CROX,71.7
PHM,71.7
NUE,71.7
RHI,71.6
CNC,71.5
HUBB,71.4
FTV,71.3
LYB,71.3
COTY,71.2
AXON,71.1
F,70.9
HLT,70.9
BXP,70.9
FDX,70.8
ASML,70.8
DVN,70.6
COIN,70.6
EQIX,70.5
COP,70.5
POOL,70.5
OKE,70.2
MHK,70.1
HAS,70.1
FNV,70.1
FANG,70.0
CCI,70.0
ABT,69.9
GL,69.9
PH,69.8
BEN,69.6
HSY,69.6
BA,69.5
LMT,69.4
KMX,69.4
FER,69.3
TRMB,69.3
INFY,69.0
TGT,68.9
PANW,68.9
NEM,68.7
WAT,68.7
SPG,68.7
PTON,68.5
WST,68.4
MGM,68.4
AME,68.4
AAPL,68.2
DLR,68.2
SWKS,68.2
CARR,68.0
DIS,67.9
FITB,67.8
NDAQ,67.5
TFC,67.4
BLDR,67.4
IVZ,66.9
SOLV,66.8
SIRI,66.7
JCI,66.6
HPQ,66.5
CEG,66.4
NFLX,66.4
SLB,66.3
PNC,66.3
BAC,66.2
UPS,66.2
SHW,65.9
EXR,65.7
OMC,65.6
VRSK,65.6
ROST,65.5
PLD,65.5
BALL,65.4
TROW,65.2
PM,65.2
PRU,65.0
RF,65.0
PFG,64.9
MOS,64.9
QCOM,64.9
PSA,64.9
SBUX,64.8
RVTY,64.8
FSLR,64.7
USB,64.6
GE,64.6
EG,64.4
GWW,64.4
CME,64.4
PLTR,64.3
ADM,64.3
MCK,64.2
RSG,64.0
SCHW,64.0
LOW,63.9
ROP,63.6
INTU,63.5
FICO,63.5
JPM,63.4
CSX,63.3
CVS,63.2
NOC,63.1
TMO,62.9
KEY,62.6
TRGP,62.5
MRNA,62.5
FMX,62.5
AJG,62.5
A,62.3
NVR,62.3
FMC,62.2
NKE,62.2
LLY,62.2
BSX,62.1
AZO,62.1
IEX,61.9
IQV,61.8
MSCI,61.7
ADSK,61.7
PCAR,61.7
BKR,61.6
UHS,61.5
WDAY,61.4
KIM,61.4
EQT,61.2
CFG,61.2
IR,60.8
XYL,60.6
AMCR,60.6
INCY,60.6
AMT,60.6
WAB,60.5
PNR,60.3
EXPD,60.2
ZS,60.2
LYV,60.1
DVA,60.1
FTNT,60.0
FIS,59.7
HCA,59.5
AON,59.5
PCG,59.4
HD,59.4
FRT,59.4
AFL,59.4
ACN,59.4
STZ,59.3
WELL,59.3
COR,59.0
CCEP,59.0
MMM,58.9
ETR,58.7
CI,58.6
BBY,58.4
KR,58.2
MKC,58.2
V,58.1
HSIC,58.0
T,57.9
CMCSA,57.9
BRO,57.8
CINF,57.7
MLM,57.7
IT,57.6
EXC,57.6
ERIC,57.0
EQR,56.9
GEHC,56.8
ORLY,56.7
QRVO,56.5
DD,56.3
JKHY,56.3
AIG,56.3
IP,56.2
CE,56.0
VRTX,56.0
LII,56.0
ADBE,55.9
NDSN,55.9
VZ,55.7
AMP,55.7
EPAM,55.6
WM,55.4
J,55.4
DRI,55.4
VICI,54.8
CBOE,54.8
CTSH,54.8
PDD,54.7
GILD,54.7
EIX,54.5
MNST,54.5
HIG,54.4
CRM,54.2
ESS,54.2
TSCO,54.2
DOV,54.1
SRE,54.0
NI,53.9
TMUS,53.8
ALL,53.7
HAL,53.6
O,53.6
AVB,53.5
TEAM,53.4
WMB,53.3
AWK,53.2
L,53.1
WY,52.8
TTD,52.7
RTX,52.7
ISRG,52.6
IDXX,52.6
ADP,52.5
GD,52.5
ZTS,52.5
CTVA,52.5
PAYX,52.4
TAP,52.3
ABBV,52.2
ITW,52.1
LHX,52.0
SYY,51.9
ICE,51.8
AMGN,51.5
CTAS,51.5
BMY,51.3
CLX,51.2
BR,51.1
DLTR,50.7
MSI,50.6
ECL,50.6
SNA,50.4
CHD,50.3
ROL,50.3
DXCM,50.3
EL,50.2
FAST,50.1
PGR,50.1
TXT,50.1
AOS,50.1
PNW,49.7
KMI,49.6
BIIB,49.5
SO,49.3
WFC,49.3
ZBH,49.3
EMN,49.2
STE,49.1
TSN,49.0
ACGL,48.8
YUM,48.8
REGN,48.7
TDY,48.6
DUK,48.5
CPRT,48.4
KHC,48.2
ALLE,48.1
MMC,48.0
MAA,48.0
ED,48.0
NOV,48.0
HON,47.9
COST,47.5
INGR,47.5
JNJ,47.3
KDP,47.2
EVRG,47.0
RMD,46.9
MDLZ,46.8
UDR,46.4
FE,46.4
MDT,46.4
COO,46.3
SWK,46.2
DTE,46.1
TRV,45.9
CB,45.8
AEE,45.7
UNP,45.6
XEL,45.6
LIN,45.6
PG,45.5
BRK.B,45.4
WRB,45.2
APT,45.2
ES,45.2
DHR,45.1
AEP,45.0
MRK,44.7
SYK,44.7
CL,44.6
PPL,44.5
PEG,44.1
PEP,43.7
AVY,43.4
EW,43.3
BDX,43.0
ATO,43.0
NEE,42.9
LNT,42.8
CMS,42.6
KO,42.5
K,42.3
APD,42.0
KVUE,41.3
D,41.0
MCD,39.8
CNP,39.2
PFE,38.8
WEC,38.5
EA,38.0
WBD,35.2
DAY,34.3
WBA,28.4
