股票,友好度
hk00005,82.5
hk09863,75.8
hk03692,74.4
hk09961,71.9
hk03993,71.0
hk00175,70.8
hk01211,70.3
hk01024,69.4
hk02618,69.1
hk01801,68.6
hk06181,68.5
hk02382,67.9
hk09901,67.9
hk09888,67.7
hk00881,67.6
hk09866,67.5
hk00992,67.0
hk00968,66.9
hk00316,65.8
hk09988,65.5
hk01299,65.2
hk09660,63.3
hk00300,63.3
hk01378,61.8
hk02313,61.7
hk00981,61.7
hk00322,61.5
hk09618,61.4
hk00868,61.2
hk02020,61.2
hk01109,61.2
hk00883,59.6
hk02688,59.3
hk00267,59.2
hk01044,58.3
hk01698,57.4
hk06690,57.2
hk01347,56.5
hk00001,56.3
hk02628,56.3
hk01093,56.3
hk03888,56.3
hk06618,56.0
hk00016,55.3
hk00268,54.8
hk00285,54.1
hk01209,53.9
hk00939,53.6
hk09626,53.1
hk02331,52.9
hk01997,52.7
hk02318,52.2
hk03690,52.2
hk00288,51.8
hk00027,51.7
hk01810,51.6
hk02899,51.4
hk02359,51.1
hk00386,51.1
hk00669,50.8
hk01928,49.9
hk02388,49.7
hk09999,49.5
hk00241,49.4
hk02269,49.0
hk00857,49.0
hk00066,48.6
hk01177,48.5
hk01088,48.2
hk00960,47.9
hk02057,47.5
hk03988,47.5
hk00012,47.4
hk01929,47.4
hk01398,47.0
hk00020,46.7
hk02319,46.5
hk06862,46.4
hk01099,46.4
hk02015,45.7
hk09633,45.4
hk00101,45.4
hk09868,45.2
hk00700,44.2
hk00688,43.9
hk01038,43.9
hk01876,42.1
hk00006,41.7
hk00780,41.3
hk01113,41.3
hk03968,40.5
hk00291,39.7
hk00762,39.4
hk00941,38.8
hk00388,37.3
hk00728,37.1
hk00003,35.1
hk00836,34.6
hk00002,31.1
hk00011,30.7
