Step,股票数,平均年化%,中位年化%,平均夏普,平均回撤%,平均胜率%,正收益占比%,胜B&H%,过拟合率%,训练年化%,测试年化%,等权年化%,等权夏普,等权回撤%,vs基线,改善率%,推荐采纳
Step0_基线(日线EMA10/20+ADX20),452,1.85,-0.52,0.0,19.3,38.2,47.5,13.3,39.8,3.94,1.03,2.64,0.82,5.92,— (基线),0.0,✅ 是
Step1_周线EMA10/30过滤,452,1.68,-0.56,-0.04,18.93,39.1,46.8,10.5,38.8,3.47,1.19,2.38,0.74,5.92,年化-0.18% 夏普-0.04 回撤-0.37% 胜B&H-2.8% 过拟合-1.0%,-9.5,❌ 否
Step2_ATR跟踪止损(2.5x),452,2.55,-0.2,0.02,18.45,41.4,49.1,6.0,63.6,9.15,-2.36,2.85,0.7,6.66,年化+0.70% 夏普+0.02 回撤-0.85% 胜B&H-7.3% 过拟合+23.9%,37.6,❌ 否
Step3_MACD金叉确认入场,452,2.75,-0.1,0.08,18.74,42.1,49.5,7.7,63.0,9.68,0.7,6.21,0.75,10.66,年化+0.90% 夏普+0.08 回撤-0.56% 胜B&H-5.6% 过拟合+23.2%,48.6,❌ 否
Step4_友好标的过滤(>50分),378,2.12,-0.29,-0.04,19.77,38.9,48.4,10.4,39.4,4.13,2.38,2.38,0.74,5.92,年化+0.27% 夏普-0.04 回撤+0.47% 胜B&H-2.9% 过拟合-0.3%,14.6,❌ 否
Step5_底仓50%+增强,452,13.6,10.09,-0.04,16.18,39.1,78.3,10.5,38.8,3.47,1.19,0.0,0.0,0.0,年化+11.74% 夏普-0.04 回撤-3.12% 胜B&H-2.8% 过拟合-1.0%,633.7,❌ 否
