策略,股票数,平均年化%,中位年化%,平均夏普,平均回撤%,平均交易数,胜B&H%,过拟合率%,训练年化%,测试年化%,等权夏普,等权回撤%,vs基线,改善率%,采纳
A_基线(EMA10/20+ADX20),100,3.33,2.72,0.02,24.36,7.0,35.0,47.8,9.8,-5.14,1.3,7.85,— 基线,0.0,✅
A_基线(EMA10/20+ADX20)_友好>30分,100,3.33,2.72,0.02,24.36,7.0,35.0,47.8,9.8,-5.14,1.3,7.85,年化+0.00 夏普+0.00 回撤+0.0 胜B&H+0.0 过拟合+0.0 交易+0,0.0,❌
A_基线(EMA10/20+ADX20)_友好>40分,91,3.35,2.69,0.03,24.78,7.0,37.4,48.8,10.65,-6.4,1.3,7.85,年化+0.02 夏普+0.00 回撤+0.4 胜B&H+2.4 过拟合+1.0 交易-0,0.6,❌
A_基线(EMA10/20+ADX20)_底仓30%,100,6.16,5.7,0.02,28.61,7.0,35.0,47.8,9.8,-5.14,1.3,7.85,年化+2.83 夏普+0.00 回撤+4.3 胜B&H+0.0 过拟合+0.0 交易+0,84.9,❌
A_基线(EMA10/20+ADX20)_底仓50%,100,8.04,5.74,0.02,31.45,7.0,35.0,47.8,9.8,-5.14,1.3,7.85,年化+4.71 夏普+0.00 回撤+7.1 胜B&H+0.0 过拟合+0.0 交易+0,141.4,❌
A_基线(EMA10/20+ADX20)_底仓70%,100,9.93,9.23,0.02,34.29,7.0,35.0,47.8,9.8,-5.14,1.3,7.85,年化+6.60 夏普+0.00 回撤+9.9 胜B&H+0.0 过拟合+0.0 交易+0,198.0,❌
B_EMA15/30更慢均线,100,4.19,2.9,0.11,24.41,6.0,32.3,47.7,10.8,-4.42,1.51,6.92,年化+0.86 夏普+0.09 回撤+0.1 胜B&H-2.7 过拟合-0.1 交易-1,25.8,❌
C_ATR3.0x止损出场,100,1.16,3.12,0.04,28.53,7.0,29.0,48.9,7.68,-6.07,1.48,10.59,年化-2.18 夏普+0.02 回撤+4.2 胜B&H-6.0 过拟合+1.1 交易+0,-65.3,❌
D_ATR3.5x止损出场,100,1.78,1.83,0.1,29.31,6.0,25.0,46.7,7.47,-3.98,1.26,12.19,年化-1.55 夏普+0.08 回撤+4.9 胜B&H-10.0 过拟合-1.1 交易-1,-46.5,❌
E_MACD+ADX三重确认,100,-0.21,-1.37,-0.18,22.02,10.0,34.0,43.2,4.02,-4.92,0.62,7.88,年化-3.54 夏普-0.20 回撤-2.3 胜B&H-1.0 过拟合-4.6 交易+3,-106.3,❌
F_EMA15/30+ATR3.0x组合,100,2.54,2.0,0.1,28.34,8.0,31.3,51.1,9.01,-5.63,1.67,10.1,年化-0.79 夏普+0.08 回撤+4.0 胜B&H-3.7 过拟合+3.4 交易+1,-23.7,❌
G_EMA15/30+ATR3.5x组合,100,2.29,0.8,0.13,29.06,6.0,29.3,47.7,7.7,-4.63,1.38,12.19,年化-1.04 夏普+0.10 回撤+4.7 胜B&H-5.7 过拟合-0.1 交易-1,-31.3,❌
