Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-19 00:00:00-04:00,57.40949424383364,58.41372503793003,57.30582954170534,58.38132858276367,14397900,0.0,0.0
2016-05-20 00:00:00-04:00,58.56271919344297,58.56919947112142,57.90834955201983,58.1415901184082,13191900,0.0,0.0
2016-05-23 00:00:00-04:00,57.662151628939625,58.245253027271154,57.54553134927332,58.05088424682617,11766100,0.0,0.0
2016-05-24 00:00:00-04:00,58.238781279480236,58.56920627742961,58.01850124285008,58.09624481201172,10056600,0.0,0.0
2016-05-25 00:00:00-04:00,58.2128633316735,58.54976859776957,58.04441069862547,58.47850036621094,9578400,0.0,0.0
2016-05-26 00:00:00-04:00,58.472033098062525,58.608089313218734,57.837099150995115,58.180484771728516,7867900,0.0,0.0
2016-05-27 00:00:00-04:00,57.92128127742717,58.34241014284772,57.86944896780594,58.31649398803711,7505900,0.0,0.0
2016-05-31 00:00:00-04:00,58.31004362433449,58.43961952185378,57.487226294779376,57.67510986328125,13178800,0.0,0.0
2016-06-01 00:00:00-04:00,57.2928685586015,57.953713672247815,57.09849973182073,57.817657470703125,7994800,0.0,0.0
2016-06-02 00:00:00-04:00,57.15033013674494,57.35765457153321,56.761597439392496,57.3576545715332,9837500,0.0,0.0
2016-06-03 00:00:00-04:00,57.299349870733636,57.55202638430161,57.03371279887747,57.253997802734375,9367100,0.0,0.0
2016-06-06 00:00:00-04:00,57.577915809932854,57.986084232310716,57.461295554538836,57.88241958618164,8573000,0.0,0.0
2016-06-07 00:00:00-04:00,58.14807301013554,58.90610241347322,58.122156841260264,58.77004623413086,12889100,0.0,0.0
2016-06-08 00:00:00-04:00,58.97736476593711,59.15229765266491,58.65342010177795,58.82187271118164,9983000,0.0,0.0
2016-06-09 00:00:00-04:00,58.42666097313994,58.97736592442734,58.38130891698694,58.74412536621094,8974300,0.0,0.0
2016-06-10 00:00:00-04:00,58.569204808995806,58.90610513392587,58.16751158738333,58.29709243774414,10353800,0.0,0.0
2016-06-13 00:00:00-04:00,58.25822931960221,59.236543960582544,58.115692822412406,58.69231414794922,11370000,0.0,0.0
2016-06-14 00:00:00-04:00,58.60160154975011,58.873718888316525,58.21286884994667,58.588645935058594,10161000,0.0,0.0
2016-06-15 00:00:00-04:00,58.45904452051294,58.89312909692703,58.3100278300263,58.413692474365234,10655800,0.0,0.0
2016-06-16 00:00:00-04:00,58.115665593138665,59.21060004216685,57.73341329614235,59.100460052490234,12824800,0.0,0.0
2016-06-17 00:00:00-04:00,59.275396222875656,59.34018417034109,58.43314301981789,58.77652359008789,17483200,0.0,0.0
