Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-19 00:00:00-04:00,1.0572960395842546,1.073697810795586,1.0558273392399304,1.0661089420318604,398880000,0.0,0.0
2016-05-20 00:00:00-04:00,1.0727186407018612,1.0896099799574774,1.071005040108426,1.0852035284042358,391084000,0.0,0.0
2016-05-23 00:00:00-04:00,1.0898550354623522,1.0940165879152701,1.080307779745214,1.0869174003601074,413636000,0.0,0.0
2016-05-24 00:00:00-04:00,1.090230951942195,1.1167382119005984,1.0872856878319879,1.1133019924163818,415788000,0.002875,0.0
2016-05-25 00:00:00-04:00,1.116738060909685,1.12140125858131,1.0998028530824846,1.1086386442184448,458076000,0.0,0.0
2016-05-26 00:00:00-04:00,1.1106021534377268,1.1285190384439003,1.1074114704763487,1.1204196214675903,309964000,0.0,0.0
2016-05-27 00:00:00-04:00,1.1216468280315417,1.128273613063408,1.1179651897655996,1.1265555620193481,277416000,0.0,0.0
2016-05-31 00:00:00-04:00,1.1314643864866063,1.1491358536625278,1.1307280119611525,1.1466814279556274,412524000,0.0,0.0
2016-06-01 00:00:00-04:00,1.141281678806749,1.1599348197549142,1.1378455769750724,1.1488902568817139,387132000,0.0,0.0
2016-06-02 00:00:00-04:00,1.1550259875246753,1.1668070408371367,1.143735889455854,1.156989574432373,329208000,0.0,0.0
2016-06-03 00:00:00-04:00,1.145699431747839,1.1471719463211232,1.1206648114671856,1.140790581703186,461076000,0.0,0.0
2016-06-06 00:00:00-04:00,1.1437358852059865,1.1525716751575006,1.12900968565356,1.1349002122879028,322512000,0.0,0.0
2016-06-07 00:00:00-04:00,1.1417724747458624,1.148153839920615,1.1366183221893553,1.1371091604232788,193400000,0.0,0.0
2016-06-08 00:00:00-04:00,1.1373550382934372,1.1415275160650702,1.1241014643641674,1.1334280967712402,234616000,0.0,0.0
2016-06-09 00:00:00-04:00,1.1295009534014582,1.164598352713647,1.1270465276135904,1.162880301475525,472168000,0.0,0.0
2016-06-10 00:00:00-04:00,1.1491353175639054,1.1594436198435198,1.132445534830152,1.1339181661605835,400024000,0.0,0.0
2016-06-13 00:00:00-04:00,1.1351457833591878,1.170734132966949,1.1351457833591878,1.1483993530273438,475588000,0.0,0.0
2016-06-14 00:00:00-04:00,1.145699923671721,1.1560082323112995,1.1329371889559703,1.1506086587905884,298344000,0.0,0.0
2016-06-15 00:00:00-04:00,1.1601803891805773,1.1724521650693744,1.1474176579921482,1.1623892784118652,301036000,0.0,0.0
2016-06-16 00:00:00-04:00,1.1537988210629717,1.1690158579447745,1.1425087236882718,1.1670523881912231,246456000,0.0,0.0
2016-06-17 00:00:00-04:00,1.1685253720198963,1.1687707911838945,1.142018112739284,1.1466814279556274,471000000,0.0,0.0
2016-06-20 00:00:00-04:00,1.1650890701964116,1.1822695790696138,1.1643526957970234,1.1672979593276978,293768000,0.0,0.0
2016-06-21 00:00:00-04:00,1.1722065659765912,1.175397248283858,1.1584620433324315,1.1601802110671997,212508000,0.0,0.0
2016-06-22 00:00:00-04:00,1.1626348634067243,1.1702434427852937,1.1572352906080248,1.1591987609863281,202620000,0.0,0.0
2016-06-23 00:00:00-04:00,1.1702430878468562,1.191350651336914,1.169506713532424,1.190123438835144,297880000,0.0,0.0
2016-06-24 00:00:00-04:00,1.1412819179527938,1.1623894886513229,1.111829510052539,1.1223832368850708,1017684000,0.0,0.0
2016-06-27 00:00:00-04:00,1.1130564160245802,1.1216467879715204,1.0939123190458384,1.1103566884994507,449088000,0.0,0.0
2016-06-28 00:00:00-04:00,1.1314642960071546,1.1326913917290187,1.1110929855893605,1.1265555620193481,381920000,0.0,0.0
2016-06-29 00:00:00-04:00,1.1363730094007127,1.1537990557033244,1.1334277456547153,1.144963264465332,318932000,0.0,0.0
2016-06-30 00:00:00-04:00,1.1469267359139286,1.1609166802064979,1.137600223418997,1.153799057006836,430940000,0.0,0.0
2016-07-01 00:00:00-04:00,1.147417603342749,1.1623892230493953,1.1412816571738722,1.1452085971832275,218488000,0.0,0.0
2016-07-05 00:00:00-04:00,1.138827604449704,1.1641076547595575,1.1297465088197347,1.1621441841125488,371084000,0.0,0.0
2016-07-06 00:00:00-04:00,1.1540443310638961,1.176379108482723,1.1481538043057866,1.1695067882537842,273104000,0.0,0.0
2016-07-07 00:00:00-04:00,1.177361075404688,1.2041137544926555,1.1719615025664993,1.1999412775039673,395400000,0.0,0.0
2016-07-08 00:00:00-04:00,1.2127038259699585,1.2539372831053173,1.2080405113514687,1.2480467557907104,481932000,0.0,0.0
2016-07-11 00:00:00-04:00,1.2659635825550015,1.2860893549135755,1.2644909507929791,1.276762843132019,448776000,0.0,0.0
2016-07-12 00:00:00-04:00,1.2909982867309653,1.307687958373076,1.2747993363291628,1.2959070205688477,436760000,0.0,0.0
2016-07-13 00:00:00-04:00,1.298361141580231,1.3057242997910623,1.2934524084508199,1.2954158782958984,324604000,0.0,0.0
2016-07-14 00:00:00-04:00,1.3022886746636986,1.3204509821827073,1.2914894110153956,1.308669924736023,316892000,0.0,0.0
2016-07-15 00:00:00-04:00,1.2919797504755564,1.299342908536312,1.272344818358111,1.2934523820877075,428616000,0.0,0.0
2016-07-18 00:00:00-04:00,1.3094059748593612,1.3113694449360838,1.295170611994597,1.300079345703125,252992000,0.0,0.0
2016-07-19 00:00:00-04:00,1.2993428873608057,1.3187324000658045,1.2968884623694115,1.3135782480239868,382652000,0.0,0.0
2016-07-20 00:00:00-04:00,1.3179960804387785,1.3378765491869535,1.3125965090804779,1.330758810043335,296460000,0.0,0.0
2016-07-21 00:00:00-04:00,1.327813691069115,1.331986167367751,1.3017973908269345,1.3062152862548828,361308000,0.0,0.0
2016-07-22 00:00:00-04:00,1.3108787516515763,1.341803789138794,1.3013067023063116,1.341803789138794,315768000,0.0,0.0
2016-07-25 00:00:00-04:00,1.3499029754536762,1.3697833282141074,1.344012448546836,1.3665926456451416,312528000,0.0,0.0
2016-07-26 00:00:00-04:00,1.3786191684677858,1.3970268901676983,1.3766556984389249,1.389909267425537,514508000,0.0,0.0
2016-07-27 00:00:00-04:00,1.401935642105901,1.4043900674491825,1.367574506534054,1.3759193420410156,446676000,0.0,0.0
2016-07-28 00:00:00-04:00,1.3791101843232698,1.3891730719213766,1.3746922884143002,1.3788647651672363,221916000,0.0,0.0
2016-07-29 00:00:00-04:00,1.384019218363275,1.4051267917895944,1.3592301227320163,1.4014452695846558,409588000,0.0,0.0
2016-08-01 00:00:00-04:00,1.4073352849084064,1.4124894375201889,1.3832824556866505,1.3923635482788086,301120000,0.0,0.0
2016-08-02 00:00:00-04:00,1.3989900692816744,1.399726443535271,1.362174633537485,1.3754281997680664,282748000,0.0,0.0
2016-08-03 00:00:00-04:00,1.3737102882053471,1.3818097036138695,1.366101710993272,1.3791098594665527,299828000,0.0,0.0
2016-08-04 00:00:00-04:00,1.3857365177115086,1.411016555073154,1.3830367908422014,1.4046351909637451,272712000,0.0,0.0
2016-08-05 00:00:00-04:00,1.4208340208634986,1.4291788546174764,1.4139618185994485,1.4284425973892212,371588000,0.0,0.0
2016-08-08 00:00:00-04:00,1.4480780100661288,1.4515141123423263,1.4264794857108063,1.4416966438293457,305064000,0.0,0.0
2016-08-09 00:00:00-04:00,1.4488141671473538,1.4593680094359052,1.4416965439303517,1.445378065109253,372344000,0.0,0.0
2016-08-10 00:00:00-04:00,1.4581407288254757,1.4603496180233084,1.4313880541548942,1.436051368713379,375740000,0.0,0.0
2016-08-11 00:00:00-04:00,1.4436601898725256,1.4713945457285602,1.4407149257574052,1.4652585983276367,681064000,0.0,0.0
2016-08-12 00:00:00-04:00,1.5192547608203344,1.5555793719999926,1.4880843032093958,1.5472345352172852,1425744000,0.0,0.0
2016-08-15 00:00:00-04:00,1.5489527456146932,1.5585247962405113,1.524899909454956,1.545762062072754,573304000,0.0,0.0
2016-08-16 00:00:00-04:00,1.5435529894888143,1.546007298135411,1.5317720505115422,1.5364353656768799,287652000,0.0,0.0
2016-08-17 00:00:00-04:00,1.5364350881050357,1.5398711898095812,1.488820268408481,1.5008466243743896,595212000,0.0,0.0
2016-08-18 00:00:00-04:00,1.4986379018269622,1.5266176738400163,1.4927473742311825,1.5241633653640747,331684000,0.0,0.0
2016-08-19 00:00:00-04:00,1.523427042780556,1.5396258771871771,1.5168002575263433,1.5280903577804565,291560000,0.0,0.0
2016-08-22 00:00:00-04:00,1.5327536991281614,1.5366807567377454,1.5145913941550206,1.5344717502593994,244748000,0.0,0.0
2016-08-23 00:00:00-04:00,1.5500856293926244,1.556970497585266,1.5424630297512756,1.546889066696167,339764000,0.002875,0.0
2016-08-24 00:00:00-04:00,1.5522988372430986,1.553036451504819,1.5159071702682834,1.5230379104614258,298448000,0.0,0.0
2016-08-25 00:00:00-04:00,1.5235299120734098,1.5242675264036478,1.4940232283793957,1.5129566192626953,406032000,0.0,0.0
2016-08-26 00:00:00-04:00,1.5168902233607415,1.5338565177216859,1.50484159012698,1.5252504348754883,300024000,0.0,0.0
2016-08-29 00:00:00-04:00,1.5313978136833446,1.5375449492247466,1.5218081274699524,1.5242669582366943,274652000,0.0,0.0
2016-08-30 00:00:00-04:00,1.5223000593517733,1.5304144012138627,1.5112350264036314,1.5154151916503906,285544000,0.0,0.0
2016-08-31 00:00:00-04:00,1.5183657577477245,1.5225458054012815,1.5038582921431158,1.5082842111587524,388544000,0.0,0.0
2016-09-01 00:00:00-04:00,1.5095137566569634,1.5584456774995803,1.5082842825392786,1.5527902841567993,428492000,0.0,0.0
2016-09-02 00:00:00-04:00,1.5559868449527658,1.557708061816156,1.5200870449459376,1.537545084953308,323148000,0.0,0.0
2016-09-06 00:00:00-04:00,1.5429546711127025,1.5520524978637695,1.5350862011867112,1.5520524978637695,306812000,0.0,0.0
2016-09-07 00:00:00-04:00,1.5471348382489951,1.5547574373984063,1.520332981407723,1.5291849374771118,397988000,0.0,0.0
2016-09-08 00:00:00-04:00,1.527709683613212,1.54270901142826,1.5102516418106435,1.5402500629425049,315808000,0.0,0.0
2016-09-09 00:00:00-04:00,1.523283650696419,1.53188973525855,1.4507463172467168,1.463532567024231,697760000,0.0,0.0
2016-09-12 00:00:00-04:00,1.444107379128502,1.496727608640303,1.4094369336051837,1.4937769174575806,598260000,0.0,0.0
2016-09-13 00:00:00-04:00,1.4900886643409152,1.5073009520107883,1.4637785486626762,1.47213876247406,471768000,0.0,0.0
2016-09-14 00:00:00-04:00,1.47558067968354,1.4900881423844885,1.4632862932965633,1.4851703643798828,319048000,0.0,0.0
2016-09-15 00:00:00-04:00,1.4876298802477632,1.543200804651556,1.4841873288053937,1.5414795875549316,515212000,0.0,0.0
