Date,Open,Last,High,Low,Volume
2024-06-25,119.04,119.13,120.14,118.18,3228888
2024-06-26,118.81,123.19,124.17,118.3,3964944
2024-06-27,123.19,128.45,128.88,122.65,4411402
2024-06-28,129.89,129.69,131.13,128.3,7170825
2024-07-01,129.04,130.5,131.99,127.96,3938228
2024-07-02,130.09,131.75,132.36,129.88,2855964
2024-07-03,130.83,131.5,133.15,130.83,1773639
2024-07-05,131.0,134.56,134.8,130.75,2535002
2024-07-08,131.58,132.4,132.81,129.07,3769869
2024-07-09,131.7,126.63,131.7,125.35,4834613
2024-07-10,127.55,126.29,128.14,123.91,2717646
2024-07-11,126.41,127.19,129.71,125.8,4250217
2024-07-12,126.99,127.8,128.85,125.09,2863667
2024-07-15,129.38,129.42,130.6,126.17,2503284
2024-07-16,131.5,130.77,131.65,129.31,3156854
2024-07-17,123.5,121.16,125.07,120.25,6842693
2024-07-18,121.7,118.82,123.21,117.86,3715621
2024-07-19,118.58,119.03,120.52,118.21,2538558
2024-07-22,119.57,121.22,122.57,119.49,3191080
2024-07-23,121.82,123.21,125.35,121.78,2347105
2024-07-24,121.87,117.32,123.01,117.24,3574603
2024-07-25,118.27,120.31,121.99,116.51,3478573
2024-07-26,121.43,118.31,121.46,117.52,3817624
2024-07-29,119.0,117.92,119.95,117.41,2165116
2024-07-30,117.87,114.68,117.94,113.58,4164319
2024-07-31,115.5,116.44,117.89,114.84,3345793
2024-08-01,115.01,113.1,116.69,111.31,4260441
2024-08-02,109.89,107.25,109.92,106.2,5247345
2024-08-05,99.93,104.97,106.23,98.8,5975846
2024-08-06,105.64,105.47,107.22,103.51,4622974
2024-08-07,108.7,108.04,111.25,107.27,7819154
2024-08-08,115.08,114.06,118.07,111.02,9762990
2024-08-09,113.74,112.28,115.45,110.63,4515414
2024-08-12,113.05,112.16,113.2,110.1,3557639
2024-08-13,112.21,114.37,115.02,112.21,2816177
2024-08-14,114.81,114.15,115.35,113.27,2911844
2024-08-15,115.43,116.33,118.4,115.14,3846572
2024-08-16,116.24,114.98,116.42,114.77,2197923
2024-08-19,115.34,117.21,117.25,114.13,1872537
2024-08-20,116.7,116.1,117.51,115.74,1834409
2024-08-21,116.51,117.74,117.79,115.97,2223537
2024-08-22,117.5,115.62,118.72,115.53,2419149
2024-08-23,117.0,117.23,117.67,115.48,1926176
2024-08-26,116.42,116.74,117.59,116.21,1388786
2024-08-27,116.25,116.02,116.96,115.53,1284924
2024-08-28,115.5,113.42,116.49,112.26,1797633
2024-08-29,115.28,115.18,116.89,114.45,2328834
2024-08-30,117.22,116.26,117.97,114.66,2436585
2024-09-03,114.87,111.48,115.5,111.1,3355767
2024-09-04,110.77,108.65,111.4,108.54,3536775
2024-09-05,108.01,110.09,110.5,108.0,2701582
2024-09-06,109.87,107.2,110.97,105.44,3311255
2024-09-09,108.27,107.7,109.02,106.74,2720517
2024-09-10,108.46,108.12,110.2,107.02,2365271
2024-09-11,108.41,109.52,109.66,107.15,4320113
2024-09-12,110.0,109.63,110.92,109.2,2553092
2024-09-13,109.56,109.26,110.9,108.79,3142972
2024-09-16,109.16,111.4,111.59,108.35,3670739
2024-09-17,112.3,111.93,113.65,111.45,2419994
2024-09-18,111.72,113.18,114.94,111.5,2779323
2024-09-19,115.86,115.52,116.64,114.91,3133119
2024-09-20,115.18,114.76,115.62,113.91,2830140
2024-09-23,115.01,116.22,116.67,114.9,1917945
2024-09-24,116.58,117.31,118.38,115.66,2546010
2024-09-25,116.63,116.01,117.5,115.56,2546109
2024-09-26,118.2,114.21,118.23,113.1,2344306
2024-09-27,115.13,114.2,115.18,113.46,2288668
2024-09-30,114.2,115.06,115.32,113.86,1563471
2024-10-01,117.45,113.98,117.75,113.08,2783517
2024-10-02,114.19,116.22,116.69,113.53,3193880
2024-10-03,115.26,117.53,118.58,115.17,3719479
2024-10-04,119.55,122.69,122.82,118.37,5219974
2024-10-07,122.2,122.38,123.78,121.16,3209110
2024-10-08,123.74,123.72,126.17,123.23,3838521
2024-10-09,123.8,125.16,126.56,123.7,3143337
2024-10-10,125.24,130.09,130.24,125.04,4713086
2024-10-11,129.89,129.81,131.25,128.76,2651464
2024-10-14,131.28,129.12,131.28,128.55,2514133
2024-10-15,128.47,126.88,128.66,125.73,2703988
2024-10-16,126.43,126.0,126.8,123.29,2464065
2024-10-17,127.33,126.22,127.91,124.76,2506087
2024-10-18,129.0,128.12,130.17,127.19,3575210
2024-10-21,126.12,125.81,128.8,124.93,3279117
2024-10-22,125.0,124.62,126.0,123.13,1886409
2024-10-23,124.62,121.52,125.51,121.07,2078442
2024-10-24,122.75,123.89,124.0,122.35,2021313
2024-10-25,124.9,126.6,127.72,124.77,3396648
2024-10-28,127.29,126.37,127.95,125.75,2383456
2024-10-29,127.2,128.76,129.31,125.85,3551871
2024-10-30,129.82,128.16,131.84,127.92,2809295
2024-10-31,126.25,125.44,126.43,124.0,3446340
2024-11-01,124.43,123.26,124.57,120.78,4838712
2024-11-04,122.51,125.56,127.1,121.7,3294045
2024-11-05,126.74,125.05,126.99,124.81,2540991
2024-11-06,129.05,128.35,129.15,127.06,5855157
2024-11-07,126.87,129.79,133.66,126.17,8264774
2024-11-08,129.49,124.45,129.5,122.98,5904912
2024-11-11,125.55,122.36,125.55,121.52,5554003
2024-11-12,122.08,123.41,124.45,121.26,7124624
2024-11-13,123.07,128.45,131.33,122.67,7682493
2024-11-14,129.57,131.43,133.28,129.05,5315039
2024-11-15,129.05,126.09,129.51,124.88,5777739
2024-11-18,126.92,125.97,127.57,124.82,3076330
2024-11-19,125.9,133.41,133.86,125.06,6251979
2024-11-20,134.85,135.45,136.71,132.84,6353283
2024-11-21,142.0,143.86,145.55,139.89,8671809
2024-11-22,148.5,154.83,155.42,147.0,13878759
2024-11-25,155.7,156.63,157.15,153.34,7686186
2024-11-26,155.46,154.39,157.48,151.49,4365635
2024-11-27,154.06,151.96,155.59,150.64,4084637
2024-11-29,153.0,152.75,153.19,151.12,1892258
2024-12-02,152.45,152.88,153.48,151.19,4307751
2024-12-03,153.0,155.01,156.68,151.77,4220489
2024-12-04,157.93,165.88,166.08,157.03,9874807
2024-12-05,164.58,163.35,164.94,161.58,4512467
2024-12-06,165.0,168.65,170.08,164.77,6048059
2024-12-09,166.65,161.19,167.59,159.38,8317548
2024-12-10,161.65,154.91,161.66,153.12,10653354
2024-12-11,156.09,156.48,159.54,153.51,5974041
2024-12-12,155.82,156.73,157.62,154.06,3447623
2024-12-13,158.34,153.03,159.0,152.66,4409238
2024-12-16,153.46,155.82,156.14,152.97,2825275
2024-12-17,156.36,156.91,158.57,154.42,4324097
2024-12-18,156.38,150.2,158.2,149.5,4322291
2024-12-19,150.5,146.93,151.71,145.87,5832521
2024-12-20,145.11,149.46,150.16,144.0,7590514
2024-12-23,150.0,147.46,150.78,146.62,2907397
2024-12-24,148.25,148.4,148.51,147.12,1038524
2024-12-26,148.0,147.56,149.47,146.87,1231932
2024-12-27,146.48,145.99,146.98,143.04,1943444
2024-12-30,143.7,144.17,144.84,142.44,2062332
2024-12-31,144.71,142.89,145.71,142.61,1858904
2025-01-02,145.0,143.63,145.72,141.64,2361580
2025-01-03,144.63,144.83,146.23,144.13,2199880
2025-01-06,147.19,146.04,147.64,144.83,2667254
2025-01-07,144.48,141.4,145.72,140.29,3989046
2025-01-08,141.03,141.88,142.33,139.26,3334395
2025-01-10,139.37,140.42,140.7,137.62,2646204
2025-01-13,139.22,138.0,139.94,136.71,4413704
2025-01-14,139.5,139.16,141.05,138.02,3414137
2025-01-15,142.06,140.95,144.48,140.73,3441204
2025-01-16,137.51,136.79,138.8,134.72,5913520
2025-01-17,139.42,138.4,140.86,137.92,3469056
2025-01-21,139.32,138.4,140.8,137.54,3347586
2025-01-22,139.99,140.12,140.4,138.59,3870564
2025-01-23,142.3,140.2,144.17,139.41,3806382
2025-01-24,141.78,140.99,142.82,139.85,2885274
2025-01-27,137.5,142.16,146.58,136.87,5517601
2025-01-28,143.4,151.89,153.42,143.4,7940415
2025-01-29,147.9,145.72,148.6,141.96,7978201
2025-01-30,141.5,142.61,143.15,138.6,6026006
2025-01-31,145.74,142.71,146.01,141.82,4950707
2025-02-03,140.8,143.16,144.41,140.24,5124807
2025-02-04,143.0,145.83,146.47,142.86,3290096
2025-02-05,144.55,144.85,144.92,140.3,4837301
2025-02-06,146.0,144.85,146.05,143.5,3568616
2025-02-07,145.01,142.65,145.77,141.85,4475129
2025-02-10,144.43,147.1,147.82,143.65,4916244
2025-02-11,146.38,145.42,148.47,145.0,3402210
2025-02-12,146.29,148.09,149.01,144.2,6977332
2025-02-13,136.55,135.89,136.71,130.88,20141609
2025-02-14,133.61,131.01,135.81,129.69,8664004
2025-02-18,128.31,130.63,130.86,127.23,8969753
2025-02-19,130.52,128.85,130.9,128.15,4405342
2025-02-20,127.93,126.24,128.85,124.33,6105817
2025-02-21,126.18,119.64,126.64,119.59,6983814
2025-02-24,119.64,117.51,119.8,114.62,7269869
2025-02-25,116.53,114.98,117.29,113.46,7560919
2025-02-26,115.84,113.37,117.63,112.85,6581213
2025-02-27,116.79,113.53,118.0,113.31,5101790
2025-02-28,112.62,116.55,116.64,111.68,5046336
2025-03-03,116.97,113.17,117.31,112.59,4207774
2025-03-04,111.73,115.46,116.58,110.37,5788086
2025-03-05,115.49,115.09,115.5,112.83,3411105
2025-03-06,111.0,111.46,115.23,110.91,5304794
2025-03-07,110.88,109.63,113.46,106.66,6028386
