date,open,last,high,low,volume,close
2024-01-29,72.0,72.93,72.95,71.2,4318120,
2024-01-30,73.5,71.97,74.15,70.85,4056633,
2024-01-31,70.66,70.67,72.54,69.62,5087257,
2024-02-01,71.87,70.52,72.55,69.32,3476065,
2024-02-02,71.1,71.0,71.95,70.0,4298876,
2024-02-05,71.99,73.27,74.28,71.6,7258066,
2024-02-06,75.0,72.98,75.45,71.8,6899507,
2024-02-07,73.07,77.01,77.71,72.25,22802796,
2024-02-08,94.41,113.89,126.59,94.0,106505653,
2024-02-09,105.99,115.21,117.82,102.09,48096528,
2024-02-12,120.16,148.97,164.0,118.69,111349666,
2024-02-13,128.12,119.98,137.5,117.0,68563880,
2024-02-14,133.81,126.4,134.84,121.02,42519550,
2024-02-15,131.0,133.68,135.0,123.51,34996642,
2024-02-16,129.5,128.34,135.98,123.05,26122331,
2024-02-20,123.78,121.77,123.8,115.49,21117308,
2024-02-21,117.76,123.39,125.5,116.81,22418082,
2024-02-22,132.87,128.53,138.5,128.51,29492398,
2024-02-23,129.1,133.34,136.0,128.86,20317049,
2024-02-26,139.0,146.2,149.92,138.18,26547871,
2024-02-27,144.91,137.95,147.33,137.0,17481267,
2024-02-28,136.15,133.86,136.29,131.31,9682632,
2024-02-29,136.28,141.04,141.22,135.45,10300023,
2024-03-01,141.48,141.62,144.98,139.04,9856913,
2024-03-04,145.39,138.01,148.48,137.75,14294988,
2024-03-05,135.5,134.07,136.37,130.0,9116025,
2024-03-06,138.09,136.99,139.34,133.26,9063327,
2024-03-07,140.0,140.85,146.54,138.81,14358584,
2024-03-08,139.69,131.48,142.9,131.2,14132452,
2024-03-11,126.6,126.74,130.74,124.12,10174794,
2024-03-12,125.0,129.5,129.99,121.38,18220618,
2024-03-13,129.0,131.27,132.7,125.8,9097646,
2024-03-14,130.13,130.96,136.29,127.59,10070935,
2024-03-15,128.71,126.97,134.2,126.12,8880494,
2024-03-18,128.17,129.75,132.8,127.73,6216320,
2024-03-19,125.5,124.59,127.1,121.52,8135365,
2024-03-20,126.53,131.33,131.98,125.23,6861505,
2024-03-21,134.7,133.6,137.0,132.01,7568797,
