Date,Open,High,Low,Close,Volume
2025-10-28,203.26,203.91,201.86,202.46,546217
2025-10-27,206.49,206.67,202.96,203.28,593815
2025-10-24,206.15,206.57,204.61,204.81,534074
2025-10-23,204.1,204.86,202.88,204.67,638618
2025-10-22,205.83,205.83,202.14,203.03,628597
2025-10-21,204.84,206.82,203.59,204.55,623675
2025-10-20,204.68,206.78,201.89,205.87,667491
2025-10-17,201.85,203.92,201.49,202.86,673136
2025-10-16,203.61,203.63,200.09,201.99,589989
2025-10-15,202.82,204.61,199.87,202.8,861606
2025-10-14,199.81,203.08,199.67,202.06,534708
2025-10-13,200.37,203.05,198.55,202.48,687158
2025-10-10,201.72,203.0,196.61,196.9,585166
2025-10-09,203.44,203.44,200.39,201.72,627280
2025-10-08,202.56,204.16,202.04,203.43,569751
2025-10-07,205.31,206.3,200.69,202.26,566018
2025-10-06,204.04,205.51,203.14,205.0,811045
2025-10-03,203.2,204.54,202.57,203.0,588401
2025-10-02,202.49,203.61,201.45,203.02,587009
2025-10-01,201.89,204.0,199.16,202.42,775578
2025-09-30,203.63,204.29,201.81,203.02,1167404
2025-09-29,203.65,204.51,200.83,203.84,569373
2025-09-26,202.46,204.09,202.34,202.96,529331
2025-09-25,202.4,202.93,200.32,202.71,490817
2025-09-24,204.32,204.56,202.34,203.6,764561
2025-09-23,206.27,207.49,203.16,204.03,838368
2025-09-22,204.77,206.4,204.3,205.93,920305
2025-09-19,207.87,208.0,205.12,205.95,1638298
2025-09-18,205.01,207.28,205.01,206.19,917085
2025-09-17,206.02,206.64,202.55,203.98,738259
2025-09-16,204.15,205.87,202.93,204.95,955997
2025-09-15,205.12,208.56,204.02,204.15,630347
2025-09-12,206.1,206.73,204.34,205.11,520517
2025-09-11,205.77,207.26,204.48,207.03,778822
2025-09-10,204.16,206.39,202.4,204.5,1136035
2025-09-09,213.48,213.48,202.26,204.03,1474639
2025-09-08,215.22,215.22,209.9,212.73,1279789
2025-09-05,213.5,215.49,211.42,213.9,632646
2025-09-04,211.27,213.59,210.29,213.25,639174
2025-09-03,212.13,213.54,211.29,212.24,506944
2025-09-02,210.39,213.0,208.85,212.64,809570
2025-08-29,215.52,215.81,213.03,213.5,1098684
2025-08-28,216.52,217.64,214.93,215.03,526324
2025-08-27,212.89,217.08,210.0,216.53,705953
2025-08-26,213.61,215.35,212.12,212.58,737167
2025-08-25,215.1,216.48,213.7,214.35,873446
2025-08-22,212.43,217.0,211.55,215.05,668613
2025-08-21,210.25,213.01,208.17,211.95,863581
2025-08-20,209.03,211.25,208.84,210.89,824283
2025-08-19,209.16,210.62,208.11,209.87,606443
2025-08-18,205.82,208.83,205.0,208.31,941040
2025-08-15,208.75,208.99,205.5,205.84,1366154
2025-08-14,208.22,208.77,206.95,208.01,609573
2025-08-13,205.8,208.94,205.43,208.37,601073
2025-08-12,203.82,205.04,201.46,204.55,628657
2025-08-11,205.59,208.51,202.39,203.29,729340
2025-08-08,207.0,208.05,205.01,205.42,756388
2025-08-07,216.85,217.3,203.97,206.15,1279454
2025-08-06,215.68,217.2,214.8,215.71,710566
2025-08-05,217.19,217.2,213.65,214.79,1054906
2025-08-04,212.97,218.0,211.39,216.41,975783
2025-08-01,212.2,213.88,207.3,212.11,1598374
2025-07-31,212.5,219.69,208.0,214.81,2618164
2025-07-30,204.35,204.81,199.74,202.51,1243754
2025-07-29,205.36,205.85,202.46,204.19,739432
2025-07-28,204.55,204.89,202.59,204.0,697856
2025-07-25,203.0,205.47,201.85,204.51,550807
2025-07-24,200.8,202.73,199.88,202.06,965337
2025-07-23,203.38,203.38,199.87,201.36,1166197
2025-07-22,199.82,203.6,198.64,202.87,792604
2025-07-21,200.27,200.62,197.99,198.82,728843
2025-07-18,197.65,199.78,195.71,199.61,880148
2025-07-17,193.65,199.49,192.29,197.0,1279060
2025-07-16,192.37,194.66,191.09,194.19,910622
2025-07-15,191.17,194.06,190.55,192.22,1045899
2025-07-14,183.0,192.75,183.0,191.08,2121173
2025-07-11,194.01,197.33,191.47,193.51,2369968
2025-07-10,198.35,200.23,187.0,194.59,7018030
2025-07-09,179.27,213.14,176.78,210.47,4183876
2025-07-08,175.42,179.21,175.15,178.9,917536
2025-07-07,175.1,176.16,173.91,174.82,711781
2025-07-03,173.85,176.98,173.85,175.98,468442
2025-07-02,172.9,173.75,171.65,173.31,629197
2025-07-01,171.74,173.91,170.14,173.07,1271130
2025-06-30,170.47,172.94,168.23,172.34,874837
2025-06-27,169.62,171.51,167.84,169.3,2037878
2025-06-26,169.36,172.28,168.14,169.54,843113
2025-06-25,169.93,170.22,166.82,168.6,664591
2025-06-24,167.5,170.14,166.22,169.93,704412
2025-06-23,166.82,167.0,163.74,166.46,797950
2025-06-20,166.57,168.63,165.8,166.97,1617047
2025-06-18,166.92,168.11,165.99,166.57,728221
2025-06-17,171.75,172.32,167.31,167.53,878917
2025-06-16,170.24,173.12,170.24,172.61,1011034
2025-06-13,169.04,170.99,168.1,169.34,1143604
2025-06-12,170.44,171.47,169.7,171.02,568130
2025-06-11,171.45,172.2,170.05,171.0,746239
2025-06-10,170.31,171.46,169.17,170.92,1065561
2025-06-09,170.85,171.64,169.84,170.19,740009
2025-06-06,168.92,170.51,168.79,170.34,545521
2025-06-05,168.2,169.82,167.6,167.81,635720
2025-06-04,168.5,169.0,167.46,168.17,682946
2025-06-03,166.63,168.25,165.5,168.12,523386
2025-06-02,166.87,167.72,164.66,166.75,749481
2025-05-30,167.7,168.85,166.45,168.32,1902224
2025-05-29,168.71,168.71,166.36,167.93,625996
2025-05-28,170.87,171.34,167.15,167.38,817967
2025-05-27,171.2,171.75,169.31,171.37,891732
2025-05-23,167.64,169.73,167.33,168.77,692218
2025-05-22,169.09,171.28,168.21,170.37,808403
2025-05-21,171.42,172.73,169.06,169.13,709924
2025-05-20,172.12,174.26,171.5,173.24,607089
2025-05-19,170.32,172.9,169.48,172.39,514819
2025-05-16,171.35,173.05,169.94,172.91,656218
2025-05-15,170.26,172.07,170.03,171.8,668593
2025-05-14,170.3,172.19,169.52,171.47,929853
2025-05-13,170.47,172.75,170.08,170.96,1047260
2025-05-12,167.98,170.9,167.43,170.51,1076616
2025-05-09,168.06,168.06,162.64,163.02,481403
2025-05-08,161.26,166.11,159.97,164.74,1196297
2025-05-07,159.63,161.41,158.94,161.05,649912
2025-05-06,159.19,162.4,158.14,158.72,835159
2025-05-05,158.64,162.95,158.64,161.33,984942
2025-05-02,159.04,162.92,157.64,160.09,852238
2025-05-01,160.21,160.59,151.67,156.34,1819147
2025-04-30,151.66,155.33,149.99,154.97,1403995
2025-04-29,151.84,154.21,151.84,153.65,660822
2025-04-28,153.95,155.81,151.34,151.83,943765
2025-04-25,150.78,154.13,150.44,154.03,1016811
2025-04-24,146.88,152.06,146.19,151.64,787451
2025-04-23,147.61,151.17,146.77,147.7,658162
2025-04-22,141.89,143.97,140.7,143.81,683826
2025-04-21,142.19,142.27,138.32,139.62,585903
2025-04-17,144.38,144.87,142.92,143.56,655601
2025-04-16,144.62,146.94,141.33,143.98,1128590
2025-04-15,146.62,148.52,146.54,147.06,552573
2025-04-14,147.09,147.91,145.19,146.54,946209
2025-04-11,143.62,145.75,140.66,145.32,893406
2025-04-10,144.86,146.73,139.34,143.76,1019440
2025-04-09,134.61,149.62,133.38,149.24,1450187
2025-04-08,142.72,145.11,134.27,136.74,1081948
2025-04-07,136.91,144.81,134.16,139.69,1867024
2025-04-04,145.85,145.85,139.66,139.77,1244269
2025-04-03,151.83,152.86,146.9,149.53,1416549
2025-04-02,154.74,158.42,154.6,157.16,692202
2025-04-01,154.19,156.44,153.2,156.2,1131921
2025-03-31,153.76,155.4,151.92,154.95,1458541
2025-03-28,159.93,160.62,154.27,154.8,976001
2025-03-27,161.11,161.38,158.65,160.31,1022072
2025-03-26,162.68,163.91,161.0,162.15,644551
2025-03-25,162.62,163.3,161.14,162.8,974889
2025-03-24,161.41,163.06,160.41,161.45,582865
2025-03-21,158.83,160.93,157.6,159.84,1544374
2025-03-20,160.2,161.6,159.32,159.9,728542
2025-03-19,159.61,162.44,159.61,161.24,619359
2025-03-18,158.14,160.08,157.78,160.02,594926
2025-03-17,155.53,160.3,154.8,158.79,1035717
2025-03-14,155.13,156.25,153.21,155.8,1488075
2025-03-13,155.79,156.92,151.8,153.3,1361401
2025-03-12,158.42,159.87,155.94,157.0,962066
2025-03-11,160.33,160.78,156.38,157.28,1333985
2025-03-10,160.77,162.7,159.41,161.02,1317468
2025-03-07,160.09,163.09,158.12,162.65,1273461
2025-03-06,160.04,161.89,159.18,160.56,1044135
2025-03-05,158.02,161.56,157.39,161.16,705504
2025-03-04,159.04,160.31,155.53,158.44,1063603
2025-03-03,165.0,165.01,159.56,160.56,1218776
2025-02-28,163.43,163.76,160.81,163.63,1541980
2025-02-27,163.63,165.62,162.22,162.75,1172121
2025-02-26,162.99,165.1,162.4,163.03,844035
2025-02-25,162.69,165.01,161.54,162.72,1448202
2025-02-24,162.12,163.97,160.53,162.58,1049879
2025-02-21,165.81,165.92,161.02,161.65,902435
2025-02-20,169.81,169.81,164.43,165.76,1024502
2025-02-19,170.44,170.44,167.37,169.92,975171
2025-02-18,171.17,172.09,169.0,170.79,1277543
2025-02-14,168.0,171.31,166.69,171.1,1445073
2025-02-13,166.94,168.01,165.09,167.93,1358985
2025-02-12,166.4,167.49,164.68,166.57,1110439
2025-02-11,166.82,169.99,166.82,167.98,1423665
2025-02-10,170.33,171.59,165.97,168.42,1812946
2025-02-07,172.75,173.92,167.65,169.02,1970173
2025-02-06,182.76,185.05,169.73,171.61,4443546
2025-02-05,190.99,193.48,189.01,189.76,1321373
2025-02-04,191.57,193.44,190.68,191.07,758682
2025-02-03,190.0,190.92,185.0,189.88,908935
2025-01-31,192.86,195.23,191.84,193.48,1470215
2025-01-30,190.58,194.12,190.23,192.01,1634053
2025-01-29,190.06,190.42,187.27,189.08,996274
2025-01-28,189.14,192.75,187.79,190.93,988655
2025-01-27,187.93,191.68,187.41,188.48,850106
2025-01-24,189.07,190.27,188.5,188.96,741903
2025-01-23,186.77,189.07,186.49,189.07,920900
2025-01-22,188.05,189.56,187.72,187.93,767756
2025-01-21,189.55,190.04,184.82,187.9,882880
2025-01-17,189.53,189.53,187.31,187.79,612373
2025-01-16,185.9,187.67,185.08,186.97,523165
2025-01-15,189.16,189.26,185.24,185.37,549432
2025-01-14,183.41,185.83,183.39,185.5,815448
2025-01-13,181.06,183.07,180.92,182.42,757531
2025-01-10,182.22,184.68,180.82,182.38,858893
2025-01-08,183.09,184.9,182.25,184.36,492735
2025-01-07,185.87,186.13,181.31,183.09,1021245
2025-01-06,185.21,186.41,184.46,184.83,818625
2025-01-03,183.72,185.15,183.0,184.54,677933
2025-01-02,184.41,184.96,181.61,183.01,885833
