date,unit_nav
2020-05-29,1.0003
2020-06-05,1.0033
2020-06-11,0.9974
2020-06-12,0.996
2020-06-15,0.9944
2020-06-16,1.017
2020-06-17,1.0204
2020-06-18,1.0121
2020-06-19,1.013
2020-06-22,1.0037
2020-06-23,1.0227
2020-06-24,0.9968
2020-06-29,1.008
2020-06-30,1.0075
2020-07-01,1.0032
2020-07-02,1.0274
2020-07-03,1.0191
2020-07-06,1.035
2020-07-07,1.0295
2020-07-08,1.0123
2020-07-09,1.0041
2020-07-10,1.007
2020-07-13,1.0263
2020-07-14,1.0213
2020-07-15,1.0467
2020-07-16,1.0414
2020-07-17,1.0364
2020-07-20,1.0445
2020-07-21,1.0472
2020-07-22,1.0391
2020-07-23,1.0446
2020-07-24,1.0345
2020-07-27,1.0364
2020-07-28,1.0421
2020-07-29,1.046
2020-07-30,1.0294
2020-07-31,1.0215
2020-08-03,1.034
2020-08-04,1.0324
2020-08-05,1.0446
2020-08-06,1.036
2020-08-07,1.0366
2020-08-10,1.0356
2020-08-11,1.0563
2020-08-12,1.0643
2020-08-13,1.0608
2020-08-14,1.0461
2020-08-17,1.0501
2020-08-18,1.0452
2020-08-19,1.0565
2020-08-20,1.0362
2020-08-21,1.0323
2020-08-24,1.0505
2020-08-25,1.0495
2020-08-26,1.0596
2020-08-27,1.0498
2020-08-28,1.0459
2020-08-31,1.0378
2020-09-01,1.0375
2020-09-02,1.0523
2020-09-03,1.0412
2020-09-04,1.0328
2020-09-07,1.0503
2020-09-08,1.0321
2020-09-09,1.0429
2020-09-10,1.0409
2020-09-11,1.0455
2020-09-14,1.0498
2020-09-15,1.0532
2020-09-16,1.0462
2020-09-17,1.0334
2020-09-18,1.0239
2020-09-21,0.986
2020-09-22,0.9782
2020-09-23,0.9807
2020-09-24,0.9706
2020-09-25,0.9667
2020-09-28,0.9874
2020-09-29,0.987
2020-09-30,0.9862
2020-10-09,1.0119
2020-10-12,1.0103
2020-10-13,1.0063
2020-10-14,1.003
2020-10-15,0.9814
2020-10-16,0.9969
2020-10-19,0.9938
2020-10-20,0.9944
2020-10-21,0.9824
2020-10-22,0.9808
2020-10-23,0.9906
2020-10-26,0.9755
2020-10-27,0.9604
2020-10-28,0.9295
2020-10-29,0.9278
2020-10-30,0.9265
2020-11-02,0.9406
2020-11-03,0.9605
2020-11-04,0.9875
2020-11-05,1.0009
2020-11-06,0.9937
2020-11-09,1.0706
2020-11-10,1.0761
2020-11-11,1.084
2020-11-12,1.0668
2020-11-13,1.0739
2020-11-16,1.0917
2020-11-17,1.0893
2020-11-18,1.0919
2020-11-19,1.0824
2020-11-20,1.0931
2020-11-23,1.0907
2020-11-24,1.1027
2020-11-25,1.1092
2020-11-26,1.111
2020-11-27,1.116
2020-11-30,1.1064
2020-12-01,1.1182
2020-12-02,1.125
2020-12-03,1.1271
2020-12-04,1.1357
2020-12-07,1.1247
2020-12-08,1.1201
2020-12-09,1.1173
2020-12-10,1.1176
2020-12-11,1.114
2020-12-14,1.1163
2020-12-15,1.1193
2020-12-16,1.1219
2020-12-17,1.1261
