date,unit_nav,daily_return_pct
2021-08-12,1.0,0.0
2021-08-13,0.9985,-0.15
2021-08-16,0.9977,-0.08
2021-08-20,0.9908,0.0
2021-08-23,1.0074,1.68
2021-08-24,1.0151,0.76
2021-08-25,1.0022,-1.27
2021-08-26,0.9848,-1.74
2021-08-27,0.9988,1.42
2021-08-30,0.9903,-0.85
2021-08-31,0.9603,-3.03
2021-09-01,0.9668,0.68
2021-09-02,0.951,-1.63
2021-09-03,0.9434,-0.8
2021-09-06,0.9601,1.77
2021-09-07,0.9629,0.29
2021-09-08,0.9774,1.51
2021-09-09,0.9632,-1.45
2021-09-10,0.9761,1.34
2021-09-13,0.9551,-2.15
2021-09-14,0.9483,-0.71
2021-09-15,0.9345,-1.46
2021-09-16,0.9167,-1.9
2021-09-17,0.9179,0.13
2021-09-22,0.9124,-0.6
2021-09-23,0.931,2.04
2021-09-24,0.9225,-0.91
2021-09-27,0.9308,0.9
2021-09-28,0.9258,-0.54
2021-09-29,0.9079,-1.93
2021-09-30,0.9154,0.83
2021-10-08,0.9295,1.54
2021-10-11,0.9268,-0.29
2021-10-12,0.9049,-2.36
2021-10-13,0.9196,1.62
2021-10-14,0.9188,-0.09
2021-10-15,0.929,1.11
2021-10-18,0.9146,-1.55
2021-10-19,0.9293,1.61
2021-10-20,0.9262,-0.33
2021-10-21,0.9201,-0.66
2021-10-22,0.9299,1.07
2021-10-25,0.9312,0.14
2021-10-26,0.9537,2.42
2021-10-27,0.9386,-1.58
2021-10-28,0.9401,0.16
2021-10-29,0.953,1.37
2021-11-01,0.9754,2.35
2021-11-02,0.9791,0.38
2021-11-03,0.9757,-0.35
2021-11-04,0.9925,1.72
2021-11-05,1.0001,0.77
2021-11-08,0.989,-1.11
2021-11-09,0.9925,0.35
2021-11-10,0.9954,0.29
2021-11-11,1.0101,1.48
2021-11-12,1.0112,0.11
2021-11-15,1.0188,0.75
2021-11-16,1.0168,-0.2
2021-11-17,1.0181,0.13
2021-11-18,1.001,-1.68
2021-11-19,1.0244,2.34
2021-11-22,1.0527,2.76
2021-11-23,1.0472,-0.52
2021-11-24,1.0458,-0.13
2021-11-25,1.0458,0.0
2021-11-26,1.0233,-2.15
2021-11-29,1.0329,0.94
2021-11-30,1.0281,-0.46
2021-12-01,1.0321,0.39
2021-12-02,1.0386,0.63
2021-12-03,1.0524,1.33
2021-12-06,1.0412,-1.06
2021-12-07,1.0345,-0.64
2021-12-08,1.0704,3.47
2021-12-09,1.0871,1.56
2021-12-10,1.0822,-0.45
2021-12-13,1.0915,0.86
2021-12-14,1.0906,-0.08
2021-12-15,1.079,-1.06
2021-12-16,1.0839,0.45
2021-12-17,1.0616,-2.06
2021-12-20,1.0372,-2.3
2021-12-21,1.0525,1.48
2021-12-22,1.0833,2.93
2021-12-23,1.0929,0.89
2021-12-24,1.0924,-0.05
2021-12-27,1.0858,-0.6
2021-12-28,1.0809,-0.45
2021-12-29,1.064,-1.56
2021-12-30,1.0829,1.78
2021-12-31,1.0806,-0.21
2022-01-04,1.0874,0.63
2022-01-05,1.0415,-4.22
2022-01-06,1.0344,-0.68
2022-01-07,1.0239,-1.02
2022-01-10,1.0302,0.62
2022-01-11,1.0042,-2.52
2022-01-12,1.0168,1.25
2022-01-13,0.9949,-2.15
2022-01-14,1.0041,0.92
2022-01-17,1.0246,2.04
2022-01-18,1.028,0.33
2022-01-19,1.0089,-1.86
2022-01-20,1.004,-0.49
2022-01-21,0.9859,-1.8
2022-01-24,1.001,1.53
2022-01-25,0.9709,-3.01
2022-01-26,0.9745,0.37
2022-01-27,0.9397,-3.57
2022-01-28,0.9306,-0.97
2022-02-07,0.9311,0.05
2022-02-08,0.9122,-2.03
2022-02-09,0.9205,0.91
2022-02-10,0.9157,-0.52
2022-02-11,0.8916,-2.63
2022-02-14,0.8892,-0.27
2022-02-15,0.921,3.58
2022-02-16,0.9187,-0.25
2022-02-17,0.9234,0.51
2022-02-18,0.9156,-0.84
2022-02-21,0.9127,-0.32
2022-02-22,0.9023,-1.14
2022-02-23,0.9394,4.11
2022-02-24,0.9213,-1.93
2022-02-25,0.9301,0.96
2022-02-28,0.9241,-0.65
2022-03-01,0.9216,-0.27
2022-03-02,0.9034,-1.97
2022-03-03,0.8826,-2.3
2022-03-04,0.874,-0.97
2022-03-07,0.8355,-4.41
2022-03-08,0.8241,-1.36
2022-03-09,0.8237,-0.05
2022-03-10,0.8362,1.52
2022-03-11,0.8307,-0.66
2022-03-14,0.8035,-3.27
2022-03-15,0.7696,-4.22
2022-03-16,0.8034,4.39
2022-03-17,0.822,2.32
2022-03-18,0.8203,-0.21
2022-03-21,0.8243,0.49
2022-03-22,0.8199,-0.53
2022-03-23,0.8219,0.24
2022-03-24,0.803,-2.3
2022-03-25,0.7915,-1.43
2022-03-28,0.7804,-1.4
2022-03-29,0.7563,-3.09
2022-03-30,0.7783,2.91
