date,unit_nav
2015-08-06,1.0
2015-08-07,1.0
2015-08-10,1.0
2015-08-14,1.0
2015-08-17,1.0
2015-08-18,1.003
2015-08-19,1.003
2015-08-20,1.002
2015-08-21,1.007
2015-08-24,0.992
2015-08-25,0.975
2015-08-26,0.965
2015-08-27,0.937
2015-08-28,0.953
2015-08-31,0.958
2015-09-01,0.956
2015-09-02,0.957
2015-09-07,0.955
2015-09-08,0.95
2015-09-09,0.964
2015-09-10,0.953
2015-09-11,0.957
2015-09-14,0.947
2015-09-15,0.946
2015-09-16,0.945
2015-09-17,0.964
2015-09-18,0.973
2015-09-21,0.979
2015-09-22,0.978
2015-09-23,0.963
2015-09-24,0.966
2015-09-25,0.973
2015-09-28,0.968
2015-09-29,0.949
2015-09-30,0.948
2015-10-08,0.999
2015-10-09,0.991
2015-10-12,0.995
2015-10-13,0.993
2015-10-14,0.996
2015-10-15,1.001
2015-10-16,0.994
2015-10-19,0.989
2015-10-20,0.983
2015-10-21,0.984
2015-10-22,0.979
2015-10-23,0.985
2015-10-26,0.984
2015-10-27,0.985
2015-10-28,0.987
2015-10-29,0.996
2015-10-30,0.976
2015-11-02,0.971
2015-11-03,0.968
2015-11-04,0.964
2015-11-05,0.958
2015-11-06,0.95
2015-11-09,0.944
2015-11-10,0.936
2015-11-11,0.932
2015-11-12,0.932
2015-11-13,0.932
2015-11-16,0.936
2015-11-17,0.93
2015-11-18,0.924
2015-11-19,0.923
2015-11-20,0.926
2015-11-23,0.913
2015-11-24,0.905
2015-11-25,0.913
2015-11-26,0.913
2015-11-27,0.914
2015-11-30,0.903
2015-12-01,0.908
2015-12-02,0.911
2015-12-03,0.902
2015-12-04,0.91
2015-12-07,0.925
2015-12-08,0.926
2015-12-09,0.919
2015-12-10,0.924
2015-12-11,0.918
2015-12-14,0.917
2015-12-15,0.914
2015-12-16,0.913
2015-12-17,0.922
2015-12-18,0.913
2015-12-21,0.922
2015-12-22,0.93
2015-12-23,0.931
2015-12-24,0.93
2015-12-25,0.933
2015-12-28,0.931
2015-12-29,0.925
2015-12-30,0.929
2015-12-31,0.924
2016-01-04,0.924
2016-01-05,0.929
2016-01-06,0.927
2016-01-07,0.937
2016-01-08,0.944
2016-01-11,0.938
2016-01-12,0.929
2016-01-13,0.916
2016-01-14,0.925
2016-01-15,0.922
2016-01-18,0.926
2016-01-19,0.925
2016-01-20,0.929
2016-01-21,0.931
2016-01-22,0.927
2016-01-25,0.932
2016-01-26,0.935
2016-01-27,0.939
2016-01-28,0.939
2016-01-29,0.932
2016-02-01,0.931
2016-02-02,0.933
2016-02-03,0.932
2016-02-04,0.94
2016-02-05,0.949
2016-02-15,0.967
2016-02-16,0.964
2016-02-17,0.965
2016-02-18,0.965
2016-02-19,0.967
2016-02-22,0.966
2016-02-23,0.959
2016-02-24,0.96
2016-02-25,0.962
2016-02-26,0.95
2016-02-29,0.932
2016-03-01,0.929
2016-03-02,0.928
2016-03-03,0.932
2016-03-04,0.942
2016-03-07,0.959
2016-03-08,0.966
2016-03-09,0.946
2016-03-10,0.941
2016-03-11,0.95
2016-03-14,0.95
2016-03-15,0.948
2016-03-16,0.94
2016-03-17,0.946
2016-03-18,0.964
2016-03-21,0.958
2016-03-22,0.963
2016-03-23,0.962
2016-03-24,0.944
2016-03-25,0.943
2016-03-28,0.942
2016-03-29,0.941
2016-03-30,0.943
2016-03-31,0.942
2016-04-01,0.945
2016-04-05,0.931
2016-04-06,0.934
2016-04-07,0.933
2016-04-08,0.937
2016-04-11,0.941
2016-04-12,0.953
2016-04-13,0.961
2016-04-14,0.963
2016-04-15,0.961
2016-04-18,0.964
2016-04-19,0.974
2016-04-20,1.003
2016-04-21,1.02
2016-04-22,1.016
2016-04-25,1.006
2016-04-26,1.003
2016-04-27,1.014
2016-04-28,1.018
2016-04-29,1.038
2016-05-03,1.039
2016-05-04,1.029
2016-05-05,1.023
2016-05-06,1.019
2016-05-09,1.019
2016-05-10,0.992
2016-05-11,1.0
2016-05-12,1.013
2016-05-13,1.002
2016-05-16,1.003
2016-05-17,1.008
2016-05-18,1.008
2016-05-19,0.994
2016-05-20,0.967
2016-05-23,0.967
2016-05-24,0.959
2016-05-25,0.957
2016-05-26,0.96
2016-05-27,0.959
2016-05-30,0.946
2016-05-31,0.944
2016-06-01,0.945
2016-06-02,0.945
2016-06-03,0.946
2016-06-06,0.965
2016-06-07,0.968
2016-06-08,0.972
2016-06-13,1.002
2016-06-14,1.008
2016-06-15,1.01
2016-06-16,1.021
2016-06-17,1.014
2016-06-20,1.004
2016-06-21,1.008
2016-06-22,0.996
2016-06-23,0.997
2016-06-24,1.011
2016-06-27,1.023
2016-06-28,1.019
2016-06-29,1.039
2016-06-30,1.053
2016-07-01,1.082
