date,unit_nav,daily_return_pct
2024-12-11,1.0,0.0
2024-12-13,0.9999,0.0
2024-12-20,0.997,0.0
2024-12-23,0.9829,-1.41
2024-12-24,0.9946,1.19
2024-12-25,0.9848,-0.99
2024-12-26,0.9976,1.3
2024-12-27,0.9965,-0.11
2024-12-30,0.9895,-0.7
2024-12-31,0.9692,-2.05
2025-01-02,0.9434,-2.66
2025-01-03,0.932,-1.21
2025-01-06,0.9353,0.35
2025-01-07,0.949,1.46
2025-01-08,0.9472,-0.19
2025-01-09,0.9415,-0.6
2025-01-10,0.9241,-1.85
2025-01-13,0.9189,-0.56
2025-01-14,0.949,3.28
2025-01-15,0.9396,-0.99
2025-01-16,0.9518,1.3
2025-01-17,0.9587,0.72
2025-01-20,0.9721,1.4
2025-01-21,0.9842,1.24
2025-01-22,0.99,0.59
2025-01-23,0.9796,-1.05
2025-01-24,0.9977,1.85
2025-01-27,0.9794,-1.83
2025-02-05,0.9454,-3.47
2025-02-06,0.96,1.54
2025-02-07,0.9788,1.96
2025-02-10,0.975,-0.39
2025-02-11,0.975,0.0
2025-02-12,0.9825,0.77
2025-02-13,0.968,-1.48
2025-02-14,0.9762,0.85
2025-02-17,0.9868,1.09
2025-02-18,0.9796,-0.73
2025-02-19,0.9871,0.77
2025-02-20,0.9799,-0.73
2025-02-21,0.9945,1.49
2025-02-24,0.9853,-0.93
2025-02-25,0.9711,-1.44
2025-02-26,0.9836,1.29
2025-02-27,0.9727,-1.11
2025-02-28,0.949,-2.44
2025-03-03,0.9482,-0.08
2025-03-04,0.9546,0.67
2025-03-05,0.9607,0.64
2025-03-06,0.9726,1.24
2025-03-07,0.9648,-0.8
2025-03-10,0.9637,-0.11
2025-03-11,0.965,0.13
2025-03-12,0.9734,0.87
2025-03-13,0.9711,-0.24
2025-03-14,0.9856,1.49
2025-03-17,0.9858,0.02
2025-03-18,0.9969,1.13
2025-03-19,0.9891,-0.78
2025-03-20,0.9873,-0.18
2025-03-21,0.9806,-0.68
2025-03-24,0.9902,0.98
2025-03-25,0.9859,-0.43
2025-03-26,0.9846,-0.13
2025-03-27,0.9735,-1.13
2025-03-28,0.9703,-0.33
2025-03-31,0.9628,-0.77
2025-04-01,0.9661,0.34
2025-04-02,0.9688,0.28
2025-04-03,0.9523,-1.7
2025-04-07,0.8558,-10.13
2025-04-08,0.8595,0.43
2025-04-09,0.8726,1.52
2025-04-10,0.8915,2.17
2025-04-11,0.8913,-0.02
2025-04-14,0.8984,0.8
2025-04-15,0.8953,-0.35
