date,unit_nav,daily_return_pct
2025-03-14,1.0001,0.0
2025-03-21,0.9718,0.0
2025-03-24,0.9652,-0.68
2025-03-25,0.934,-3.23
2025-03-26,0.9365,0.27
2025-03-27,0.9324,-0.44
2025-03-28,0.9268,-0.6
2025-03-31,0.9324,0.6
2025-04-01,0.9197,-1.36
2025-04-02,0.9273,0.83
2025-04-03,0.9049,-2.42
2025-04-07,0.748,-17.34
2025-04-08,0.7583,1.38
2025-04-09,0.7827,3.22
2025-04-10,0.8078,3.21
2025-04-11,0.8216,1.71
2025-04-14,0.8299,1.01
2025-04-15,0.8247,-0.63
2025-04-16,0.8087,-1.94
2025-04-17,0.8052,-0.43
2025-04-18,0.8101,0.61
2025-04-21,0.8335,2.89
2025-04-22,0.8199,-1.63
2025-04-23,0.8447,3.02
2025-04-24,0.8186,-3.09
2025-04-25,0.8318,1.61
2025-04-28,0.8246,-0.87
2025-04-29,0.8332,1.04
2025-04-30,0.8525,2.32
2025-05-06,0.8868,4.02
2025-05-07,0.8802,-0.74
2025-05-08,0.9039,2.69
2025-05-09,0.8872,-1.85
2025-05-12,0.905,2.01
2025-05-13,0.8991,-0.65
2025-05-14,0.9088,1.08
2025-05-15,0.8766,-3.54
2025-05-16,0.883,0.73
2025-05-19,0.8751,-0.89
2025-05-20,0.8795,0.5
2025-05-21,0.8731,-0.73
2025-05-22,0.8693,-0.44
2025-05-23,0.8498,-2.24
2025-05-26,0.8631,1.57
2025-05-27,0.8491,-1.62
2025-05-28,0.8542,0.6
2025-05-29,0.8761,2.56
2025-05-30,0.862,-1.61
2025-06-03,0.8606,-0.16
2025-06-04,0.8815,2.43
2025-06-05,0.9108,3.32
2025-06-06,0.9169,0.67
2025-06-09,0.9351,1.98
2025-06-10,0.9175,-1.88
2025-06-11,0.9164,-0.12
2025-06-12,0.9301,1.49
2025-06-13,0.9167,-1.44
2025-06-16,0.9383,2.36
2025-06-17,0.9311,-0.77
2025-06-18,0.9454,1.54
2025-06-19,0.9379,-0.79
2025-06-20,0.9195,-1.96
2025-06-23,0.9218,0.25
2025-06-24,0.9387,1.83
2025-06-25,0.9624,2.52
2025-06-26,0.971,0.89
2025-06-27,0.9875,1.7
2025-06-30,1.0095,2.23
2025-07-01,0.9998,-0.96
2025-07-02,0.9758,-2.4
2025-07-03,0.989,1.35
2025-07-04,0.9821,-0.7
2025-07-07,0.9724,-0.99
2025-07-08,1.0077,3.63
2025-07-09,1.0096,0.19
2025-07-10,1.0119,0.23
2025-07-11,1.0151,0.32
2025-07-14,1.0145,-0.06
2025-07-15,1.0839,6.84
2025-07-16,1.0902,0.58
2025-07-17,1.1226,2.97
2025-07-18,1.1221,-0.04
2025-07-21,1.1199,-0.2
2025-07-22,1.1097,-0.91
2025-07-23,1.1119,0.2
2025-07-24,1.1126,0.06
2025-07-25,1.1238,1.01
2025-07-28,1.1336,0.87
2025-07-29,1.1766,3.79
2025-07-30,1.1648,-1.0
2025-07-31,1.1748,0.86
2025-08-01,1.1682,-0.56
2025-08-04,1.1712,0.26
2025-08-05,1.1728,0.14
2025-08-06,1.1851,1.05
2025-08-07,1.1771,-0.68
2025-08-08,1.1543,-1.94
2025-08-11,1.1863,2.77
2025-08-12,1.22,2.84
2025-08-13,1.2882,5.59
2025-08-14,1.2587,-2.29
2025-08-15,1.2728,1.12
2025-08-18,1.3413,5.38
2025-08-19,1.3768,2.65
2025-08-20,1.3717,-0.37
2025-08-21,1.3584,-0.97
2025-08-22,1.4214,4.64
2025-08-25,1.5016,5.64
2025-08-26,1.4893,-0.82
2025-08-27,1.518,1.93
2025-08-28,1.6288,7.3
2025-08-29,1.6166,-0.75
2025-09-01,1.7162,6.16
2025-09-02,1.6144,-5.93
2025-09-03,1.6484,2.11
2025-09-04,1.4929,-9.43
2025-09-05,1.5887,6.42
2025-09-08,1.5201,-4.32
2025-09-09,1.4887,-2.07
2025-09-10,1.546,3.85
2025-09-11,1.6806,8.71
2025-09-12,1.6439,-2.18
2025-09-15,1.6232,-1.26
2025-09-16,1.6343,0.68
2025-09-17,1.6441,0.6
2025-09-18,1.6313,-0.78
2025-09-19,1.6468,0.95
2025-09-22,1.6505,0.22
2025-09-23,1.6591,0.52
2025-09-24,1.6628,0.22
2025-09-25,1.7045,2.51
2025-09-26,1.6445,-3.52
2025-09-29,1.6701,1.56
2025-09-30,1.6485,-1.29
2025-10-09,1.6359,-0.76
2025-10-10,1.5784,-3.51
2025-10-13,1.5641,-0.91
2025-10-14,1.4744,-5.73
2025-10-15,1.4957,1.44
2025-10-16,1.502,0.42
2025-10-17,1.4668,-2.34
2025-10-20,1.5214,3.72
2025-10-21,1.6033,5.38
2025-10-22,1.5999,-0.21
2025-10-23,1.5794,-1.28
2025-10-24,1.6685,5.64
2025-10-27,1.7312,3.76
2025-10-28,1.7412,0.58
2025-10-29,1.7508,0.55
2025-10-30,1.6933,-3.28
2025-10-31,1.6338,-3.51
2025-11-03,1.6501,1.0
2025-11-04,1.6355,-0.88
2025-11-05,1.6212,-0.87
2025-11-06,1.6565,2.18
2025-11-07,1.6414,-0.91
2025-11-10,1.6352,-0.38
2025-11-11,1.5868,-2.96
2025-11-12,1.5964,0.6
2025-11-13,1.5978,0.09
2025-11-14,1.5395,-3.65
2025-11-17,1.5755,2.34
2025-11-18,1.5806,0.32
2025-11-19,1.5901,0.6
2025-11-20,1.5957,0.35
2025-11-21,1.5212,-4.67
2025-11-24,1.5302,0.59
2025-11-25,1.5832,3.46
2025-11-26,1.6641,5.11
2025-11-27,1.6499,-0.85
2025-11-28,1.6543,0.27
2025-12-01,1.6941,2.41
2025-12-02,1.6908,-0.19
2025-12-03,1.6709,-1.18
2025-12-04,1.6879,1.02
2025-12-05,1.7087,1.23
2025-12-08,1.8003,5.36
2025-12-09,1.8484,2.67
2025-12-10,1.8706,1.2
2025-12-11,1.8036,-3.58
2025-12-12,1.8352,1.75
2025-12-15,1.7954,-2.17
2025-12-16,1.74,-3.09
2025-12-17,1.8274,5.02
2025-12-18,1.7957,-1.73
2025-12-19,1.7978,0.12
2025-12-22,1.8606,3.49
2025-12-23,1.8518,-0.47
2025-12-24,1.8727,1.13
2025-12-25,1.875,0.12
2025-12-26,1.861,-0.75
2025-12-29,1.8603,-0.04
2025-12-30,1.878,0.95
2025-12-31,1.8703,-0.41
2026-01-05,1.9243,2.89
2026-01-06,1.9266,0.12
2026-01-07,1.9405,0.72
2026-01-08,1.9234,-0.88
2026-01-09,1.9741,2.64
2026-01-12,2.1065,6.71
2026-01-13,2.0567,-2.36
2026-01-14,2.1128,2.73
2026-01-15,2.0974,-0.73
2026-01-16,2.0569,-1.93
2026-01-19,2.0309,-1.26
2026-01-20,1.9745,-2.78
2026-01-21,1.9974,1.16
2026-01-22,2.0569,2.98
2026-01-23,2.0436,-0.65
2026-01-26,2.0568,0.65
2026-01-27,2.1125,2.71
2026-01-28,2.1156,0.15
2026-01-29,2.1278,0.58
2026-01-30,2.1792,2.42
2026-02-02,2.0974,-3.75
2026-02-03,2.1691,3.42
2026-02-04,2.0874,-3.77
2026-02-05,2.0382,-2.36
2026-02-06,1.9943,-2.15
2026-02-09,2.1236,6.48
2026-02-10,2.1269,0.16
2026-02-11,2.085,-1.97
2026-02-12,2.1693,4.04
2026-02-13,2.1209,-2.23
2026-02-24,2.1512,1.43
2026-02-25,2.1379,-0.62
2026-02-26,2.1779,1.87
2026-02-27,2.1689,-0.41
