date,unit_nav
2024-01-24,1.0
2024-01-26,1.0042
2024-01-31,0.992
2024-02-01,1.0095
2024-02-02,1.018
2024-02-05,1.0081
2024-02-06,1.0119
2024-02-07,1.0175
2024-02-08,1.0169
2024-02-19,1.0189
2024-02-20,1.021
2024-02-21,1.0256
2024-02-22,1.0386
2024-02-23,1.0364
2024-02-26,1.0391
2024-02-27,1.0376
2024-02-28,1.0414
2024-02-29,1.0486
2024-03-01,1.0518
2024-03-04,1.0419
2024-03-05,1.035
2024-03-06,1.0365
2024-03-07,1.043
2024-03-08,1.035
2024-03-11,1.0353
2024-03-12,1.0432
2024-03-13,1.0411
2024-03-14,1.0357
2024-03-15,1.0294
2024-03-18,1.0376
2024-03-19,1.0448
2024-03-20,1.0549
2024-03-21,1.057
2024-03-22,1.0499
2024-03-25,1.0467
2024-03-26,1.047
2024-03-27,1.0576
2024-03-28,1.0564
2024-03-29,1.0564
2024-04-01,1.0477
2024-04-02,1.036
2024-04-03,1.0312
2024-04-08,1.0328
2024-04-09,1.0383
2024-04-10,1.0295
2024-04-11,1.0335
2024-04-12,1.0203
2024-04-15,1.0079
2024-04-16,1.0054
2024-04-17,1.0044
2024-04-18,1.0025
2024-04-19,1.0017
2024-04-22,1.0079
2024-04-23,1.0152
2024-04-24,1.0252
2024-04-25,1.0261
2024-04-26,1.0302
2024-04-29,1.0458
2024-04-30,1.0289
2024-05-06,1.0451
2024-05-07,1.0458
2024-05-08,1.0423
2024-05-09,1.0495
2024-05-10,1.049
2024-05-13,1.046
2024-05-14,1.0482
2024-05-15,1.0489
2024-05-16,1.0524
2024-05-17,1.0546
2024-05-20,1.0455
2024-05-21,1.0534
2024-05-22,1.0471
2024-05-23,1.0325
2024-05-24,1.0388
2024-05-27,1.0386
2024-05-28,1.0331
2024-05-29,1.0262
2024-05-30,1.031
2024-05-31,1.0397
2024-06-03,1.0392
2024-06-04,1.0448
2024-06-05,1.0472
2024-06-06,1.0536
2024-06-07,1.0494
2024-06-11,1.0487
2024-06-12,1.0511
2024-06-13,1.0525
2024-06-14,1.0497
2024-06-17,1.0647
2024-06-18,1.0624
2024-06-19,1.0629
2024-06-20,1.0633
2024-06-21,1.0686
2024-06-24,1.07
2024-06-25,1.065
2024-06-26,1.0758
2024-06-27,1.0776
2024-06-28,1.0683
2024-06-30,1.0683
2024-07-01,1.069
2024-07-02,1.0849
2024-07-03,1.0901
2024-07-04,1.0892
2024-07-05,1.1006
2024-07-08,1.0995
2024-07-09,1.1031
2024-07-10,1.1084
2024-07-11,1.0959
2024-07-12,1.1049
2024-07-15,1.1012
2024-07-16,1.1207
2024-07-17,1.1147
2024-07-18,1.1097
2024-07-19,1.1038
2024-07-22,1.1061
2024-07-23,1.1009
2024-07-24,1.0756
2024-07-25,1.0725
2024-07-26,1.081
2024-07-29,1.0924
2024-07-30,1.0862
2024-07-31,1.0953
2024-08-01,1.0854
2024-08-02,1.0685
2024-08-05,1.0426
2024-08-06,1.0511
2024-08-07,1.0417
2024-08-08,1.0585
2024-08-09,1.0612
2024-08-12,1.057
2024-08-13,1.0737
2024-08-14,1.072
2024-08-15,1.0946
2024-08-16,1.098
2024-08-19,1.1057
2024-08-20,1.1068
2024-08-21,1.117
2024-08-22,1.1039
2024-08-23,1.1178
2024-08-26,1.1132
2024-08-27,1.1144
2024-08-28,1.1062
2024-08-29,1.1055
2024-08-30,1.1161
2024-09-02,1.1146
2024-09-03,1.1113
2024-09-04,1.1165
2024-09-05,1.1196
2024-09-06,1.1011
2024-09-09,1.1144
2024-09-10,1.1251
2024-09-11,1.128
2024-09-12,1.1378
2024-09-13,1.1417
2024-09-18,1.1335
2024-09-19,1.147
2024-09-20,1.143
2024-09-23,1.1528
2024-09-24,1.1566
2024-09-25,1.1505
2024-09-26,1.1534
2024-09-27,1.1502
2024-09-30,1.1499
2024-10-08,1.1378
2024-10-09,1.1432
2024-10-10,1.1402
2024-10-11,1.1365
2024-10-14,1.1413
2024-10-15,1.1473
2024-10-16,1.1547
2024-10-17,1.1526
2024-10-18,1.1571
2024-10-21,1.1438
2024-10-22,1.1512
2024-10-23,1.1398
2024-10-24,1.1654
2024-10-25,1.1613
2024-10-28,1.1649
2024-10-29,1.1566
2024-10-30,1.1559
2024-10-31,1.1437
2024-11-01,1.1527
2024-11-04,1.151
2024-11-05,1.1638
2024-11-06,1.181
2024-11-07,1.2038
2024-11-08,1.2201
2024-11-11,1.2412
2024-11-12,1.2321
2024-11-13,1.2411
2024-11-14,1.2264
2024-11-15,1.2182
2024-11-18,1.2289
2024-11-19,1.233
2024-11-20,1.2284
2024-11-21,1.2345
2024-11-22,1.2512
2024-11-25,1.2562
2024-11-26,1.2634
2024-11-27,1.26
2024-11-28,1.2584
2024-11-29,1.269
2024-12-02,1.2763
2024-12-03,1.2755
2024-12-04,1.2814
2024-12-05,1.2899
2024-12-06,1.3069
2024-12-09,1.3018
2024-12-10,1.307
2024-12-11,1.3196
2024-12-12,1.3136
2024-12-13,1.3192
2024-12-16,1.3319
2024-12-17,1.3364
2024-12-18,1.2888
2024-12-19,1.2842
2024-12-20,1.2828
2024-12-23,1.283
2024-12-24,1.3081
2024-12-25,1.308
2024-12-26,1.3044
2024-12-27,1.2864
2024-12-30,1.2687
2024-12-31,1.2615
2025-01-02,1.2474
2025-01-03,1.2667
2025-01-06,1.2631
2025-01-07,1.2455
2025-01-08,1.2508
2025-01-09,1.2505
2025-01-10,1.2388
2025-01-13,1.2422
2025-01-14,1.2397
2025-01-15,1.262
2025-01-16,1.2585
2025-01-17,1.2746
2025-01-20,1.2744
2025-01-21,1.2789
2025-01-22,1.2744
2025-01-23,1.2803
2025-01-24,1.2779
2025-01-27,1.2951
2025-02-05,1.2888
2025-02-06,1.2953
2025-02-07,1.2766
2025-02-10,1.2836
2025-02-11,1.2781
2025-02-12,1.2792
2025-02-13,1.2968
2025-02-14,1.2887
2025-02-17,1.2885
2025-02-18,1.2855
2025-02-19,1.2895
2025-02-20,1.2767
2025-02-21,1.2621
2025-02-24,1.258
2025-02-25,1.2611
2025-02-26,1.2474
2025-02-27,1.2371
2025-02-28,1.2567
2025-03-03,1.2468
2025-03-04,1.2251
2025-03-05,1.2375
2025-03-06,1.2177
2025-03-07,1.2126
2025-03-10,1.1827
2025-03-11,1.1733
2025-03-12,1.1683
2025-03-13,1.149
2025-03-14,1.1636
2025-03-17,1.1689
2025-03-18,1.1505
2025-03-19,1.1628
2025-03-20,1.1602
2025-03-21,1.1634
2025-03-24,1.1946
2025-03-25,1.1977
2025-03-26,1.1927
2025-03-27,1.198
2025-03-28,1.1757
2025-03-31,1.1844
2025-04-01,1.1934
2025-04-02,1.2059
2025-04-03,1.1744
2025-04-07,1.1113
2025-04-08,1.0921
2025-04-09,1.1755
2025-04-10,1.1536
2025-04-11,1.1645
2025-04-14,1.1739
2025-04-15,1.1667
2025-04-16,1.145
2025-04-17,1.158
2025-04-18,1.1577
2025-04-21,1.1335
