date,unit_nav,daily_return_pct
2020-01-20,1.0,0.0
2020-01-23,1.0068,0.0
2020-02-03,0.9745,-3.2082
2020-02-07,1.0527,0.0
2020-02-10,1.0257,-2.5648
2020-02-11,1.0363,1.0334
2020-02-12,1.0679,3.0493
2020-02-13,1.0964,2.6688
2020-02-14,1.1006,0.3831
2020-02-17,1.1287,2.5532
2020-02-18,1.1805,4.5894
2020-02-19,1.1988,1.5502
2020-02-20,1.248,4.1041
2020-02-21,1.2767,2.2997
2020-02-24,1.3481,5.5925
2020-02-25,1.3928,3.3158
2020-02-26,1.2705,-8.7809
2020-02-27,1.2159,-4.2975
2020-02-28,1.1465,-5.7077
2020-03-02,1.1524,0.5146
2020-03-03,1.1589,0.564
2020-03-04,1.1139,-3.883
2020-03-05,1.1249,0.9875
2020-03-06,1.1095,-1.369
2020-03-09,1.0151,-8.5083
2020-03-10,1.0905,7.4278
2020-03-11,1.0445,-4.2182
2020-03-12,1.0493,0.4596
2020-03-13,1.08,2.9258
2020-03-16,1.0122,-6.2778
2020-03-17,1.0338,2.134
2020-03-18,1.0194,-1.3929
2020-03-19,1.0543,3.4236
2020-03-20,1.0404,-1.3184
2020-03-23,0.9587,-7.8527
2020-03-24,0.9595,0.0834
2020-03-25,0.9792,2.0532
2020-03-26,0.9492,-3.0637
2020-03-27,0.9365,-1.338
2020-03-30,0.9126,-2.5521
2020-03-31,0.9027,-1.0848
2020-04-01,0.9156,1.429
2020-04-02,0.9849,7.5688
2020-04-03,0.9732,-1.1879
2020-04-07,0.9978,2.5277
2020-04-08,1.0033,0.5512
2020-04-09,0.9887,-1.4552
2020-04-10,0.9405,-4.8751
2020-04-13,0.9099,-3.2536
2020-04-14,0.946,3.9675
2020-04-15,0.9571,1.1734
2020-04-16,0.9699,1.3374
2020-04-17,0.9948,2.5673
2020-04-20,1.0006,0.583
2020-04-21,0.9746,-2.5984
2020-04-22,0.9812,0.6772
2020-04-23,0.9608,-2.0791
2020-04-24,0.9386,-2.3106
2020-04-27,0.9304,-0.8736
2020-04-28,0.9699,4.2455
2020-04-29,0.9595,-1.0723
2020-04-30,1.0306,7.4101
2020-05-06,1.0932,6.0741
2020-05-07,1.0861,-0.6495
2020-05-08,1.0912,0.4696
2020-05-11,1.0856,-0.5132
2020-05-12,1.1028,1.5844
2020-05-13,1.107,0.3808
2020-05-14,1.104,-0.271
2020-05-15,1.1469,3.8859
2020-05-18,1.0962,-4.4206
2020-05-19,1.1539,5.2636
2020-05-20,1.1319,-1.9066
2020-05-21,1.0912,-3.5957
2020-05-22,1.0662,-2.2911
2020-05-25,1.0484,-1.6695
2020-05-26,1.0765,2.6803
2020-05-27,1.0462,-2.8147
2020-05-28,1.0393,-0.6595
2020-05-29,1.0354,-0.3753
2020-06-01,1.0904,5.312
2020-06-02,1.0986,0.752
2020-06-03,1.1009,0.2094
2020-06-04,1.0923,-0.7812
2020-06-05,1.115,2.0782
2020-06-08,1.0999,-1.3543
2020-06-09,1.1126,1.1547
2020-06-10,1.104,-0.773
2020-06-11,1.0936,-0.942
2020-06-12,1.0795,-1.2893
