date,unit_nav,daily_return_pct
2020-12-07,1.0,0.0
2020-12-11,1.0001,0.0
2020-12-17,1.0149,0.0
2020-12-18,1.0313,1.62
2020-12-21,1.08,4.72
2020-12-22,1.0556,-2.26
2020-12-23,1.1163,5.75
2020-12-24,1.1085,-0.7
2020-12-25,1.1581,4.47
2020-12-28,1.1565,-0.14
2020-12-29,1.0879,-5.93
2020-12-30,1.1112,2.14
2020-12-31,1.1366,2.29
2021-01-04,1.1977,5.38
2021-01-05,1.1992,0.13
2021-01-06,1.1975,-0.14
2021-01-07,1.2449,3.96
2021-01-08,1.2184,-2.13
2021-01-11,1.1689,-4.06
2021-01-12,1.2101,3.52
2021-01-13,1.2005,-0.79
2021-01-14,1.169,-2.62
2021-01-15,1.1658,-0.27
2021-01-18,1.1878,1.89
2021-01-19,1.1558,-2.69
2021-01-20,1.1946,3.36
2021-01-21,1.2449,4.21
2021-01-22,1.2857,3.28
2021-01-25,1.286,0.02
2021-01-26,1.2675,-1.44
2021-01-27,1.3176,3.95
2021-01-28,1.251,-5.05
2021-01-29,1.2252,-2.06
2021-02-01,1.1922,-2.69
2021-02-02,1.2134,1.78
2021-02-03,1.2101,-0.27
2021-02-04,1.2052,-0.4
2021-02-05,1.2026,-0.22
2021-02-08,1.2046,0.17
2021-02-09,1.2462,3.45
2021-02-10,1.2766,2.44
2021-02-18,1.2667,-0.78
2021-02-19,1.243,-1.87
2021-02-22,1.2033,-3.19
2021-02-23,1.1928,-0.87
2021-02-24,1.1541,-3.24
2021-02-25,1.149,-0.44
2021-02-26,1.1417,-0.64
2021-03-01,1.1704,2.51
2021-03-02,1.1601,-0.88
2021-03-03,1.1535,-0.57
2021-03-04,1.0815,-6.24
2021-03-05,1.0848,0.31
2021-03-08,1.026,-5.42
2021-03-09,0.9917,-3.34
2021-03-10,0.9991,0.75
2021-03-11,1.0358,3.67
2021-03-12,1.0547,1.82
2021-03-15,1.0137,-3.89
2021-03-16,1.0205,0.67
2021-03-17,1.0243,0.37
2021-03-18,1.0414,1.67
2021-03-19,1.0151,-2.53
2021-03-22,1.0384,2.3
2021-03-23,1.0218,-1.6
2021-03-24,0.9995,-2.18
2021-03-25,0.9972,-0.23
2021-03-26,1.0337,3.66
2021-03-29,1.0248,-0.86
2021-03-30,1.0564,3.08
2021-03-31,1.0498,-0.62
2021-04-01,1.0595,0.92
2021-04-02,1.0569,-0.25
2021-04-06,1.0811,2.29
2021-04-07,1.0621,-1.76
2021-04-08,1.0529,-0.87
2021-04-09,1.035,-1.7
2021-04-12,1.0068,-2.72
2021-04-13,1.0005,-0.63
2021-04-14,1.0155,1.5
2021-04-15,1.0217,0.61
2021-04-16,1.0171,-0.45
2021-04-19,1.0509,3.32
2021-04-20,1.0639,1.24
2021-04-21,1.0627,-0.11
2021-04-22,1.0654,0.25
2021-04-23,1.0753,0.93
2021-04-26,1.0695,-0.54
2021-04-27,1.0671,-0.22
2021-04-28,1.0847,1.65
2021-04-29,1.0806,-0.38
2021-04-30,1.1065,2.4
2021-05-06,1.1017,-0.43
2021-05-07,1.0724,-2.66
2021-05-10,1.0837,1.05
2021-05-11,1.0739,-0.9
2021-05-12,1.0804,0.61
2021-05-13,1.0596,-1.93
2021-05-14,1.0746,1.42
2021-05-17,1.1062,2.94
2021-05-18,1.1015,-0.42
2021-05-19,1.1194,1.63
2021-05-20,1.1077,-1.05
2021-05-21,1.1127,0.45
2021-05-24,1.1109,-0.16
2021-05-25,1.1211,0.92
2021-05-26,1.1067,-1.28
2021-05-27,1.1193,1.14
2021-05-28,1.1312,1.06
