Date,RV_21,RV_63
2018-05-07,,
2018-05-08,,
2018-05-09,,
2018-05-10,,
2018-05-11,,
2018-05-14,,
2018-05-15,,
2018-05-16,,
2018-05-17,,
2018-05-18,,
2018-05-21,,
2018-05-22,,
2018-05-23,,
2018-05-24,,
2018-05-25,,
2018-05-29,,
2018-05-30,,
2018-05-31,,
2018-06-01,,
2018-06-04,,
2018-06-05,,
2018-06-06,10.097016288001289,
2018-06-07,10.099937059811898,
2018-06-08,9.704985669969856,
2018-06-11,9.28206549812419,
2018-06-12,9.255877833115143,
2018-06-13,9.372321136183324,
2018-06-14,8.946383225993266,
2018-06-15,8.925400722061596,
2018-06-18,8.966259418825395,
2018-06-19,9.043689166401384,
2018-06-20,8.731821115561392,
2018-06-21,8.98405717198254,
2018-06-22,8.959402809688353,
2018-06-25,10.180602527038259,
2018-06-26,10.17448754586673,
2018-06-27,9.757768696901872,
2018-06-28,8.784014782167429,
2018-06-29,8.51549208433185,
2018-07-02,7.820867231320413,
2018-07-03,7.703150197063853,
2018-07-05,8.263773462854331,
2018-07-06,8.272113454217395,
2018-07-09,8.853803143904699,
2018-07-10,8.879903479025137,
2018-07-11,9.256150775788434,
2018-07-12,9.777270023119994,
2018-07-13,9.694002505630458,
2018-07-16,9.676269355855398,
2018-07-17,9.739690718476353,
2018-07-18,9.704457692665882,
2018-07-19,9.70081122693751,
2018-07-20,9.717072810393404,
2018-07-23,9.391922900156628,
2018-07-24,9.490657234098103,
2018-07-25,8.140631301095341,
2018-07-26,8.294485716655089,
2018-07-27,8.079599407963087,
2018-07-30,8.344302187345287,
2018-07-31,8.422991257471963,
2018-08-01,8.50400367653361,
2018-08-02,8.391959171615158,
2018-08-03,8.134377662232115,
2018-08-06,7.803317913499439,8.748842796227423
2018-08-07,7.357172905833652,8.75661334497884
2018-08-08,7.331827967717902,8.588932784424685
2018-08-09,6.73630703044583,8.432751290971334
2018-08-10,6.685666067009548,8.5519311211686
2018-08-13,6.855694802149287,8.597339947137339
2018-08-14,7.132597338260435,8.535876198770902
2018-08-15,7.56980509905949,8.665406943998983
2018-08-16,8.029991339098634,8.78754569033518
2018-08-17,7.934801497015484,8.778512374709932
2018-08-20,7.912768419554954,8.678863724430219
2018-08-21,7.920734534464634,8.653754444432057
2018-08-22,7.8031146144642625,8.649706723505151
2018-08-23,7.301640784856849,8.64103103268798
2018-08-24,7.492492302016236,8.678142624421028
2018-08-27,7.363756677694777,8.407509904633296
2018-08-28,6.97336393509654,8.042612207734685
2018-08-29,7.001522094475322,7.953868567257808
2018-08-30,7.19188083211441,7.829235962550212
2018-08-31,7.068354884770818,7.794602842959677
2018-09-04,7.05586504153742,7.812580807568192
2018-09-05,7.101420766317815,7.694643559752315
2018-09-06,7.153546240215889,7.729907274632206
2018-09-07,7.195137572872041,7.733465069116003
2018-09-10,7.180532887029278,7.735303545862698
2018-09-11,6.739058141902345,7.752580734927274
2018-09-12,6.52431851130828,7.713403117178204
2018-09-13,6.483240508214758,7.775684583663696
2018-09-14,5.69667446602536,7.765913536783632
2018-09-17,5.635975262729662,7.841339394530909
2018-09-18,5.789161419874619,7.841737982046684
