date,value,daily_return,drawdown
2019-01-03,1000326.3554799999,0.0006238855089371054,0.0
2019-01-04,1001138.1554799998,0.000811535151056253,0.0
2019-01-07,1001712.3554799999,0.0005735472140953046,0.0
2019-01-08,1001227.2554799999,-0.0004842707563166293,-0.0004842707563165943
2019-01-09,1000583.7554799999,-0.0006427112291219617,-0.0011266707391855767
2019-01-10,1000573.8554799999,-9.89422419239716e-06,-0.0011365538158451228
2019-01-11,1000752.0554799999,0.00017809779760291633,-0.0009586584359737588
2019-01-14,1000851.05548,9.892560245861048e-05,-0.0008598276693784144
2019-01-15,1000880.7554799999,2.9674745145369386e-05,-0.0008301784393998925
2019-01-16,1000979.7554799999,9.891288193708547e-05,-0.0007313476728046644
2019-01-17,1000989.6554799998,9.890309914606377e-06,-0.0007214645961452346
2019-01-18,1001078.7554799999,8.901190887677934e-05,-0.0006325169062094364
2019-01-21,1001177.7554799999,9.889331829104897e-05,-0.0005336861396142083
2019-01-22,1001306.45548,0.0001285486011806114,-0.0004052061430403421
2019-01-23,1001474.7554799999,0.00016808041042670752,-0.00023719383982852412
2019-01-24,1001504.45548,2.9656264261879173e-05,-0.00020754460984988597
2019-01-25,1001692.5554799999,0.00018781743702755982,-1.97661533190921e-05
2019-01-28,1001722.2554799998,2.964981604125505e-05,0.0
2019-01-29,1001979.65548,0.0002569574536175345,0.0
2019-01-30,1001920.2554799999,-5.928264079535506e-05,-5.928264079530399e-05
2019-01-31,1002108.3554799999,0.0001877394922111808,0.0
2019-02-01,1003068.65548,0.0009582796059415255,0.0
2019-02-11,1002969.65548,-9.86971325034336e-05,-9.869713250348291e-05
2019-02-12,1003019.1554799998,4.9353437294286095e-05,-4.934856625185751e-05
2019-02-13,1003088.4554799999,6.909140231403654e-05,0.0
2019-02-14,1003197.3554799999,0.00010856470274878127,0.0
2019-02-15,1003326.05548,0.00012828981186707722,0.0
2019-02-18,1003375.5554799999,4.933590603917182e-05,0.0
2019-02-19,1003573.55548,0.0001973338885112863,0.0
2019-02-20,1003053.3354099999,-0.0005183676544279203,-0.0005183676544279038
2019-02-21,998772.1354099999,-0.004268167851961824,-0.004784323026231629
2019-02-22,1018399.3479899999,0.01965134176670147,0.0
2019-02-25,1080689.14799,0.06116441465024547,0.0
2019-02-26,1071273.24799,-0.00871286624605494,-0.008712866246054907
2019-02-27,1056062.9479899998,-0.014198338312413683,-0.022787496335836308
2019-02-28,1064754.5479899999,0.008230191217808436,-0.014744850570246998
2019-03-01,1086483.5479899999,0.020407520250577127,0.0
2019-03-04,1127044.3479900002,0.03733218057009502,0.0
2019-03-05,1169778.0479899999,0.037916609116768196,0.0
2019-03-06,1184264.0479899999,0.012383545771688098,0.0
2019-03-07,1174123.8479900002,-0.008562448566441061,-0.00856244856644111
2019-03-08,1147324.74799,-0.022824764223874583,-0.031191776920607605
2019-03-11,1200922.9479899998,0.04671580569834166,0.0
2019-03-12,1228446.3479900002,0.0229185394833753,0.0
2019-03-13,1171950.9479900002,-0.04598931006831386,-0.04598931006831386
2019-03-14,1145912.709,-0.022217857355427806,-0.06718538349276933
2019-03-15,1162017.37988,0.014054011927360444,-0.05407559574636059
2019-03-18,1198465.4832799998,0.03136622913829723,-0.02440551413503359
2019-03-19,1199435.96682,0.0008097717902930679,-0.023615505241614616
2019-03-20,1184747.96682,-0.012245755843841799,-0.03557207137413859
2019-03-21,1194312.8284800001,0.00807333030135804,-0.027785926154487512
2019-03-22,1197634.8284800001,0.0027815157978565708,-0.02508169734918763
2019-03-25,1187668.8284800001,-0.008321401284437036,-0.03319438376508727
2019-03-26,1152787.8284800001,-0.029369298211388895,-0.061588786220736026
2019-03-27,1160396.4192800003,0.006600165799835356,-0.05539511662136817
2019-03-28,1153629.1776200002,-0.005831836041168548,-0.060903897424919515
2019-03-29,1192250.9402000003,0.03347848973417866,-0.029464378195452532
2019-04-01,1240947.7402000003,0.04084442155426715,0.0
2019-04-02,1246916.2233200003,0.004809616816771056,0.0
2019-04-03,1261460.2233200003,0.011663975275961747,0.0
2019-04-04,1272974.2233200003,0.009127517290792309,0.0
2019-04-08,1258632.2233200003,-0.011266528211855809,-0.011266528211855793
2019-04-09,1263328.0680000004,0.0037309108991452344,-0.007577651725611613
2019-04-10,1269510.4680000006,0.004893740712804462,-0.002720994075564282
2019-04-11,1251993.6680000005,-0.013798074487401557,-0.016481524084031446
2019-04-12,1246841.6680000005,-0.004115036786272341,-0.02052873879240413
2019-04-15,1245811.2680000006,-0.0008264080568086696,-0.021338181734078594
2019-04-16,1256115.2680000006,0.008270915719474692,-0.013243752317333225
2019-04-17,1262297.6680000005,0.0049218412971316905,-0.008387094667286077
2019-04-18,1249932.8680000007,-0.00979547084135135,-0.018100409967380375
2019-04-19,1257421.4187200007,0.00599116233496777,-0.012217690126856574
2019-04-22,1229978.6187200008,-0.021824664023884166,-0.03377570716857419
2019-04-23,1232057.6187200008,0.0016902732847206003,-0.032142524059353146
2019-04-24,1229240.8701800008,-0.002286214944173137,-0.034355254284678366
2019-04-25,1254263.2701800007,0.020355977910444745,-0.014698611171560296
2019-04-26,1228198.2701800007,-0.020781123564480475,-0.03517428108105836
2019-04-29,1176068.2701800005,-0.042444287103873046,-0.07612562090005467
2019-04-30,1199328.3152800007,0.01977780175672983,-0.05785341658209409
2019-05-06,1165152.3152800007,-0.028495950245301382,-0.08470077874695141
2019-05-07,1177968.315280001,0.010999420274868,-0.07463301793512973
2019-05-08,1155326.7152800008,-0.019220890499604182,-0.09241939536934778
2019-05-09,1147637.1152800007,-0.006655779614804902,-0.09846005185644074
2019-05-10,1148918.7152800008,0.0011167293066218775,-0.09745327577525852
2019-05-13,1143960.2762200006,-0.0043157440070004105,-0.10134843639136927
2019-05-14,1144971.7762200008,0.0008842090245848588,-0.10055384056886929
2019-05-15,1144971.7762200008,0.0,-0.10055384056886929
2019-05-16,1145066.9762200008,8.314615432203354e-05,-0.10047905507969287
2019-05-17,1144924.1762200007,-0.00012470886242077484,-0.10059123331345758
2019-05-20,1143797.5290200007,-0.0009840365182257615,-0.10147628438468953
2019-05-21,1143394.1290200008,-0.0003526847975843239,-0.10179318003945606
2019-05-22,1143394.1290200008,0.0,-0.10179318003945606
2019-05-23,1146217.9290200009,0.0024696645962494213,-0.0995749104560898
2019-05-24,1152268.9290200006,0.005279100812158211,-0.09482147563459092
2019-05-27,1153075.7290200007,0.0007001837675917333,-0.09418768432505768
2019-05-28,1151462.1290200008,-0.0013993877066263982,-0.09545526694412398
2019-05-29,1153596.1140000005,0.0018532828186159644,-0.09377888973168197
2019-05-30,1152752.1439300005,-0.0007315992657721537,-0.09444188043058152
2019-05-31,1164602.1101900004,0.010279717389724885,-0.08513299888143719
2019-06-03,1163734.3635300004,-0.0007451013976425003,-0.08581466756262761
2019-06-04,1175713.3635300004,0.010293586212976935,-0.07640442202854446
2019-06-05,1183300.0635300006,0.006452848317741067,-0.0704445998569583
2019-06-06,1182900.7635300006,-0.00033744610712593825,-0.07075827470809445
2019-06-10,1179307.0635300004,-0.003038040138951259,-0.07358134836831955
2019-06-11,1172918.2635300003,-0.005417418582126188,-0.07860014598649726
2019-06-12,1186893.7635300006,0.011915152517055771,-0.06762152619673341
2019-06-13,1188890.2635300003,0.0016821219062284065,-0.06605315194105306
2019-06-14,1206858.7635300003,0.015113674113747644,-0.051937783639928334
2019-06-17,1191286.0635300006,-0.012903498297058724,-0.06417110283423622
2019-06-18,1199671.3635300004,0.007038863507856874,-0.05758393096037815
2019-06-19,1193681.8635300004,-0.004992617296770363,-0.062289053727419726
2019-06-20,1219636.3635300004,0.021743230581761974,-0.0419001884035729
2019-06-21,1229618.8635300007,0.00818481663756554,-0.034058317125170094
2019-06-24,1238403.4635300005,0.007144164960824595,-0.027157470400175895
2019-06-25,1264357.9635300005,0.020958032470305143,-0.0067686050763290685
2019-06-26,1241198.5635300006,-0.01831712273582753,-0.024961746442223084
2019-06-27,1238004.1635300005,-0.002573641392973558,-0.027471145251312036
2019-06-28,1241597.8635300004,0.0029028173780554223,-0.024648071591087128
2019-07-01,1210923.7052700005,-0.02470538904826225,-0.04874452044140219
2019-07-02,1209320.1052700004,-0.0013242783116897971,-0.05000424744185771
2019-07-03,1197694.0052700005,-0.00961374903909673,-0.059137268195159555
2019-07-04,1193284.1052700004,-0.003681992212197782,-0.06260151744641212
2019-07-05,1197694.0052700005,0.00369559938033559,-0.059137268195159555
2019-07-08,1171734.1447800002,-0.02167486885279024,-0.07953034451550745
2019-07-09,1158211.54478,-0.011540672481247016,-0.09015318333838028
2019-07-10,1168836.44478,0.009173540056551577,-0.08180666712040889
2019-07-11,1166904.64478,-0.0016527547619065164,-0.08332421552367647
2019-07-12,1163041.0447799999,-0.0033109817646912454,-0.08635931233021162
2019-07-15,1161378.148,-0.0014297834005629895,-0.0876656206195208
2019-07-16,1157219.3480000002,-0.003580918073206041,-0.09093261528745161
2019-07-17,1140584.148,-0.014375148521972525,-0.10400059395917562
2019-07-18,1136425.348,-0.003646201823243378,-0.10726758862710661
2019-07-19,1137465.0480000002,0.0009148863159642584,-0.10645083996012372
2019-07-22,1143017.27388,0.004881227682347111,-0.10208922306459914
2019-07-23,1155652.87388,0.011054601088492877,-0.09216317761251949
2019-07-24,1159848.01142,0.0036301017674236213,-0.08886763755903843
2019-07-25,1159848.01142,0.0,-0.08886763755903843
2019-07-26,1152853.01142,-0.006030962618486568,-0.09436264277741321
2019-07-29,1154252.01142,0.0012135111641655705,-0.09326364173373826
2019-07-30,1158449.01142,0.003636121019045646,-0.08996663860271338
2019-07-31,1159848.01142,0.0012076491811108259,-0.08886763755903843
2019-08-01,1130469.01142,-0.02533004299764352,-0.11194665947621255
2019-08-02,1142374.4759000002,0.01053143815507629,-0.10259418064207729
2019-08-05,1129942.72409,-0.010882378827841155,-0.11236009073063938
2019-08-06,1112401.1415900001,-0.015524311211550068,-0.12614008892592898
2019-08-07,1128197.9415900002,0.01420063267592564,-0.11373072531854896
2019-08-08,1154525.9415900002,0.023336330469540867,-0.09304845263958234
2019-08-09,1149260.34159,-0.004560832988081964,-0.09718490717537574
2019-08-12,1140045.54159,-0.008018026609402873,-0.10442370261301409
2019-08-13,1180853.9415900002,0.035795412122822334,-0.07236617996061571
2019-08-14,1143994.7415900002,-0.031214021228035738,-0.10132136171116896
2019-08-15,1161727.19439,0.015500467052282252,-0.08739142308778312
2019-08-16,1163428.19439,0.0014641991753434613,-0.08605518236205681
2019-08-19,1157644.7943900002,-0.004970998664023396,-0.09059840082952618
2019-08-20,1152881.99439,-0.004114215364748319,-0.09433987486156006
2019-08-21,1153902.59439,0.0008852597273323326,-0.0935381304261242
